GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
8600000US01013,ZCTA5 01013,23026,881
8600000US01020,ZCTA5 01020,30148,897
8600000US01022,ZCTA5 01022,2604,411
8600000US01026,ZCTA5 01026,958,118
8600000US01027,ZCTA5 01027,17870,87
8600000US01028,ZCTA5 01028,16156,24
8600000US01029,ZCTA5 01029,728,182
8600000US01030,ZCTA5 01030,11211,613
8600000US01031,ZCTA5 01031,1151,214
8600000US01032,ZCTA5 01032,551,144
8600000US01033,ZCTA5 01033,6300,36
8600000US01034,ZCTA5 01034,2313,215
8600000US01035,ZCTA5 01035,5301,23
8600000US01036,ZCTA5 01036,5193,19
8600000US01037,ZCTA5 01037,772,159
8600000US01038,ZCTA5 01038,2897,104
8600000US01039,ZCTA5 01039,1129,187
8600000US01040,ZCTA5 01040,40362,36
8600000US01050,ZCTA5 01050,2334,211
8600000US01053,ZCTA5 01053,1658,282
8600000US01054,ZCTA5 01054,1997,132
8600000US01056,ZCTA5 01056,21331,26
8600000US01057,ZCTA5 01057,8801,129
8600000US01060,ZCTA5 01060,15729,565
8600000US01062,ZCTA5 01062,10587,575
8600000US01063,ZCTA5 01063,574,132
8600000US01066,ZCTA5 01066,9,16
8600000US01068,ZCTA5 01068,1849,96
8600000US01069,ZCTA5 01069,8919,445
8600000US01070,ZCTA5 01070,637,90
8600000US01071,ZCTA5 01071,1206,142
8600000US01072,ZCTA5 01072,1490,119
8600000US01073,ZCTA5 01073,6090,43
8600000US01074,ZCTA5 01074,477,260
8600000US01075,ZCTA5 01075,17755,40
8600000US01077,ZCTA5 01077,9711,37
8600000US01079,ZCTA5 01079,480,286
8600000US01080,ZCTA5 01080,2532,352
8600000US01081,ZCTA5 01081,1827,251
8600000US01082,ZCTA5 01082,10637,172
8600000US01083,ZCTA5 01083,3182,526
8600000US01084,ZCTA5 01084,183,52
8600000US01085,ZCTA5 01085,41652,198
8600000US01086,ZCTA5 01086,683,172
8600000US01088,ZCTA5 01088,399,99
8600000US01089,ZCTA5 01089,28671,28
8600000US01092,ZCTA5 01092,1133,512
8600000US01093,ZCTA5 01093,348,88
8600000US01094,ZCTA5 01094,327,115
8600000US01095,ZCTA5 01095,14659,94
8600000US01096,ZCTA5 01096,2607,247
8600000US01097,ZCTA5 01097,54,55
8600000US01098,ZCTA5 01098,1186,115
8600000US01103,ZCTA5 01103,2409,302
8600000US01104,ZCTA5 01104,23635,1145
8600000US01105,ZCTA5 01105,11601,959
8600000US01106,ZCTA5 01106,16048,98
8600000US01107,ZCTA5 01107,11304,812
8600000US01108,ZCTA5 01108,28925,1367
8600000US01109,ZCTA5 01109,30125,1214
8600000US01118,ZCTA5 01118,14774,694
8600000US01119,ZCTA5 01119,13236,950
8600000US01128,ZCTA5 01128,2798,299
8600000US01129,ZCTA5 01129,6750,512
8600000US01151,ZCTA5 01151,8884,674
8600000US01199,ZCTA5 01199,0,12
8600000US01201,ZCTA5 01201,44775,303
8600000US01220,ZCTA5 01220,8211,37
8600000US01222,ZCTA5 01222,818,211
8600000US01223,ZCTA5 01223,2351,162
8600000US01224,ZCTA5 01224,209,101
8600000US01225,ZCTA5 01225,3169,17
8600000US01226,ZCTA5 01226,6839,135
8600000US01229,ZCTA5 01229,86,36
8600000US01230,ZCTA5 01230,8359,331
8600000US01235,ZCTA5 01235,2671,204
8600000US01236,ZCTA5 01236,1197,287
8600000US01237,ZCTA5 01237,2662,302
8600000US01238,ZCTA5 01238,5917,321
8600000US01240,ZCTA5 01240,4493,238
8600000US01242,ZCTA5 01242,475,240
8600000US01243,ZCTA5 01243,333,82
8600000US01244,ZCTA5 01244,108,69
8600000US01245,ZCTA5 01245,803,106
8600000US01247,ZCTA5 01247,15703,142
8600000US01253,ZCTA5 01253,742,108
8600000US01254,ZCTA5 01254,977,91
8600000US01255,ZCTA5 01255,859,99
8600000US01256,ZCTA5 01256,764,98
8600000US01257,ZCTA5 01257,2138,223
8600000US01258,ZCTA5 01258,357,101
8600000US01259,ZCTA5 01259,506,95
8600000US01260,ZCTA5 01260,447,350
8600000US01262,ZCTA5 01262,1110,178
8600000US01264,ZCTA5 01264,205,60
8600000US01266,ZCTA5 01266,1360,166
8600000US01267,ZCTA5 01267,7853,60
8600000US01270,ZCTA5 01270,813,105
8600000US01301,ZCTA5 01301,17715,59
8600000US01330,ZCTA5 01330,1468,151
8600000US01331,ZCTA5 01331,13281,132
8600000US01337,ZCTA5 01337,2626,185
8600000US01338,ZCTA5 01338,170,65
8600000US01339,ZCTA5 01339,1472,154
8600000US01340,ZCTA5 01340,1642,178
8600000US01341,ZCTA5 01341,1743,158
8600000US01342,ZCTA5 01342,1759,365
8600000US01343,ZCTA5 01343,46,23
8600000US01344,ZCTA5 01344,1518,105
8600000US01346,ZCTA5 01346,464,90
8600000US01347,ZCTA5 01347,126,53
8600000US01349,ZCTA5 01349,1231,285
8600000US01350,ZCTA5 01350,86,30
8600000US01351,ZCTA5 01351,2209,282
8600000US01354,ZCTA5 01354,1604,174
8600000US01355,ZCTA5 01355,917,89
8600000US01360,ZCTA5 01360,3012,28
8600000US01364,ZCTA5 01364,7819,43
8600000US01366,ZCTA5 01366,1218,141
8600000US01367,ZCTA5 01367,605,130
8600000US01368,ZCTA5 01368,1316,176
8600000US01370,ZCTA5 01370,4032,236
8600000US01373,ZCTA5 01373,4160,386
8600000US01375,ZCTA5 01375,3662,16
8600000US01376,ZCTA5 01376,5096,303
8600000US01378,ZCTA5 01378,744,90
8600000US01379,ZCTA5 01379,836,104
8600000US01420,ZCTA5 01420,40666,36
8600000US01430,ZCTA5 01430,6210,15
8600000US01431,ZCTA5 01431,3195,25
8600000US01432,ZCTA5 01432,7703,395
8600000US01434,ZCTA5 01434,1712,427
8600000US01436,ZCTA5 01436,3460,386
8600000US01438,ZCTA5 01438,563,344
8600000US01440,ZCTA5 01440,20496,44
8600000US01450,ZCTA5 01450,11282,36
8600000US01451,ZCTA5 01451,4630,302
8600000US01452,ZCTA5 01452,4581,20
8600000US01453,ZCTA5 01453,41446,38
8600000US01460,ZCTA5 01460,9754,23
8600000US01462,ZCTA5 01462,11150,21
8600000US01463,ZCTA5 01463,12049,40
8600000US01464,ZCTA5 01464,7572,17
8600000US01467,ZCTA5 01467,511,274
8600000US01468,ZCTA5 01468,4124,392
8600000US01469,ZCTA5 01469,7454,324
8600000US01473,ZCTA5 01473,7566,20
8600000US01474,ZCTA5 01474,1964,319
8600000US01475,ZCTA5 01475,10738,23
8600000US01501,ZCTA5 01501,16412,82
8600000US01503,ZCTA5 01503,3098,26
8600000US01504,ZCTA5 01504,9201,24
8600000US01505,ZCTA5 01505,4524,24
8600000US01506,ZCTA5 01506,3406,27
8600000US01507,ZCTA5 01507,13379,29
8600000US01510,ZCTA5 01510,13855,39
8600000US01515,ZCTA5 01515,2123,157
8600000US01516,ZCTA5 01516,8745,41
8600000US01518,ZCTA5 01518,3490,475
8600000US01519,ZCTA5 01519,6657,555
8600000US01520,ZCTA5 01520,15061,462
8600000US01521,ZCTA5 01521,2510,225
8600000US01522,ZCTA5 01522,3497,467
8600000US01523,ZCTA5 01523,7735,223
8600000US01524,ZCTA5 01524,6702,427
8600000US01525,ZCTA5 01525,227,133
8600000US01527,ZCTA5 01527,13521,47
8600000US01529,ZCTA5 01529,3237,26
8600000US01531,ZCTA5 01531,1247,137
8600000US01532,ZCTA5 01532,14918,26
8600000US01534,ZCTA5 01534,6262,536
8600000US01535,ZCTA5 01535,4760,19
8600000US01536,ZCTA5 01536,7709,539
8600000US01537,ZCTA5 01537,2337,582
8600000US01540,ZCTA5 01540,11386,594
8600000US01541,ZCTA5 01541,3438,26
8600000US01542,ZCTA5 01542,2299,397
8600000US01543,ZCTA5 01543,8463,17
8600000US01545,ZCTA5 01545,36269,239
8600000US01550,ZCTA5 01550,16858,28
8600000US01560,ZCTA5 01560,4477,299
8600000US01561,ZCTA5 01561,243,220
8600000US01562,ZCTA5 01562,11856,16
8600000US01564,ZCTA5 01564,8000,29
8600000US01566,ZCTA5 01566,6006,478
8600000US01568,ZCTA5 01568,7706,110
8600000US01569,ZCTA5 01569,13864,67
8600000US01570,ZCTA5 01570,16926,23
8600000US01571,ZCTA5 01571,11637,24
8600000US01581,ZCTA5 01581,18836,97
8600000US01583,ZCTA5 01583,7639,105
8600000US01585,ZCTA5 01585,4661,359
8600000US01588,ZCTA5 01588,9864,514
8600000US01590,ZCTA5 01590,9297,21
8600000US01602,ZCTA5 01602,24166,944
8600000US01603,ZCTA5 01603,19981,1239
8600000US01604,ZCTA5 01604,36772,1085
8600000US01605,ZCTA5 01605,28742,1288
8600000US01606,ZCTA5 01606,19375,940
8600000US01607,ZCTA5 01607,8698,695
8600000US01608,ZCTA5 01608,3371,526
8600000US01609,ZCTA5 01609,20714,1123
8600000US01610,ZCTA5 01610,23438,1177
8600000US01611,ZCTA5 01611,2451,353
8600000US01612,ZCTA5 01612,4845,21
8600000US01701,ZCTA5 01701,32098,755
8600000US01702,ZCTA5 01702,39226,761
8600000US01718,ZCTA5 01718,716,305
8600000US01719,ZCTA5 01719,5546,23
8600000US01720,ZCTA5 01720,22680,319
8600000US01721,ZCTA5 01721,17478,32
8600000US01730,ZCTA5 01730,14031,46
8600000US01731,ZCTA5 01731,2012,126
8600000US01740,ZCTA5 01740,5167,35
8600000US01741,ZCTA5 01741,5160,21
8600000US01742,ZCTA5 01742,19383,84
8600000US01745,ZCTA5 01745,501,238
8600000US01746,ZCTA5 01746,14480,56
8600000US01747,ZCTA5 01747,5955,18
8600000US01748,ZCTA5 01748,16720,35
8600000US01749,ZCTA5 01749,19843,24
8600000US01752,ZCTA5 01752,39771,39
8600000US01754,ZCTA5 01754,10560,23
8600000US01756,ZCTA5 01756,5995,19
8600000US01757,ZCTA5 01757,28694,112
8600000US01760,ZCTA5 01760,35715,87
8600000US01770,ZCTA5 01770,4302,41
8600000US01772,ZCTA5 01772,9520,238
8600000US01773,ZCTA5 01773,4791,128
8600000US01775,ZCTA5 01775,7061,41
8600000US01776,ZCTA5 01776,18697,21
8600000US01778,ZCTA5 01778,13850,93
8600000US01801,ZCTA5 01801,40375,333
8600000US01803,ZCTA5 01803,26103,26
8600000US01810,ZCTA5 01810,35375,47
8600000US01821,ZCTA5 01821,32348,548
8600000US01824,ZCTA5 01824,25961,384
8600000US01826,ZCTA5 01826,30948,164
8600000US01827,ZCTA5 01827,3337,41
8600000US01830,ZCTA5 01830,26524,771
8600000US01832,ZCTA5 01832,23372,792
8600000US01833,ZCTA5 01833,8569,36
8600000US01834,ZCTA5 01834,6697,23
8600000US01835,ZCTA5 01835,13047,610
8600000US01840,ZCTA5 01840,5248,400
8600000US01841,ZCTA5 01841,48295,1238
8600000US01843,ZCTA5 01843,25942,1192
8600000US01844,ZCTA5 01844,49587,43
8600000US01845,ZCTA5 01845,30170,28
8600000US01850,ZCTA5 01850,16890,995
8600000US01851,ZCTA5 01851,29849,1042
8600000US01852,ZCTA5 01852,34756,861
8600000US01854,ZCTA5 01854,29561,912
8600000US01860,ZCTA5 01860,6752,25
8600000US01862,ZCTA5 01862,10676,561
8600000US01863,ZCTA5 01863,9106,384
8600000US01864,ZCTA5 01864,15598,24
8600000US01867,ZCTA5 01867,24894,335
8600000US01876,ZCTA5 01876,30433,139
8600000US01879,ZCTA5 01879,12305,125
8600000US01880,ZCTA5 01880,26450,158
8600000US01886,ZCTA5 01886,24087,28
8600000US01887,ZCTA5 01887,23538,40
8600000US01890,ZCTA5 01890,22579,27
8600000US01901,ZCTA5 01901,1878,499
8600000US01902,ZCTA5 01902,48218,1357
8600000US01904,ZCTA5 01904,17320,1173
8600000US01905,ZCTA5 01905,25590,860
8600000US01906,ZCTA5 01906,28037,25
8600000US01907,ZCTA5 01907,14758,118
8600000US01908,ZCTA5 01908,3488,18
8600000US01913,ZCTA5 01913,17218,33
8600000US01915,ZCTA5 01915,41431,67
8600000US01921,ZCTA5 01921,8228,18
8600000US01922,ZCTA5 01922,2812,501
8600000US01923,ZCTA5 01923,27391,42
8600000US01929,ZCTA5 01929,3687,25
8600000US01930,ZCTA5 01930,29858,44
8600000US01937,ZCTA5 01937,136,26
8600000US01938,ZCTA5 01938,13810,27
8600000US01940,ZCTA5 01940,13425,192
8600000US01944,ZCTA5 01944,5327,29
8600000US01945,ZCTA5 01945,20393,68
8600000US01949,ZCTA5 01949,9656,17
8600000US01950,ZCTA5 01950,17890,22
