GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
8600000US00601,ZCTA5 00601,16773,259
8600000US00602,ZCTA5 00602,37083,149
8600000US00603,ZCTA5 00603,45652,784
8600000US00606,ZCTA5 00606,6231,337
8600000US00610,ZCTA5 00610,26502,137
8600000US00612,ZCTA5 00612,58771,1215
8600000US00616,ZCTA5 00616,9688,997
8600000US00617,ZCTA5 00617,23771,279
8600000US00622,ZCTA5 00622,6505,1014
8600000US00623,ZCTA5 00623,41472,1014
8600000US00624,ZCTA5 00624,21031,408
8600000US00627,ZCTA5 00627,31066,*****
8600000US00631,ZCTA5 00631,1481,267
8600000US00637,ZCTA5 00637,21957,150
8600000US00638,ZCTA5 00638,16018,384
8600000US00641,ZCTA5 00641,26383,435
8600000US00646,ZCTA5 00646,36538,98
8600000US00647,ZCTA5 00647,5708,761
8600000US00650,ZCTA5 00650,13869,581
8600000US00652,ZCTA5 00652,3624,596
8600000US00653,ZCTA5 00653,10117,761
8600000US00656,ZCTA5 00656,17984,147
8600000US00659,ZCTA5 00659,39561,*****
8600000US00660,ZCTA5 00660,15731,*****
8600000US00662,ZCTA5 00662,39017,578
8600000US00664,ZCTA5 00664,14405,186
8600000US00667,ZCTA5 00667,22721,149
8600000US00669,ZCTA5 00669,24022,260
8600000US00670,ZCTA5 00670,8051,65
8600000US00674,ZCTA5 00674,38218,311
8600000US00676,ZCTA5 00676,35621,74
8600000US00677,ZCTA5 00677,13949,114
8600000US00678,ZCTA5 00678,24997,519
8600000US00680,ZCTA5 00680,44904,1545
8600000US00682,ZCTA5 00682,30212,1389
8600000US00683,ZCTA5 00683,28710,584
8600000US00685,ZCTA5 00685,36546,417
8600000US00687,ZCTA5 00687,30652,*****
8600000US00688,ZCTA5 00688,11355,873
8600000US00690,ZCTA5 00690,5900,784
8600000US00692,ZCTA5 00692,34857,688
8600000US00693,ZCTA5 00693,52220,715
8600000US00694,ZCTA5 00694,32,51
8600000US00698,ZCTA5 00698,34449,205
8600000US00703,ZCTA5 00703,25619,751
8600000US00704,ZCTA5 00704,7641,1008
8600000US00705,ZCTA5 00705,22289,259
8600000US00707,ZCTA5 00707,10514,90
8600000US00714,ZCTA5 00714,17413,139
8600000US00715,ZCTA5 00715,2846,615
8600000US00716,ZCTA5 00716,26433,1369
8600000US00717,ZCTA5 00717,15115,986
8600000US00718,ZCTA5 00718,25543,492
8600000US00719,ZCTA5 00719,28048,228
8600000US00720,ZCTA5 00720,20387,166
8600000US00723,ZCTA5 00723,16645,90
8600000US00725,ZCTA5 00725,79395,2121
8600000US00727,ZCTA5 00727,51772,1950
8600000US00728,ZCTA5 00728,39204,1561
8600000US00729,ZCTA5 00729,50721,587
8600000US00730,ZCTA5 00730,29075,1485
8600000US00731,ZCTA5 00731,12108,1145
8600000US00735,ZCTA5 00735,11593,492
8600000US00736,ZCTA5 00736,45773,874
8600000US00738,ZCTA5 00738,28329,450
8600000US00739,ZCTA5 00739,35801,569
8600000US00740,ZCTA5 00740,1934,450
8600000US00741,ZCTA5 00741,3911,615
8600000US00745,ZCTA5 00745,49472,284
8600000US00751,ZCTA5 00751,20662,988
8600000US00754,ZCTA5 00754,36309,215
8600000US00757,ZCTA5 00757,21474,*****
8600000US00765,ZCTA5 00765,8402,149
8600000US00766,ZCTA5 00766,22187,147
8600000US00767,ZCTA5 00767,32867,*****
8600000US00769,ZCTA5 00769,38500,77
8600000US00771,ZCTA5 00771,36388,453
8600000US00772,ZCTA5 00772,18919,565
8600000US00773,ZCTA5 00773,17924,*****
8600000US00775,ZCTA5 00775,1326,280
8600000US00777,ZCTA5 00777,39580,587
8600000US00778,ZCTA5 00778,46720,403
8600000US00780,ZCTA5 00780,10887,1169
8600000US00782,ZCTA5 00782,17310,485
8600000US00783,ZCTA5 00783,32372,295
8600000US00784,ZCTA5 00784,38894,362
8600000US00786,ZCTA5 00786,292,256
8600000US00791,ZCTA5 00791,47675,615
8600000US00794,ZCTA5 00794,28088,97
8600000US00795,ZCTA5 00795,43475,574
8600000US00901,ZCTA5 00901,7438,881
8600000US00906,ZCTA5 00906,178,113
8600000US00907,ZCTA5 00907,15641,1137
8600000US00909,ZCTA5 00909,4855,611
8600000US00911,ZCTA5 00911,7157,706
8600000US00912,ZCTA5 00912,5868,748
8600000US00913,ZCTA5 00913,7225,941
8600000US00915,ZCTA5 00915,24079,1253
8600000US00917,ZCTA5 00917,17836,1371
8600000US00918,ZCTA5 00918,14902,1249
8600000US00920,ZCTA5 00920,16157,1137
8600000US00921,ZCTA5 00921,30663,1644
8600000US00923,ZCTA5 00923,23811,1393
8600000US00924,ZCTA5 00924,46690,2327
8600000US00925,ZCTA5 00925,6365,772
8600000US00926,ZCTA5 00926,89327,2742
8600000US00927,ZCTA5 00927,13490,1215
8600000US00934,ZCTA5 00934,114,127
8600000US00936,ZCTA5 00936,802,850
8600000US00949,ZCTA5 00949,71371,1016
8600000US00950,ZCTA5 00950,0,14
8600000US00951,ZCTA5 00951,0,14
8600000US00952,ZCTA5 00952,7324,862
8600000US00953,ZCTA5 00953,70997,820
8600000US00956,ZCTA5 00956,60554,2106
8600000US00957,ZCTA5 00957,37977,1873
8600000US00959,ZCTA5 00959,46116,2061
8600000US00960,ZCTA5 00960,1793,246
8600000US00961,ZCTA5 00961,28638,1288
8600000US00962,ZCTA5 00962,18274,652
8600000US00965,ZCTA5 00965,6901,654
8600000US00966,ZCTA5 00966,15139,1289
8600000US00968,ZCTA5 00968,3603,459
8600000US00969,ZCTA5 00969,40402,1813
8600000US00971,ZCTA5 00971,25443,1434
8600000US00976,ZCTA5 00976,57297,1476
8600000US00979,ZCTA5 00979,17022,1133
8600000US00982,ZCTA5 00982,13402,939
8600000US00983,ZCTA5 00983,32735,1884
8600000US00985,ZCTA5 00985,31388,1365
8600000US00987,ZCTA5 00987,52270,2162
8600000US01001,ZCTA5 01001,16064,941
8600000US01002,ZCTA5 01002,30099,613
8600000US01003,ZCTA5 01003,11588,568
8600000US01005,ZCTA5 01005,5166,292
8600000US01007,ZCTA5 01007,15080,21
8600000US01008,ZCTA5 01008,1116,169
8600000US01009,ZCTA5 01009,649,369
8600000US01010,ZCTA5 01010,3663,18
8600000US01011,ZCTA5 01011,1486,252
8600000US01012,ZCTA5 01012,595,137
8600000US01013,ZCTA5 01013,22739,1248
8600000US01020,ZCTA5 01020,30249,1293
8600000US01022,ZCTA5 01022,2203,400
