GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
860Z200US00601,ZCTA5 00601,17126,429
860Z200US00602,ZCTA5 00602,37895,279
860Z200US00603,ZCTA5 00603,49136,841
860Z200US00606,ZCTA5 00606,5751,355
860Z200US00610,ZCTA5 00610,26153,382
860Z200US00611,ZCTA5 00611,1283,358
860Z200US00612,ZCTA5 00612,64090,1466
860Z200US00616,ZCTA5 00616,10186,1247
860Z200US00617,ZCTA5 00617,22803,283
860Z200US00622,ZCTA5 00622,7751,1105
860Z200US00623,ZCTA5 00623,39652,1105
860Z200US00624,ZCTA5 00624,21912,412
860Z200US00627,ZCTA5 00627,32885,*****
860Z200US00631,ZCTA5 00631,1098,380
860Z200US00636,ZCTA5 00636,1174,525
860Z200US00637,ZCTA5 00637,23016,265
860Z200US00638,ZCTA5 00638,17689,555
860Z200US00641,ZCTA5 00641,24915,684
860Z200US00646,ZCTA5 00646,36142,118
860Z200US00647,ZCTA5 00647,5198,672
860Z200US00650,ZCTA5 00650,14301,781
860Z200US00652,ZCTA5 00652,3193,548
860Z200US00653,ZCTA5 00653,9099,672
860Z200US00656,ZCTA5 00656,18633,404
860Z200US00659,ZCTA5 00659,37525,405
860Z200US00660,ZCTA5 00660,15630,65
860Z200US00662,ZCTA5 00662,40503,735
860Z200US00664,ZCTA5 00664,15132,205
860Z200US00667,ZCTA5 00667,23665,259
860Z200US00669,ZCTA5 00669,27763,444
860Z200US00670,ZCTA5 00670,8744,129
860Z200US00674,ZCTA5 00674,39569,439
860Z200US00676,ZCTA5 00676,36849,541
860Z200US00677,ZCTA5 00677,15225,120
860Z200US00678,ZCTA5 00678,25763,618
860Z200US00680,ZCTA5 00680,43070,1607
860Z200US00682,ZCTA5 00682,31816,1591
860Z200US00683,ZCTA5 00683,29664,644
860Z200US00685,ZCTA5 00685,40169,662
860Z200US00687,ZCTA5 00687,29069,*****
860Z200US00688,ZCTA5 00688,11552,1221
860Z200US00690,ZCTA5 00690,6217,867
860Z200US00692,ZCTA5 00692,33646,748
860Z200US00693,ZCTA5 00693,56146,889
860Z200US00694,ZCTA5 00694,86,104
860Z200US00698,ZCTA5 00698,34016,426
860Z200US00703,ZCTA5 00703,25001,679
860Z200US00704,ZCTA5 00704,7179,1014
860Z200US00705,ZCTA5 00705,24414,145
860Z200US00707,ZCTA5 00707,10615,75
860Z200US00714,ZCTA5 00714,16183,*****
860Z200US00715,ZCTA5 00715,2012,500
860Z200US00716,ZCTA5 00716,27746,1720
860Z200US00717,ZCTA5 00717,14568,1119
860Z200US00718,ZCTA5 00718,23412,391
860Z200US00719,ZCTA5 00719,29555,280
860Z200US00720,ZCTA5 00720,20717,353
860Z200US00723,ZCTA5 00723,16265,99
860Z200US00725,ZCTA5 00725,79153,2297
860Z200US00727,ZCTA5 00727,52829,2062
860Z200US00728,ZCTA5 00728,39669,1768
860Z200US00729,ZCTA5 00729,48227,708
860Z200US00730,ZCTA5 00730,33251,1780
860Z200US00731,ZCTA5 00731,11131,1330
860Z200US00735,ZCTA5 00735,11621,415
860Z200US00736,ZCTA5 00736,46167,771
860Z200US00738,ZCTA5 00738,30468,386
860Z200US00739,ZCTA5 00739,35105,841
860Z200US00740,ZCTA5 00740,2020,385
