"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US75218","ZCTA5 75218","22264","1006",
"8600000US75219","ZCTA5 75219","23277","1124",
"8600000US75220","ZCTA5 75220","42642","1416",
"8600000US75223","ZCTA5 75223","14351","865",
"8600000US75224","ZCTA5 75224","36468","1628",
"8600000US75225","ZCTA5 75225","21568","709",
"8600000US75226","ZCTA5 75226","4790","552",
"8600000US75227","ZCTA5 75227","57806","2190",
"8600000US75228","ZCTA5 75228","74605","1964",
"8600000US75229","ZCTA5 75229","32390","996",
"8600000US75230","ZCTA5 75230","27521","1009",
"8600000US75231","ZCTA5 75231","40464","1599",
"8600000US75232","ZCTA5 75232","30714","1779",
"8600000US75233","ZCTA5 75233","16318","1190",
"8600000US75234","ZCTA5 75234","32589","602",
"8600000US75235","ZCTA5 75235","18794","1326",
"8600000US75236","ZCTA5 75236","18542","1247",
"8600000US75237","ZCTA5 75237","20295","1352",
"8600000US75238","ZCTA5 75238","33009","1017",
"8600000US75240","ZCTA5 75240","27875","1430",
"8600000US75241","ZCTA5 75241","29398","1783",
"8600000US75243","ZCTA5 75243","67445","2128",
"8600000US75244","ZCTA5 75244","13613","664",
"8600000US75246","ZCTA5 75246","2276","406",
"8600000US75247","ZCTA5 75247","712","263",
"8600000US75248","ZCTA5 75248","35464","1207",
"8600000US75249","ZCTA5 75249","16100","828",
"8600000US75251","ZCTA5 75251","2368","370",
"8600000US75252","ZCTA5 75252","26493","717",
"8600000US75253","ZCTA5 75253","22721","1665",
"8600000US75254","ZCTA5 75254","26602","1387",
"8600000US75270","ZCTA5 75270","0","13",
"8600000US75287","ZCTA5 75287","53903","797",
"8600000US75390","ZCTA5 75390","0","13",
"8600000US75401","ZCTA5 75401","18830","786",
"8600000US75402","ZCTA5 75402","16931","992",
"8600000US75407","ZCTA5 75407","16367","1108",
"8600000US75409","ZCTA5 75409","14010","491",
"8600000US75410","ZCTA5 75410","5327","714",
"8600000US75411","ZCTA5 75411","1157","283",
"8600000US75412","ZCTA5 75412","528","173",
"8600000US75413","ZCTA5 75413","223","74",
"8600000US75414","ZCTA5 75414","3184","409",
"8600000US75415","ZCTA5 75415","128","79",
"8600000US75416","ZCTA5 75416","2887","567",
"8600000US75417","ZCTA5 75417","2691","317",
"8600000US75418","ZCTA5 75418","14318","431",
"8600000US75420","ZCTA5 75420","870","236",
"8600000US75421","ZCTA5 75421","898","378",
"8600000US75422","ZCTA5 75422","2946","543",
"8600000US75423","ZCTA5 75423","2749","367",
"8600000US75424","ZCTA5 75424","3765","647",
"8600000US75426","ZCTA5 75426","4953","339",
"8600000US75428","ZCTA5 75428","10802","239",
"8600000US75431","ZCTA5 75431","2356","487",
"8600000US75432","ZCTA5 75432","3519","203",
"8600000US75433","ZCTA5 75433","2752","307",
"8600000US75435","ZCTA5 75435","1374","310",
"8600000US75436","ZCTA5 75436","1923","279",
"8600000US75437","ZCTA5 75437","1335","216",
"8600000US75438","ZCTA5 75438","918","139",
"8600000US75439","ZCTA5 75439","932","159",
"8600000US75440","ZCTA5 75440","6201","461",
"8600000US75441","ZCTA5 75441","128","88",
"8600000US75442","ZCTA5 75442","9848","845",
