Label (Grouping),Total
ZCTA5 75052,
    Estimate,"94,060"
    Margin of Error,"±2,945"
ZCTA5 75054,
    Estimate,"13,045"
    Margin of Error,"±1,954"
ZCTA5 75056,
    Estimate,"59,674"
    Margin of Error,"±1,602"
ZCTA5 75057,
    Estimate,"16,670"
    Margin of Error,"±1,634"
ZCTA5 75058,
    Estimate,"3,329"
    Margin of Error,±755
ZCTA5 75060,
    Estimate,"49,307"
    Margin of Error,"±3,168"
ZCTA5 75061,
    Estimate,"53,983"
    Margin of Error,"±2,439"
ZCTA5 75062,
    Estimate,"49,296"
    Margin of Error,"±2,923"
ZCTA5 75063,
    Estimate,"39,831"
    Margin of Error,"±1,733"
ZCTA5 75065,
    Estimate,"13,026"
    Margin of Error,±435
ZCTA5 75067,
    Estimate,"67,197"
    Margin of Error,"±2,201"
ZCTA5 75068,
    Estimate,"69,656"
    Margin of Error,"±2,508"
ZCTA5 75069,
    Estimate,"37,582"
    Margin of Error,"±2,174"
ZCTA5 75070,
    Estimate,"109,085"
    Margin of Error,"±3,318"
ZCTA5 75071,
    Estimate,"62,769"
    Margin of Error,"±2,906"
ZCTA5 75074,
    Estimate,"53,459"
    Margin of Error,"±2,408"
ZCTA5 75075,
    Estimate,"37,310"
    Margin of Error,"±1,990"
ZCTA5 75076,
    Estimate,"8,297"
    Margin of Error,"±1,026"
ZCTA5 75077,
    Estimate,"38,764"
    Margin of Error,"±1,819"
ZCTA5 75078,
    Estimate,"34,300"
    Margin of Error,"±1,396"
ZCTA5 75080,
    Estimate,"53,708"
    Margin of Error,"±2,222"
ZCTA5 75081,
    Estimate,"40,825"
    Margin of Error,"±2,043"
ZCTA5 75082,
    Estimate,"23,418"
    Margin of Error,"±1,391"
ZCTA5 75087,
    Estimate,"36,718"
    Margin of Error,"±1,854"
ZCTA5 75088,
    Estimate,"26,823"
    Margin of Error,"±1,696"
ZCTA5 75089,
    Estimate,"37,310"
    Margin of Error,"±1,664"
ZCTA5 75090,
    Estimate,"25,732"
    Margin of Error,"±1,799"
ZCTA5 75092,
    Estimate,"26,297"
    Margin of Error,"±1,721"
ZCTA5 75093,
    Estimate,"47,908"
    Margin of Error,"±2,580"
ZCTA5 75094,
    Estimate,"23,408"
    Margin of Error,±598
ZCTA5 75098,
    Estimate,"58,717"
    Margin of Error,"±1,202"
ZCTA5 75101,
    Estimate,643
    Margin of Error,±222
ZCTA5 75102,
    Estimate,"1,455"
    Margin of Error,±674
ZCTA5 75103,
    Estimate,"15,358"
    Margin of Error,"±1,111"
ZCTA5 75104,
    Estimate,"48,821"
    Margin of Error,±279
ZCTA5 75105,
    Estimate,248
    Margin of Error,±157
ZCTA5 75109,
    Estimate,"4,150"
    Margin of Error,±468
ZCTA5 75110,
    Estimate,"29,665"
    Margin of Error,±744
ZCTA5 75114,
    Estimate,"6,870"
    Margin of Error,±903
ZCTA5 75115,
    Estimate,"53,118"
    Margin of Error,±70
ZCTA5 75116,
    Estimate,"19,755"
    Margin of Error,"±1,100"
ZCTA5 75117,
    Estimate,"4,505"
    Margin of Error,±968
ZCTA5 75119,
    Estimate,"28,901"
    Margin of Error,"±1,026"
ZCTA5 75124,
    Estimate,"4,985"
    Margin of Error,"±1,065"
ZCTA5 75125,
    Estimate,"7,664"
    Margin of Error,"±1,266"
ZCTA5 75126,
    Estimate,"52,078"
    Margin of Error,"±1,652"
ZCTA5 75127,
    Estimate,"1,906"
    Margin of Error,±361
ZCTA5 75132,
    Estimate,"2,326"
    Margin of Error,±850
ZCTA5 75134,
    Estimate,"20,759"
    Margin of Error,"±1,553"
ZCTA5 75135,
    Estimate,"7,183"
    Margin of Error,"±1,029"
ZCTA5 75137,
    Estimate,"19,341"
    Margin of Error,"±1,095"
ZCTA5 75140,
    Estimate,"6,877"
    Margin of Error,±636
ZCTA5 75141,
    Estimate,"5,814"
    Margin of Error,±162
ZCTA5 75142,
    Estimate,"21,746"
    Margin of Error,"±1,431"
ZCTA5 75143,
    Estimate,"14,336"
    Margin of Error,"±1,262"
ZCTA5 75144,
    Estimate,"3,414"
    Margin of Error,±588
ZCTA5 75146,
    Estimate,"20,663"
    Margin of Error,"±1,621"
ZCTA5 75147,
    Estimate,"6,951"
    Margin of Error,±698
ZCTA5 75148,
    Estimate,"6,396"
    Margin of Error,±812
ZCTA5 75149,
    Estimate,"57,758"
    Margin of Error,"±2,029"
ZCTA5 75150,
    Estimate,"61,863"
    Margin of Error,"±2,064"
ZCTA5 75152,
    Estimate,"5,194"
    Margin of Error,±658
ZCTA5 75153,
    Estimate,571
    Margin of Error,±274
ZCTA5 75154,
    Estimate,"42,192"
    Margin of Error,"±1,424"
ZCTA5 75155,
    Estimate,"2,971"
    Margin of Error,±386
ZCTA5 75156,
    Estimate,"16,718"
    Margin of Error,"±1,160"
ZCTA5 75157,
    Estimate,233
    Margin of Error,±79
ZCTA5 75158,
    Estimate,"4,337"
    Margin of Error,±710
ZCTA5 75159,
    Estimate,"20,857"
    Margin of Error,±640
ZCTA5 75160,
    Estimate,"24,494"
    Margin of Error,±775
ZCTA5 75161,
    Estimate,"7,483"
    Margin of Error,"±1,146"
ZCTA5 75163,
    Estimate,"2,590"
    Margin of Error,±475
ZCTA5 75164,
    Estimate,788
    Margin of Error,±214
ZCTA5 75165,
    Estimate,"44,571"
    Margin of Error,"±1,263"
ZCTA5 75166,
    Estimate,"4,624"
    Margin of Error,±243
ZCTA5 75167,
    Estimate,"12,091"
    Margin of Error,"±1,550"
ZCTA5 75169,
    Estimate,"12,937"
    Margin of Error,±903
ZCTA5 75172,
    Estimate,"4,814"
    Margin of Error,±122
ZCTA5 75173,
    Estimate,"4,953"
    Margin of Error,±933
ZCTA5 75180,
    Estimate,"23,939"
    Margin of Error,±668
ZCTA5 75181,
    Estimate,"25,264"
    Margin of Error,"±2,148"
ZCTA5 75182,
    Estimate,"6,199"
    Margin of Error,±396
ZCTA5 75189,
    Estimate,"30,842"
    Margin of Error,"±1,219"
ZCTA5 75201,
    Estimate,"18,032"
    Margin of Error,"±1,205"
ZCTA5 75202,
    Estimate,"2,739"
    Margin of Error,±393
ZCTA5 75203,
    Estimate,"18,295"
    Margin of Error,"±1,853"
ZCTA5 75204,
    Estimate,"32,032"
    Margin of Error,"±1,978"
ZCTA5 75205,
    Estimate,"24,726"
    Margin of Error,"±1,044"
ZCTA5 75206,
    Estimate,"39,653"
    Margin of Error,"±2,182"
ZCTA5 75207,
    Estimate,"7,715"
    Margin of Error,"±1,261"
ZCTA5 75208,
    Estimate,"30,064"
    Margin of Error,"±1,626"
ZCTA5 75209,
    Estimate,"14,558"
    Margin of Error,"±1,318"
ZCTA5 75210,
    Estimate,"9,504"
    Margin of Error,"±1,728"
ZCTA5 75211,
    Estimate,"77,920"
    Margin of Error,"±3,714"
ZCTA5 75212,
    Estimate,"28,017"
    Margin of Error,"±2,316"
ZCTA5 75214,
    Estimate,"34,658"
    Margin of Error,"±1,917"
ZCTA5 75215,
    Estimate,"17,184"
    Margin of Error,"±1,432"
ZCTA5 75216,
    Estimate,"54,253"
    Margin of Error,"±3,157"
ZCTA5 75217,
    Estimate,"86,811"
    Margin of Error,"±3,817"
ZCTA5 75218,
    Estimate,"22,712"
    Margin of Error,"±1,806"
ZCTA5 75219,
    Estimate,"24,038"
    Margin of Error,"±1,591"
ZCTA5 75220,
    Estimate,"41,110"
    Margin of Error,"±2,717"
ZCTA5 75223,
    Estimate,"15,002"
    Margin of Error,"±1,440"
ZCTA5 75224,
    Estimate,"37,602"
    Margin of Error,"±2,650"
ZCTA5 75225,
    Estimate,"22,108"
    Margin of Error,"±1,099"
ZCTA5 75226,
    Estimate,"4,774"
    Margin of Error,±720
ZCTA5 75227,
    Estimate,"60,632"
    Margin of Error,"±2,978"
ZCTA5 75228,
    Estimate,"75,303"
    Margin of Error,"±4,082"
ZCTA5 75229,
    Estimate,"32,739"
    Margin of Error,"±1,999"
ZCTA5 75230,
    Estimate,"27,402"
    Margin of Error,"±1,717"
ZCTA5 75231,
    Estimate,"40,987"
    Margin of Error,"±2,630"
ZCTA5 75232,
    Estimate,"32,823"
    Margin of Error,"±2,576"
ZCTA5 75233,
    Estimate,"16,920"
    Margin of Error,"±1,741"
ZCTA5 75234,
    Estimate,"39,644"
    Margin of Error,±965
ZCTA5 75235,
    Estimate,"19,198"
    Margin of Error,"±1,999"
ZCTA5 75236,
    Estimate,"16,920"
    Margin of Error,"±1,581"
ZCTA5 75237,
    Estimate,"21,607"
    Margin of Error,"±1,442"
ZCTA5 75238,
    Estimate,"33,396"
    Margin of Error,"±1,950"
ZCTA5 75240,
    Estimate,"26,841"
    Margin of Error,"±1,627"
ZCTA5 75241,
    Estimate,"30,863"
    Margin of Error,"±2,058"
ZCTA5 75243,
    Estimate,"68,253"
    Margin of Error,"±3,276"
ZCTA5 75244,
    Estimate,"13,552"
    Margin of Error,"±1,097"
ZCTA5 75246,
    Estimate,"2,553"
    Margin of Error,±603
ZCTA5 75247,
    Estimate,772
    Margin of Error,±203
ZCTA5 75248,
    Estimate,"37,602"
    Margin of Error,"±2,093"
ZCTA5 75249,
    Estimate,"18,374"
    Margin of Error,"±3,148"
ZCTA5 75251,
    Estimate,"3,750"
    Margin of Error,±792
ZCTA5 75252,
    Estimate,"27,880"
    Margin of Error,"±1,108"
ZCTA5 75253,
    Estimate,"24,666"
    Margin of Error,"±3,261"
ZCTA5 75254,
    Estimate,"26,700"
    Margin of Error,"±2,702"
ZCTA5 75270,
    Estimate,0
    Margin of Error,±14
ZCTA5 75287,
    Estimate,"55,060"
    Margin of Error,"±1,120"
ZCTA5 75390,
    Estimate,0
    Margin of Error,±14
ZCTA5 75401,
    Estimate,"20,689"
    Margin of Error,"±1,366"
ZCTA5 75402,
    Estimate,"17,463"
    Margin of Error,"±1,207"
ZCTA5 75407,
    Estimate,"18,371"
    Margin of Error,±954
ZCTA5 75409,
    Estimate,"16,750"
    Margin of Error,±718
ZCTA5 75410,
    Estimate,"4,332"
    Margin of Error,±630
ZCTA5 75411,
    Estimate,740
    Margin of Error,±317
ZCTA5 75412,
    Estimate,659
    Margin of Error,±274
ZCTA5 75413,
    Estimate,287
    Margin of Error,±111
ZCTA5 75414,
    Estimate,"3,394"
    Margin of Error,±584
ZCTA5 75415,
    Estimate,353
    Margin of Error,±184
ZCTA5 75416,
    Estimate,"2,946"
    Margin of Error,±478
ZCTA5 75417,
    Estimate,"2,563"
    Margin of Error,±371
ZCTA5 75418,
    Estimate,"14,570"
    Margin of Error,±524
ZCTA5 75420,
    Estimate,"1,135"
    Margin of Error,±360
ZCTA5 75421,
    Estimate,719
    Margin of Error,±402
ZCTA5 75422,
    Estimate,"3,084"
    Margin of Error,±521
ZCTA5 75423,
    Estimate,"3,423"
    Margin of Error,±591
ZCTA5 75424,
    Estimate,"2,891"
    Margin of Error,±454
ZCTA5 75426,
    Estimate,"4,177"
    Margin of Error,±240
ZCTA5 75428,
    Estimate,"11,474"
    Margin of Error,±507
ZCTA5 75431,
    Estimate,"1,871"
    Margin of Error,±418
ZCTA5 75432,
    Estimate,"3,196"
    Margin of Error,±337
ZCTA5 75433,
    Estimate,"3,115"
    Margin of Error,±438
ZCTA5 75435,
    Estimate,"1,146"
    Margin of Error,±294
ZCTA5 75436,
    Estimate,"2,122"
    Margin of Error,±301
ZCTA5 75437,
    Estimate,"1,144"
    Margin of Error,±214
ZCTA5 75438,
    Estimate,973
    Margin of Error,±254
ZCTA5 75439,
    Estimate,"1,186"
    Margin of Error,±184
ZCTA5 75440,
    Estimate,"7,112"
    Margin of Error,±574
ZCTA5 75441,
    Estimate,192
    Margin of Error,±114
ZCTA5 75442,
    Estimate,"9,558"
    Margin of Error,"±1,088"
ZCTA5 75446,
    Estimate,"3,415"
    Margin of Error,±424
ZCTA5 75447,
    Estimate,"1,201"
    Margin of Error,±261
ZCTA5 75448,
    Estimate,784
    Margin of Error,±301
ZCTA5 75449,
    Estimate,"1,247"
    Margin of Error,±232
ZCTA5 75450,
    Estimate,197
    Margin of Error,±134
ZCTA5 75451,
    Estimate,"1,375"
    Margin of Error,±418
ZCTA5 75452,
    Estimate,"4,673"
    Margin of Error,±486
ZCTA5 75453,
    Estimate,"2,661"
    Margin of Error,±524
ZCTA5 75454,
    Estimate,"11,848"
    Margin of Error,±353
ZCTA5 75455,
    Estimate,"27,700"
    Margin of Error,±631
ZCTA5 75457,
    Estimate,"6,243"
    Margin of Error,±538
ZCTA5 75459,
    Estimate,"5,260"
    Margin of Error,±540
ZCTA5 75460,
    Estimate,"23,926"
    Margin of Error,±852
ZCTA5 75462,
    Estimate,"11,652"
    Margin of Error,±808
ZCTA5 75468,
    Estimate,"1,228"
    Margin of Error,±384
ZCTA5 75469,
    Estimate,310
    Margin of Error,±144
ZCTA5 75470,
    Estimate,147
    Margin of Error,±92
ZCTA5 75471,
    Estimate,"1,808"
    Margin of Error,±471
ZCTA5 75472,
    Estimate,"4,014"
    Margin of Error,±478
ZCTA5 75473,
    Estimate,"3,443"
    Margin of Error,±484
ZCTA5 75474,
    Estimate,"15,912"
    Margin of Error,"±1,050"
ZCTA5 75475,
    Estimate,111
    Margin of Error,±77
ZCTA5 75476,
    Estimate,"1,031"
    Margin of Error,±232
ZCTA5 75477,
    Estimate,"1,172"
    Margin of Error,±352
ZCTA5 75478,
    Estimate,947
    Margin of Error,±253
ZCTA5 75479,
    Estimate,"1,987"
    Margin of Error,±323
ZCTA5 75480,
    Estimate,"2,030"
    Margin of Error,±433
ZCTA5 75481,
    Estimate,412
    Margin of Error,±176
ZCTA5 75482,
    Estimate,"25,108"
    Margin of Error,±740
ZCTA5 75486,
    Estimate,"2,311"
    Margin of Error,±528
ZCTA5 75487,
    Estimate,"1,846"
    Margin of Error,±463
ZCTA5 75488,
    Estimate,747
    Margin of Error,±309
ZCTA5 75489,
    Estimate,"1,110"
    Margin of Error,±266
ZCTA5 75490,
    Estimate,"2,633"
    Margin of Error,±372
ZCTA5 75491,
    Estimate,"4,781"
    Margin of Error,±610
ZCTA5 75492,
    Estimate,369
    Margin of Error,±118
ZCTA5 75493,
    Estimate,589
    Margin of Error,±178
ZCTA5 75494,
    Estimate,"10,741"
    Margin of Error,±879
ZCTA5 75495,
    Estimate,"8,621"
    Margin of Error,±788
ZCTA5 75496,
    Estimate,"3,450"
    Margin of Error,±614
ZCTA5 75497,
    Estimate,"3,963"
    Margin of Error,±575
ZCTA5 75501,
    Estimate,"35,352"
    Margin of Error,"±1,544"
ZCTA5 75503,
    Estimate,"26,843"
    Margin of Error,"±1,254"
ZCTA5 75550,
    Estimate,775
    Margin of Error,±208
ZCTA5 75551,
    Estimate,"11,268"
    Margin of Error,±821
ZCTA5 75554,
    Estimate,"2,356"
    Margin of Error,±410
ZCTA5 75555,
    Estimate,"1,477"
    Margin of Error,±349
ZCTA5 75556,
    Estimate,"1,292"
    Margin of Error,±346
ZCTA5 75558,
    Estimate,"2,216"
    Margin of Error,±613
ZCTA5 75559,
    Estimate,"5,263"
    Margin of Error,±567
ZCTA5 75560,
    Estimate,"1,170"
    Margin of Error,±275
ZCTA5 75561,
    Estimate,"5,135"
    Margin of Error,±463
ZCTA5 75562,
    Estimate,133
    Margin of Error,±131
ZCTA5 75563,
    Estimate,"4,225"
    Margin of Error,±524
ZCTA5 75565,
    Estimate,419
    Margin of Error,±300
ZCTA5 75566,
    Estimate,686
    Margin of Error,±242
ZCTA5 75567,
    Estimate,"4,655"
    Margin of Error,±534
ZCTA5 75568,
    Estimate,"2,350"
    Margin of Error,±388
ZCTA5 75569,
    Estimate,"3,554"
    Margin of Error,±14
ZCTA5 75570,
    Estimate,"10,703"
    Margin of Error,±608
ZCTA5 75571,
    Estimate,"2,909"
    Margin of Error,±469
ZCTA5 75572,
    Estimate,"3,594"
    Margin of Error,±474
ZCTA5 75573,
    Estimate,45
    Margin of Error,±43
ZCTA5 75574,
    Estimate,"1,369"
    Margin of Error,±235
ZCTA5 75601,
    Estimate,"15,256"
    Margin of Error,"±1,240"
ZCTA5 75602,
    Estimate,"20,576"
    Margin of Error,"±1,521"
ZCTA5 75603,
    Estimate,"6,452"
    Margin of Error,±792
ZCTA5 75604,
    Estimate,"29,922"
    Margin of Error,"±1,445"
ZCTA5 75605,
    Estimate,"32,438"
    Margin of Error,"±1,896"
ZCTA5 75630,
    Estimate,"2,104"
    Margin of Error,±385
ZCTA5 75631,
    Estimate,"3,029"
    Margin of Error,±533
ZCTA5 75633,
    Estimate,"12,831"
    Margin of Error,±611
ZCTA5 75638,
    Estimate,"5,106"
    Margin of Error,±532
ZCTA5 75639,
    Estimate,"2,756"
    Margin of Error,±621
ZCTA5 75640,
    Estimate,"5,181"
    Margin of Error,±865
ZCTA5 75641,
    Estimate,138
    Margin of Error,±75
ZCTA5 75642,
    Estimate,23
    Margin of Error,±45
ZCTA5 75643,
    Estimate,"2,151"
    Margin of Error,±370
ZCTA5 75644,
    Estimate,"13,883"
    Margin of Error,"±1,098"
ZCTA5 75645,
    Estimate,"10,393"
    Margin of Error,±902
ZCTA5 75647,
    Estimate,"12,328"
    Margin of Error,"±1,016"
ZCTA5 75650,
    Estimate,"9,775"
    Margin of Error,"±1,064"
ZCTA5 75651,
    Estimate,"2,300"
    Margin of Error,±593
ZCTA5 75652,
    Estimate,"16,078"
    Margin of Error,"±1,200"
ZCTA5 75654,
    Estimate,"12,268"
    Margin of Error,±999
ZCTA5 75656,
    Estimate,"4,897"
    Margin of Error,±657
ZCTA5 75657,
    Estimate,"7,274"
    Margin of Error,±427
ZCTA5 75661,
    Estimate,"2,586"
    Margin of Error,±692
ZCTA5 75662,
    Estimate,"26,318"
    Margin of Error,"±1,147"
ZCTA5 75667,
    Estimate,"1,327"
    Margin of Error,±315
ZCTA5 75668,
    Estimate,"2,469"
    Margin of Error,±493
ZCTA5 75669,
    Estimate,"1,332"
    Margin of Error,±647
ZCTA5 75670,
    Estimate,"18,263"
    Margin of Error,"±1,418"
ZCTA5 75672,
    Estimate,"16,480"
    Margin of Error,"±1,408"
ZCTA5 75681,
    Estimate,"2,425"
    Margin of Error,±399
ZCTA5 75682,
    Estimate,572
    Margin of Error,±218
ZCTA5 75683,
    Estimate,"4,053"
    Margin of Error,±680
ZCTA5 75684,
    Estimate,"8,086"
    Margin of Error,"±1,175"
ZCTA5 75686,
    Estimate,"13,483"
    Margin of Error,±658
ZCTA5 75691,
    Estimate,"3,963"
    Margin of Error,±708
ZCTA5 75692,
    Estimate,"4,387"
    Margin of Error,±736
ZCTA5 75693,
    Estimate,"6,863"
    Margin of Error,±279
ZCTA5 75701,
    Estimate,"36,089"
    Margin of Error,"±1,730"
ZCTA5 75702,
    Estimate,"27,678"
    Margin of Error,"±1,719"
ZCTA5 75703,
    Estimate,"42,955"
    Margin of Error,"±2,158"
ZCTA5 75704,
    Estimate,"10,367"
    Margin of Error,"±1,322"
ZCTA5 75705,
    Estimate,"3,138"
    Margin of Error,±930
ZCTA5 75706,
    Estimate,"10,882"
    Margin of Error,"±1,696"
ZCTA5 75707,
    Estimate,"13,206"
    Margin of Error,"±1,577"
ZCTA5 75708,
    Estimate,"9,461"
    Margin of Error,"±1,693"
ZCTA5 75709,
    Estimate,"4,624"
    Margin of Error,±762
ZCTA5 75750,
    Estimate,"3,414"
    Margin of Error,±592
ZCTA5 75751,
    Estimate,"17,356"
    Margin of Error,"±1,125"
ZCTA5 75752,
    Estimate,"7,263"
    Margin of Error,±910
ZCTA5 75754,
    Estimate,"8,021"
    Margin of Error,"±1,097"
ZCTA5 75755,
    Estimate,"4,805"
    Margin of Error,±618
ZCTA5 75756,
    Estimate,"4,332"
    Margin of Error,±745
ZCTA5 75757,
    Estimate,"13,641"
    Margin of Error,"±1,410"
ZCTA5 75758,
    Estimate,"9,041"
    Margin of Error,±926
ZCTA5 75759,
    Estimate,116
    Margin of Error,±105
ZCTA5 75760,
    Estimate,"2,386"
    Margin of Error,±447
ZCTA5 75762,
    Estimate,"13,703"
    Margin of Error,"±1,840"
ZCTA5 75763,
    Estimate,"6,359"
    Margin of Error,±866
ZCTA5 75764,
    Estimate,212
    Margin of Error,±101
ZCTA5 75765,
    Estimate,"7,507"
    Margin of Error,±819
ZCTA5 75766,
    Estimate,"26,995"
    Margin of Error,±986
ZCTA5 75770,
    Estimate,"2,552"
    Margin of Error,±496
ZCTA5 75771,
    Estimate,"20,509"
    Margin of Error,"±1,289"
ZCTA5 75773,
    Estimate,"14,305"
    Margin of Error,"±1,279"
ZCTA5 75778,
    Estimate,"2,468"
    Margin of Error,±529
ZCTA5 75779,
    Estimate,110
    Margin of Error,±140
ZCTA5 75780,
    Estimate,242
    Margin of Error,±135
ZCTA5 75783,
    Estimate,"8,118"
    Margin of Error,±935
ZCTA5 75784,
    Estimate,708
    Margin of Error,±247
ZCTA5 75785,
    Estimate,"10,931"
    Margin of Error,±572
ZCTA5 75788,
    Estimate,25
    Margin of Error,±40
ZCTA5 75789,
    Estimate,"8,379"
    Margin of Error,"±1,171"
ZCTA5 75790,
    Estimate,"3,656"
    Margin of Error,±327
ZCTA5 75791,
    Estimate,"13,952"
    Margin of Error,±955
ZCTA5 75792,
    Estimate,"2,861"
    Margin of Error,±714
ZCTA5 75801,
    Estimate,"15,808"
    Margin of Error,"±1,056"
ZCTA5 75803,
    Estimate,"21,511"
    Margin of Error,"±1,583"
ZCTA5 75831,
    Estimate,"6,155"
    Margin of Error,±727
ZCTA5 75832,
    Estimate,0
    Margin of Error,±14
ZCTA5 75833,
    Estimate,"2,448"
    Margin of Error,±420
ZCTA5 75835,
    Estimate,"11,425"
    Margin of Error,±620
ZCTA5 75838,
    Estimate,679
    Margin of Error,±277
ZCTA5 75839,
    Estimate,"6,398"
    Margin of Error,±898
ZCTA5 75840,
    Estimate,"6,297"
    Margin of Error,±615
ZCTA5 75844,
    Estimate,"5,632"
    Margin of Error,±527
ZCTA5 75845,
    Estimate,"3,129"
    Margin of Error,±497
ZCTA5 75846,
    Estimate,"2,944"
    Margin of Error,±685
ZCTA5 75847,
    Estimate,"1,745"
    Margin of Error,±357
ZCTA5 75848,
    Estimate,100
    Margin of Error,±68
ZCTA5 75849,
    Estimate,51
    Margin of Error,±25
ZCTA5 75850,
    Estimate,"1,387"
    Margin of Error,±484
ZCTA5 75851,
    Estimate,"4,916"
    Margin of Error,±681
ZCTA5 75852,
    Estimate,"3,634"
    Margin of Error,±620
ZCTA5 75853,
    Estimate,559
    Margin of Error,±226
ZCTA5 75855,
    Estimate,"2,952"
    Margin of Error,±496
ZCTA5 75856,
    Estimate,171
    Margin of Error,±147
ZCTA5 75858,
    Estimate,0
    Margin of Error,±14
ZCTA5 75859,
    Estimate,"1,825"
    Margin of Error,±405
ZCTA5 75860,
    Estimate,"6,351"
    Margin of Error,±439
ZCTA5 75861,
    Estimate,"9,081"
    Margin of Error,±589
ZCTA5 75862,
    Estimate,"10,115"
    Margin of Error,±555
ZCTA5 75901,
    Estimate,"29,148"
    Margin of Error,"±1,473"
ZCTA5 75904,
    Estimate,"35,208"
    Margin of Error,"±1,553"
ZCTA5 75925,
    Estimate,"3,913"
    Margin of Error,±481
ZCTA5 75926,
    Estimate,"1,207"
    Margin of Error,±266
ZCTA5 75928,
    Estimate,"1,318"
    Margin of Error,±413
ZCTA5 75929,
    Estimate,"1,653"
    Margin of Error,±389
ZCTA5 75930,
    Estimate,"1,655"
    Margin of Error,±404
ZCTA5 75931,
    Estimate,"1,967"
    Margin of Error,±413
ZCTA5 75932,
    Estimate,"1,628"
    Margin of Error,±372
ZCTA5 75933,
    Estimate,"1,049"
    Margin of Error,±349
ZCTA5 75934,
    Estimate,201
    Margin of Error,±114
ZCTA5 75935,
    Estimate,"12,994"
    Margin of Error,±802
ZCTA5 75936,
    Estimate,951
    Margin of Error,±251
ZCTA5 75937,
    Estimate,"1,033"
    Margin of Error,±202
ZCTA5 75938,
    Estimate,"2,425"
    Margin of Error,±429
ZCTA5 75939,
    Estimate,"5,682"
    Margin of Error,±903
ZCTA5 75941,
    Estimate,"8,737"
    Margin of Error,±618
ZCTA5 75942,
    Estimate,96
    Margin of Error,±134
ZCTA5 75943,
    Estimate,"1,338"
    Margin of Error,±420
ZCTA5 75944,
    Estimate,936
    Margin of Error,±197
ZCTA5 75946,
    Estimate,"3,851"
    Margin of Error,±588
ZCTA5 75948,
    Estimate,"6,072"
    Margin of Error,±444
ZCTA5 75949,
    Estimate,"8,518"
    Margin of Error,"±1,106"
ZCTA5 75951,
    Estimate,"16,154"
    Margin of Error,±996
ZCTA5 75954,
    Estimate,"2,634"
    Margin of Error,±523
ZCTA5 75956,
    Estimate,"9,595"
    Margin of Error,"±1,214"
ZCTA5 75959,
    Estimate,859
    Margin of Error,±313
ZCTA5 75960,
    Estimate,725
    Margin of Error,±406
ZCTA5 75961,
    Estimate,"15,447"
    Margin of Error,"±1,069"
ZCTA5 75962,
    Estimate,"3,188"
    Margin of Error,±438
ZCTA5 75964,
    Estimate,"19,410"
    Margin of Error,"±1,137"
ZCTA5 75965,
    Estimate,"18,321"
    Margin of Error,±974
ZCTA5 75966,
    Estimate,"4,534"
    Margin of Error,±582
ZCTA5 75968,
    Estimate,"2,167"
    Margin of Error,±374
ZCTA5 75969,
    Estimate,"3,522"
    Margin of Error,±687
ZCTA5 75972,
    Estimate,"6,252"
    Margin of Error,±460
ZCTA5 75973,
    Estimate,"3,036"
    Margin of Error,±465
ZCTA5 75974,
    Estimate,"3,611"
    Margin of Error,±536
ZCTA5 75975,
    Estimate,"4,052"
    Margin of Error,±543
ZCTA5 75976,
    Estimate,989
    Margin of Error,±352
