Label (Grouping),Total
ZCTA5 73949,
    Estimate,"1,874"
    Margin of Error,±300
ZCTA5 75001,
    Estimate,"15,418"
    Margin of Error,±213
ZCTA5 75002,
    Estimate,"73,916"
    Margin of Error,"±2,094"
ZCTA5 75006,
    Estimate,"52,231"
    Margin of Error,±706
ZCTA5 75007,
    Estimate,"57,513"
    Margin of Error,"±1,735"
ZCTA5 75009,
    Estimate,"15,348"
    Margin of Error,"±1,542"
ZCTA5 75010,
    Estimate,"30,784"
    Margin of Error,"±1,538"
ZCTA5 75013,
    Estimate,"42,956"
    Margin of Error,"±2,100"
ZCTA5 75019,
    Estimate,"43,137"
    Margin of Error,±414
ZCTA5 75020,
    Estimate,"23,216"
    Margin of Error,±808
ZCTA5 75021,
    Estimate,"9,454"
    Margin of Error,"±1,077"
ZCTA5 75022,
    Estimate,"28,773"
    Margin of Error,"±2,573"
ZCTA5 75023,
    Estimate,"50,923"
    Margin of Error,"±2,350"
ZCTA5 75024,
    Estimate,"43,041"
    Margin of Error,"±2,216"
ZCTA5 75025,
    Estimate,"54,653"
    Margin of Error,"±2,278"
ZCTA5 75028,
    Estimate,"48,641"
    Margin of Error,"±1,767"
ZCTA5 75032,
    Estimate,"33,956"
    Margin of Error,"±1,104"
ZCTA5 75034,
    Estimate,"116,155"
    Margin of Error,"±2,281"
ZCTA5 75035,
    Estimate,"80,269"
    Margin of Error,"±2,129"
ZCTA5 75038,
    Estimate,"29,886"
    Margin of Error,"±1,867"
ZCTA5 75039,
    Estimate,"20,627"
    Margin of Error,"±1,587"
ZCTA5 75040,
    Estimate,"61,508"
    Margin of Error,"±2,515"
ZCTA5 75041,
    Estimate,"31,250"
    Margin of Error,"±2,030"
ZCTA5 75042,
    Estimate,"37,458"
    Margin of Error,"±2,099"
ZCTA5 75043,
    Estimate,"62,721"
    Margin of Error,"±3,511"
ZCTA5 75044,
    Estimate,"45,284"
    Margin of Error,"±2,796"
ZCTA5 75048,
    Estimate,"26,062"
    Margin of Error,±274
ZCTA5 75050,
    Estimate,"43,190"
    Margin of Error,"±2,071"
ZCTA5 75051,
    Estimate,"41,317"
    Margin of Error,"±2,428"
