Label (Grouping),Total
ZCTA5 75057,
    Estimate,"14,111"
    Margin of Error,±778
ZCTA5 75058,
    Estimate,"2,564"
    Margin of Error,±309
ZCTA5 75060,
    Estimate,"48,664"
    Margin of Error,"±1,272"
ZCTA5 75061,
    Estimate,"54,862"
    Margin of Error,"±1,450"
ZCTA5 75062,
    Estimate,"48,629"
    Margin of Error,"±1,383"
ZCTA5 75063,
    Estimate,"38,952"
    Margin of Error,"±1,081"
ZCTA5 75065,
    Estimate,"12,389"
    Margin of Error,±444
ZCTA5 75067,
    Estimate,"67,487"
    Margin of Error,"±1,134"
ZCTA5 75068,
    Estimate,"61,043"
    Margin of Error,"±1,397"
ZCTA5 75069,
    Estimate,"37,834"
    Margin of Error,"±1,219"
ZCTA5 75070,
    Estimate,"98,219"
    Margin of Error,"±1,459"
ZCTA5 75071,
    Estimate,"52,939"
    Margin of Error,"±1,536"
ZCTA5 75074,
    Estimate,"51,147"
    Margin of Error,"±1,591"
ZCTA5 75075,
    Estimate,"36,917"
    Margin of Error,±868
ZCTA5 75076,
    Estimate,"7,847"
    Margin of Error,±694
ZCTA5 75077,
    Estimate,"37,080"
    Margin of Error,±861
ZCTA5 75078,
    Estimate,"23,580"
    Margin of Error,±834
ZCTA5 75080,
    Estimate,"51,710"
    Margin of Error,"±1,500"
ZCTA5 75081,
    Estimate,"39,309"
    Margin of Error,"±1,124"
ZCTA5 75082,
    Estimate,"23,579"
    Margin of Error,±965
ZCTA5 75087,
    Estimate,"33,638"
    Margin of Error,"±1,039"
ZCTA5 75088,
    Estimate,"26,234"
    Margin of Error,±899
ZCTA5 75089,
    Estimate,"34,374"
    Margin of Error,±825
ZCTA5 75090,
    Estimate,"24,580"
    Margin of Error,"±1,115"
ZCTA5 75092,
    Estimate,"24,575"
    Margin of Error,"±1,218"
ZCTA5 75093,
    Estimate,"47,411"
    Margin of Error,±995
ZCTA5 75094,
    Estimate,"23,370"
    Margin of Error,±424
ZCTA5 75098,
    Estimate,"56,764"
    Margin of Error,"±1,337"
ZCTA5 75101,
    Estimate,615
    Margin of Error,±151
ZCTA5 75102,
    Estimate,"1,177"
    Margin of Error,±388
ZCTA5 75103,
    Estimate,"14,458"
    Margin of Error,±970
ZCTA5 75104,
    Estimate,"49,341"
    Margin of Error,±360
ZCTA5 75105,
    Estimate,190
    Margin of Error,±118
ZCTA5 75109,
    Estimate,"4,555"
    Margin of Error,±392
ZCTA5 75110,
    Estimate,"29,213"
    Margin of Error,±616
ZCTA5 75114,
    Estimate,"6,392"
    Margin of Error,±704
ZCTA5 75115,
    Estimate,"52,833"
    Margin of Error,±110
ZCTA5 75116,
    Estimate,"20,044"
    Margin of Error,±736
ZCTA5 75117,
    Estimate,"3,776"
    Margin of Error,±399
ZCTA5 75119,
    Estimate,"28,319"
    Margin of Error,±651
ZCTA5 75124,
    Estimate,"4,003"
    Margin of Error,±465
ZCTA5 75125,
    Estimate,"6,333"
    Margin of Error,±674
ZCTA5 75126,
    Estimate,"44,740"
    Margin of Error,"±1,178"
ZCTA5 75127,
    Estimate,"1,740"
    Margin of Error,±276
ZCTA5 75132,
    Estimate,"1,705"
    Margin of Error,±568
ZCTA5 75134,
    Estimate,"22,337"
    Margin of Error,±854
ZCTA5 75135,
    Estimate,"7,725"
    Margin of Error,±655
ZCTA5 75137,
    Estimate,"19,586"
    Margin of Error,±745
ZCTA5 75140,
    Estimate,"7,290"
    Margin of Error,±568
ZCTA5 75141,
    Estimate,"5,880"
    Margin of Error,±192
ZCTA5 75142,
    Estimate,"19,059"
    Margin of Error,"±1,015"
ZCTA5 75143,
    Estimate,"14,304"
    Margin of Error,"±1,095"
ZCTA5 75144,
    Estimate,"3,265"
    Margin of Error,±347
ZCTA5 75146,
    Estimate,"18,986"
    Margin of Error,±885
ZCTA5 75147,
    Estimate,"7,052"
    Margin of Error,±861
ZCTA5 75148,
    Estimate,"6,060"
    Margin of Error,±478
ZCTA5 75149,
    Estimate,"54,979"
    Margin of Error,"±1,496"
ZCTA5 75150,
    Estimate,"62,452"
    Margin of Error,"±1,566"
ZCTA5 75152,
    Estimate,"5,097"
    Margin of Error,±663
ZCTA5 75153,
    Estimate,397
    Margin of Error,±147
ZCTA5 75154,
    Estimate,"39,949"
    Margin of Error,"±1,056"
ZCTA5 75155,
    Estimate,"2,815"
    Margin of Error,±369
ZCTA5 75156,
    Estimate,"16,108"
    Margin of Error,±820
ZCTA5 75157,
    Estimate,240
    Margin of Error,±90
ZCTA5 75158,
    Estimate,"3,859"
    Margin of Error,±506
ZCTA5 75159,
    Estimate,"19,469"
    Margin of Error,±592
ZCTA5 75160,
    Estimate,"25,317"
    Margin of Error,±744
ZCTA5 75161,
    Estimate,"7,005"
    Margin of Error,±898
ZCTA5 75163,
    Estimate,"2,851"
    Margin of Error,±537
ZCTA5 75164,
    Estimate,643
    Margin of Error,±161
ZCTA5 75165,
    Estimate,"43,498"
    Margin of Error,±966
ZCTA5 75166,
    Estimate,"4,297"
    Margin of Error,±230
ZCTA5 75167,
    Estimate,"11,662"
    Margin of Error,±989
ZCTA5 75169,
    Estimate,"13,793"
    Margin of Error,±899
ZCTA5 75172,
    Estimate,"4,294"
    Margin of Error,±84
ZCTA5 75173,
    Estimate,"4,131"
    Margin of Error,±509
ZCTA5 75180,
    Estimate,"23,711"
    Margin of Error,±644
ZCTA5 75181,
    Estimate,"28,882"
    Margin of Error,"±1,219"
ZCTA5 75182,
    Estimate,"6,218"
    Margin of Error,±111
ZCTA5 75189,
    Estimate,"27,179"
    Margin of Error,"±1,155"
ZCTA5 75201,
    Estimate,"15,891"
    Margin of Error,"±1,047"
ZCTA5 75202,
    Estimate,"2,059"
    Margin of Error,±340
ZCTA5 75203,
    Estimate,"17,301"
    Margin of Error,"±1,079"
ZCTA5 75204,
    Estimate,"30,797"
    Margin of Error,"±1,236"
ZCTA5 75205,
    Estimate,"24,879"
    Margin of Error,±700
ZCTA5 75206,
    Estimate,"38,375"
    Margin of Error,"±1,369"
ZCTA5 75207,
    Estimate,"7,813"
    Margin of Error,±460
ZCTA5 75208,
    Estimate,"29,720"
    Margin of Error,"±1,365"
ZCTA5 75209,
    Estimate,"14,188"
    Margin of Error,±820
ZCTA5 75210,
    Estimate,"8,578"
    Margin of Error,±848
ZCTA5 75211,
    Estimate,"79,010"
    Margin of Error,"±2,153"
ZCTA5 75212,
    Estimate,"26,320"
    Margin of Error,"±1,068"
ZCTA5 75214,
    Estimate,"33,906"
    Margin of Error,"±1,208"
ZCTA5 75215,
    Estimate,"16,681"
    Margin of Error,"±1,071"
ZCTA5 75216,
    Estimate,"54,150"
    Margin of Error,"±2,138"
ZCTA5 75217,
    Estimate,"86,896"
    Margin of Error,"±2,585"
ZCTA5 75218,
    Estimate,"21,576"
    Margin of Error,±866
ZCTA5 75219,
    Estimate,"23,419"
    Margin of Error,"±1,136"
ZCTA5 75220,
    Estimate,"43,088"
    Margin of Error,"±1,692"
ZCTA5 75223,
    Estimate,"15,128"
    Margin of Error,±909
ZCTA5 75224,
    Estimate,"37,280"
    Margin of Error,"±1,408"
ZCTA5 75225,
    Estimate,"21,296"
    Margin of Error,±688
ZCTA5 75226,
    Estimate,"4,674"
    Margin of Error,±505
ZCTA5 75227,
    Estimate,"58,995"
    Margin of Error,"±2,077"
ZCTA5 75228,
    Estimate,"73,606"
    Margin of Error,"±2,423"
ZCTA5 75229,
    Estimate,"31,790"
    Margin of Error,"±1,060"
ZCTA5 75230,
    Estimate,"27,872"
    Margin of Error,±964
ZCTA5 75231,
    Estimate,"41,072"
    Margin of Error,"±1,351"
ZCTA5 75232,
    Estimate,"31,941"
    Margin of Error,"±2,066"
ZCTA5 75233,
    Estimate,"16,092"
    Margin of Error,"±1,262"
ZCTA5 75234,
    Estimate,"33,737"
    Margin of Error,±644
ZCTA5 75235,
    Estimate,"19,141"
    Margin of Error,"±1,499"
ZCTA5 75236,
    Estimate,"19,447"
    Margin of Error,"±1,344"
ZCTA5 75237,
    Estimate,"20,773"
    Margin of Error,"±1,231"
ZCTA5 75238,
    Estimate,"33,220"
    Margin of Error,"±1,051"
ZCTA5 75240,
    Estimate,"28,537"
    Margin of Error,"±1,334"
ZCTA5 75241,
    Estimate,"30,682"
    Margin of Error,"±1,796"
ZCTA5 75243,
    Estimate,"67,848"
    Margin of Error,"±2,294"
ZCTA5 75244,
    Estimate,"13,701"
    Margin of Error,±623
ZCTA5 75246,
    Estimate,"2,357"
    Margin of Error,±390
ZCTA5 75247,
    Estimate,730
    Margin of Error,±252
ZCTA5 75248,
    Estimate,"36,829"
    Margin of Error,"±1,322"
ZCTA5 75249,
    Estimate,"16,482"
    Margin of Error,"±1,190"
ZCTA5 75251,
    Estimate,"2,414"
    Margin of Error,±438
ZCTA5 75252,
    Estimate,"26,511"
    Margin of Error,±763
ZCTA5 75253,
    Estimate,"23,894"
    Margin of Error,"±2,009"
ZCTA5 75254,
    Estimate,"26,828"
    Margin of Error,"±1,337"
ZCTA5 75270,
    Estimate,0
    Margin of Error,±13
ZCTA5 75287,
    Estimate,"54,882"
    Margin of Error,±802
ZCTA5 75390,
    Estimate,0
    Margin of Error,±13
ZCTA5 75401,
    Estimate,"18,869"
    Margin of Error,±785
ZCTA5 75402,
    Estimate,"17,516"
    Margin of Error,±919
ZCTA5 75407,
    Estimate,"16,582"
    Margin of Error,±791
ZCTA5 75409,
    Estimate,"15,379"
    Margin of Error,±610
ZCTA5 75410,
    Estimate,"5,726"
    Margin of Error,±591
ZCTA5 75411,
    Estimate,"1,278"
    Margin of Error,±336
ZCTA5 75412,
    Estimate,567
    Margin of Error,±215
ZCTA5 75413,
    Estimate,246
    Margin of Error,±88
ZCTA5 75414,
    Estimate,"2,879"
    Margin of Error,±389
ZCTA5 75415,
    Estimate,190
    Margin of Error,±114
ZCTA5 75416,
    Estimate,"3,103"
    Margin of Error,±562
ZCTA5 75417,
    Estimate,"2,628"
    Margin of Error,±287
ZCTA5 75418,
    Estimate,"14,376"
    Margin of Error,±446
ZCTA5 75420,
    Estimate,981
    Margin of Error,±223
ZCTA5 75421,
    Estimate,492
    Margin of Error,±186
ZCTA5 75422,
    Estimate,"3,301"
    Margin of Error,±559
ZCTA5 75423,
    Estimate,"2,801"
    Margin of Error,±402
ZCTA5 75424,
    Estimate,"3,103"
    Margin of Error,±496
ZCTA5 75426,
    Estimate,"4,625"
    Margin of Error,±314
ZCTA5 75428,
    Estimate,"10,951"
    Margin of Error,±303
ZCTA5 75431,
    Estimate,"2,424"
    Margin of Error,±452
ZCTA5 75432,
    Estimate,"3,509"
    Margin of Error,±228
ZCTA5 75433,
    Estimate,"2,614"
    Margin of Error,±263
ZCTA5 75435,
    Estimate,"1,271"
    Margin of Error,±306
ZCTA5 75436,
    Estimate,"2,159"
    Margin of Error,±287
ZCTA5 75437,
    Estimate,"1,361"
    Margin of Error,±183
ZCTA5 75438,
    Estimate,908
    Margin of Error,±159
ZCTA5 75439,
    Estimate,"1,087"
    Margin of Error,±166
ZCTA5 75440,
    Estimate,"6,506"
    Margin of Error,±539
ZCTA5 75441,
    Estimate,122
    Margin of Error,±81
ZCTA5 75442,
    Estimate,"9,681"
    Margin of Error,±932
ZCTA5 75446,
    Estimate,"3,398"
    Margin of Error,±407
ZCTA5 75447,
    Estimate,"1,256"
    Margin of Error,±306
ZCTA5 75448,
    Estimate,724
    Margin of Error,±210
ZCTA5 75449,
    Estimate,"1,351"
    Margin of Error,±225
ZCTA5 75450,
    Estimate,141
    Margin of Error,±92
ZCTA5 75451,
    Estimate,"1,135"
    Margin of Error,±274
ZCTA5 75452,
    Estimate,"4,312"
    Margin of Error,±377
ZCTA5 75453,
    Estimate,"2,878"
    Margin of Error,±427
ZCTA5 75454,
    Estimate,"9,583"
    Margin of Error,±293
ZCTA5 75455,
    Estimate,"28,460"
    Margin of Error,±666
ZCTA5 75457,
    Estimate,"6,464"
    Margin of Error,±394
ZCTA5 75459,
    Estimate,"5,285"
    Margin of Error,±607
ZCTA5 75460,
    Estimate,"23,191"
    Margin of Error,±660
ZCTA5 75462,
    Estimate,"11,611"
    Margin of Error,±849
ZCTA5 75468,
    Estimate,797
    Margin of Error,±305
ZCTA5 75469,
    Estimate,276
    Margin of Error,±83
ZCTA5 75470,
    Estimate,434
    Margin of Error,±232
ZCTA5 75471,
    Estimate,"1,488"
    Margin of Error,±424
ZCTA5 75472,
    Estimate,"3,685"
    Margin of Error,±369
ZCTA5 75473,
    Estimate,"3,672"
    Margin of Error,±420
ZCTA5 75474,
    Estimate,"14,744"
    Margin of Error,±765
ZCTA5 75475,
    Estimate,148
    Margin of Error,±90
ZCTA5 75476,
    Estimate,"1,162"
    Margin of Error,±297
ZCTA5 75477,
    Estimate,"1,204"
    Margin of Error,±316
ZCTA5 75478,
    Estimate,949
    Margin of Error,±238
ZCTA5 75479,
    Estimate,"1,819"
    Margin of Error,±180
ZCTA5 75480,
    Estimate,"1,857"
    Margin of Error,±406
ZCTA5 75481,
    Estimate,366
    Margin of Error,±115
ZCTA5 75482,
    Estimate,"25,003"
    Margin of Error,±545
ZCTA5 75486,
    Estimate,"2,099"
    Margin of Error,±386
ZCTA5 75487,
    Estimate,"1,987"
    Margin of Error,±406
ZCTA5 75488,
    Estimate,566
    Margin of Error,±183
ZCTA5 75489,
    Estimate,"1,122"
    Margin of Error,±242
ZCTA5 75490,
    Estimate,"2,518"
    Margin of Error,±268
ZCTA5 75491,
    Estimate,"4,913"
    Margin of Error,±541
ZCTA5 75492,
    Estimate,394
    Margin of Error,±106
ZCTA5 75493,
    Estimate,533
    Margin of Error,±168
ZCTA5 75494,
    Estimate,"9,489"
    Margin of Error,±722
ZCTA5 75495,
    Estimate,"8,564"
    Margin of Error,±800
ZCTA5 75496,
    Estimate,"3,812"
    Margin of Error,±565
ZCTA5 75497,
    Estimate,"3,368"
    Margin of Error,±491
ZCTA5 75501,
    Estimate,"35,834"
    Margin of Error,"±1,246"
ZCTA5 75503,
    Estimate,"25,710"
    Margin of Error,"±1,077"
ZCTA5 75550,
    Estimate,790
    Margin of Error,±195
ZCTA5 75551,
    Estimate,"10,679"
    Margin of Error,±748
ZCTA5 75554,
    Estimate,"2,077"
    Margin of Error,±451
ZCTA5 75555,
    Estimate,"1,672"
    Margin of Error,±303
ZCTA5 75556,
    Estimate,"1,321"
    Margin of Error,±456
ZCTA5 75558,
    Estimate,"1,770"
    Margin of Error,±604
ZCTA5 75559,
    Estimate,"5,168"
    Margin of Error,±498
ZCTA5 75560,
    Estimate,857
    Margin of Error,±259
ZCTA5 75561,
    Estimate,"5,099"
    Margin of Error,±384
ZCTA5 75562,
    Estimate,177
    Margin of Error,±126
ZCTA5 75563,
    Estimate,"4,709"
    Margin of Error,±545
ZCTA5 75565,
    Estimate,173
    Margin of Error,±69
ZCTA5 75566,
    Estimate,730
    Margin of Error,±216
ZCTA5 75567,
    Estimate,"5,275"
    Margin of Error,±758
ZCTA5 75568,
    Estimate,"2,459"
    Margin of Error,±462
ZCTA5 75569,
    Estimate,"3,350"
    Margin of Error,±15
ZCTA5 75570,
    Estimate,"11,024"
    Margin of Error,±495
ZCTA5 75571,
    Estimate,"2,971"
    Margin of Error,±499
ZCTA5 75572,
    Estimate,"4,173"
    Margin of Error,±683
ZCTA5 75573,
    Estimate,103
    Margin of Error,±104
ZCTA5 75574,
    Estimate,"1,704"
    Margin of Error,±323
ZCTA5 75601,
    Estimate,"16,144"
    Margin of Error,±994
ZCTA5 75602,
    Estimate,"22,159"
    Margin of Error,"±1,262"
ZCTA5 75603,
    Estimate,"5,954"
    Margin of Error,±729
ZCTA5 75604,
    Estimate,"31,011"
    Margin of Error,"±1,485"
ZCTA5 75605,
    Estimate,"30,011"
    Margin of Error,"±1,227"
ZCTA5 75630,
    Estimate,"2,178"
    Margin of Error,±315
ZCTA5 75631,
    Estimate,"3,151"
    Margin of Error,±417
ZCTA5 75633,
    Estimate,"13,553"
    Margin of Error,±557
ZCTA5 75638,
    Estimate,"5,777"
    Margin of Error,±550
ZCTA5 75639,
    Estimate,"2,821"
    Margin of Error,±535
ZCTA5 75640,
    Estimate,"4,585"
    Margin of Error,±661
ZCTA5 75641,
    Estimate,133
    Margin of Error,±66
ZCTA5 75642,
    Estimate,71
    Margin of Error,±80
ZCTA5 75643,
    Estimate,"2,421"
    Margin of Error,±357
ZCTA5 75644,
    Estimate,"13,387"
    Margin of Error,±841
ZCTA5 75645,
    Estimate,"10,158"
    Margin of Error,±780
ZCTA5 75647,
    Estimate,"12,719"
    Margin of Error,±746
ZCTA5 75650,
    Estimate,"9,493"
    Margin of Error,±757
ZCTA5 75651,
    Estimate,"1,870"
    Margin of Error,±510
ZCTA5 75652,
    Estimate,"16,946"
    Margin of Error,±826
ZCTA5 75654,
    Estimate,"12,450"
    Margin of Error,±961
ZCTA5 75656,
    Estimate,"4,204"
    Margin of Error,±497
ZCTA5 75657,
    Estimate,"7,722"
    Margin of Error,±468
ZCTA5 75661,
    Estimate,"2,917"
    Margin of Error,±615
ZCTA5 75662,
    Estimate,"25,702"
    Margin of Error,±990
ZCTA5 75667,
    Estimate,"1,142"
    Margin of Error,±243
ZCTA5 75668,
    Estimate,"2,285"
    Margin of Error,±400
ZCTA5 75669,
    Estimate,489
    Margin of Error,±178
ZCTA5 75670,
    Estimate,"18,056"
    Margin of Error,±744
ZCTA5 75672,
    Estimate,"15,970"
    Margin of Error,±789
ZCTA5 75681,
    Estimate,"2,148"
    Margin of Error,±356
ZCTA5 75682,
    Estimate,507
    Margin of Error,±163
ZCTA5 75683,
    Estimate,"3,873"
    Margin of Error,±676
ZCTA5 75684,
    Estimate,"7,607"
    Margin of Error,±787
ZCTA5 75686,
    Estimate,"13,132"
    Margin of Error,±437
ZCTA5 75691,
    Estimate,"3,587"
    Margin of Error,±613
ZCTA5 75692,
    Estimate,"4,747"
    Margin of Error,±680
ZCTA5 75693,
    Estimate,"7,122"
    Margin of Error,±360
ZCTA5 75701,
    Estimate,"35,549"
    Margin of Error,"±1,443"
ZCTA5 75702,
    Estimate,"27,766"
    Margin of Error,"±1,254"
ZCTA5 75703,
    Estimate,"41,842"
    Margin of Error,"±1,803"
ZCTA5 75704,
    Estimate,"10,352"
    Margin of Error,"±1,353"
ZCTA5 75705,
    Estimate,"3,555"
    Margin of Error,±799
ZCTA5 75706,
    Estimate,"9,505"
    Margin of Error,"±1,620"
ZCTA5 75707,
    Estimate,"14,157"
    Margin of Error,"±1,431"
ZCTA5 75708,
    Estimate,"8,417"
    Margin of Error,"±1,261"
ZCTA5 75709,
    Estimate,"5,004"
    Margin of Error,±672
ZCTA5 75750,
    Estimate,"3,483"
    Margin of Error,±550
ZCTA5 75751,
    Estimate,"16,855"
    Margin of Error,±757
ZCTA5 75752,
    Estimate,"7,222"
    Margin of Error,±727
ZCTA5 75754,
    Estimate,"6,304"
    Margin of Error,±827
ZCTA5 75755,
    Estimate,"5,303"
    Margin of Error,±831
ZCTA5 75756,
    Estimate,"4,611"
    Margin of Error,±460
ZCTA5 75757,
    Estimate,"12,408"
    Margin of Error,±995
ZCTA5 75758,
    Estimate,"8,119"
    Margin of Error,±738
ZCTA5 75759,
    Estimate,46
    Margin of Error,±28
ZCTA5 75760,
    Estimate,"2,392"
    Margin of Error,±500
ZCTA5 75762,
    Estimate,"12,697"
    Margin of Error,"±1,093"
ZCTA5 75763,
    Estimate,"6,463"
    Margin of Error,±737
ZCTA5 75764,
    Estimate,166
    Margin of Error,±69
ZCTA5 75765,
    Estimate,"7,292"
    Margin of Error,±570
ZCTA5 75766,
    Estimate,"27,008"
    Margin of Error,±724
ZCTA5 75770,
    Estimate,"3,223"
    Margin of Error,±491
ZCTA5 75771,
    Estimate,"20,488"
    Margin of Error,"±1,401"
ZCTA5 75773,
    Estimate,"13,640"
    Margin of Error,±779
ZCTA5 75778,
    Estimate,"3,172"
    Margin of Error,±644
ZCTA5 75779,
    Estimate,135
    Margin of Error,±174
ZCTA5 75780,
    Estimate,238
    Margin of Error,±131
ZCTA5 75783,
    Estimate,"7,917"
    Margin of Error,±698
ZCTA5 75784,
    Estimate,957
    Margin of Error,±381
ZCTA5 75785,
    Estimate,"11,265"
    Margin of Error,±601
ZCTA5 75788,
    Estimate,109
    Margin of Error,±138
ZCTA5 75789,
    Estimate,"7,972"
    Margin of Error,±862
ZCTA5 75790,
    Estimate,"4,154"
    Margin of Error,±458
ZCTA5 75791,
    Estimate,"13,305"
    Margin of Error,±862
ZCTA5 75792,
    Estimate,"2,765"
    Margin of Error,±639
ZCTA5 75801,
    Estimate,"16,346"
    Margin of Error,"±1,237"
ZCTA5 75803,
    Estimate,"22,170"
    Margin of Error,"±1,195"
ZCTA5 75831,
    Estimate,"5,494"
    Margin of Error,±632
ZCTA5 75832,
    Estimate,121
    Margin of Error,±188
ZCTA5 75833,
    Estimate,"3,144"
    Margin of Error,±493
ZCTA5 75835,
    Estimate,"11,105"
    Margin of Error,±484
ZCTA5 75838,
    Estimate,577
    Margin of Error,±225
ZCTA5 75839,
    Estimate,"5,330"
    Margin of Error,±658
ZCTA5 75840,
    Estimate,"6,627"
    Margin of Error,±575
ZCTA5 75844,
    Estimate,"6,001"
    Margin of Error,±531
ZCTA5 75845,
    Estimate,"3,137"
    Margin of Error,±425
ZCTA5 75846,
    Estimate,"2,909"
    Margin of Error,±512
ZCTA5 75847,
    Estimate,"1,856"
    Margin of Error,±292
ZCTA5 75848,
    Estimate,122
    Margin of Error,±61
ZCTA5 75849,
    Estimate,78
    Margin of Error,±39
ZCTA5 75850,
    Estimate,674
    Margin of Error,±314
ZCTA5 75851,
    Estimate,"4,878"
    Margin of Error,±389
ZCTA5 75852,
    Estimate,"4,462"
    Margin of Error,±288
ZCTA5 75853,
    Estimate,538
    Margin of Error,±171
ZCTA5 75855,
    Estimate,"2,968"
    Margin of Error,±484
ZCTA5 75856,
    Estimate,98
    Margin of Error,±101
ZCTA5 75858,
    Estimate,0
    Margin of Error,±13
ZCTA5 75859,
    Estimate,"1,815"
    Margin of Error,±337
ZCTA5 75860,
    Estimate,"6,572"
    Margin of Error,±325
ZCTA5 75861,
    Estimate,"9,153"
    Margin of Error,±566
ZCTA5 75862,
    Estimate,"10,044"
    Margin of Error,±442
ZCTA5 75901,
    Estimate,"31,134"
    Margin of Error,"±1,396"
ZCTA5 75904,
    Estimate,"34,059"
    Margin of Error,"±1,234"
ZCTA5 75925,
    Estimate,"4,083"
    Margin of Error,±411
ZCTA5 75926,
    Estimate,"1,103"
    Margin of Error,±224
ZCTA5 75928,
    Estimate,"1,212"
    Margin of Error,±433
ZCTA5 75929,
    Estimate,"1,682"
    Margin of Error,±377
ZCTA5 75930,
    Estimate,"2,026"
    Margin of Error,±384
ZCTA5 75931,
    Estimate,"2,075"
    Margin of Error,±346
ZCTA5 75932,
    Estimate,"1,691"
    Margin of Error,±330
ZCTA5 75933,
    Estimate,"1,469"
    Margin of Error,±521
ZCTA5 75934,
    Estimate,204
    Margin of Error,±136
ZCTA5 75935,
    Estimate,"14,025"
    Margin of Error,±629
ZCTA5 75936,
    Estimate,"1,095"
    Margin of Error,±264
ZCTA5 75937,
    Estimate,925
    Margin of Error,±197
ZCTA5 75938,
    Estimate,"2,809"
    Margin of Error,±380
ZCTA5 75939,
    Estimate,"4,912"
    Margin of Error,±480
ZCTA5 75941,
    Estimate,"8,826"
    Margin of Error,±486
ZCTA5 75942,
    Estimate,222
    Margin of Error,±199
ZCTA5 75943,
    Estimate,"1,344"
    Margin of Error,±373
ZCTA5 75944,
    Estimate,"1,265"
    Margin of Error,±219
ZCTA5 75946,
    Estimate,"3,543"
    Margin of Error,±465
ZCTA5 75948,
    Estimate,"6,269"
    Margin of Error,±426
ZCTA5 75949,
    Estimate,"7,501"
    Margin of Error,±607
ZCTA5 75951,
    Estimate,"16,183"
    Margin of Error,±922
ZCTA5 75954,
    Estimate,"2,698"
    Margin of Error,±477
ZCTA5 75956,
    Estimate,"8,510"
    Margin of Error,±929
ZCTA5 75959,
    Estimate,678
    Margin of Error,±286
ZCTA5 75960,
    Estimate,712
    Margin of Error,±283
ZCTA5 75961,
    Estimate,"15,644"
    Margin of Error,"±1,099"
ZCTA5 75962,
    Estimate,"3,189"
    Margin of Error,±337
ZCTA5 75964,
    Estimate,"19,717"
    Margin of Error,"±1,213"
ZCTA5 75965,
    Estimate,"18,281"
    Margin of Error,±803
ZCTA5 75966,
    Estimate,"4,619"
    Margin of Error,±538
ZCTA5 75968,
    Estimate,"1,846"
    Margin of Error,±317
ZCTA5 75969,
    Estimate,"3,965"
    Margin of Error,±685
ZCTA5 75972,
    Estimate,"5,997"
    Margin of Error,±334
ZCTA5 75973,
    Estimate,"2,657"
    Margin of Error,±305
ZCTA5 75974,
    Estimate,"3,411"
    Margin of Error,±520
ZCTA5 75975,
    Estimate,"3,703"
    Margin of Error,±506
ZCTA5 75976,
    Estimate,680
    Margin of Error,±146
ZCTA5 75977,
    Estimate,395
    Margin of Error,±152
ZCTA5 75978,
    Estimate,143
    Margin of Error,±90
ZCTA5 75979,
    Estimate,"11,852"
    Margin of Error,±615
ZCTA5 75980,
    Estimate,"2,472"
    Margin of Error,±364
ZCTA5 76001,
    Estimate,"32,185"
    Margin of Error,"±1,571"
ZCTA5 76002,
    Estimate,"36,209"
    Margin of Error,"±2,229"
ZCTA5 76006,
    Estimate,"24,774"
    Margin of Error,"±1,171"
ZCTA5 76008,
