Label (Grouping),Total
ZCTA5 73949,
    Estimate,"1,523"
    Margin of Error,±209
ZCTA5 75001,
    Estimate,"15,000"
    Margin of Error,±171
ZCTA5 75002,
    Estimate,"70,597"
    Margin of Error,"±1,343"
ZCTA5 75006,
    Estimate,"51,136"
    Margin of Error,±489
ZCTA5 75007,
    Estimate,"54,701"
    Margin of Error,"±1,348"
ZCTA5 75009,
    Estimate,"11,941"
    Margin of Error,"±1,410"
ZCTA5 75010,
    Estimate,"28,974"
    Margin of Error,"±1,219"
ZCTA5 75013,
    Estimate,"40,675"
    Margin of Error,"±1,262"
ZCTA5 75019,
    Estimate,"42,597"
    Margin of Error,±450
ZCTA5 75020,
    Estimate,"22,487"
    Margin of Error,±662
ZCTA5 75021,
    Estimate,"8,950"
    Margin of Error,±715
ZCTA5 75022,
    Estimate,"25,640"
    Margin of Error,±708
ZCTA5 75023,
    Estimate,"50,061"
    Margin of Error,"±1,272"
ZCTA5 75024,
    Estimate,"42,876"
    Margin of Error,±896
ZCTA5 75025,
    Estimate,"53,688"
    Margin of Error,"±1,082"
ZCTA5 75028,
    Estimate,"46,782"
    Margin of Error,±788
ZCTA5 75032,
    Estimate,"32,317"
    Margin of Error,±970
ZCTA5 75034,
    Estimate,"102,646"
    Margin of Error,"±1,721"
ZCTA5 75035,
    Estimate,"69,802"
    Margin of Error,"±1,153"
ZCTA5 75038,
    Estimate,"30,153"
    Margin of Error,"±1,323"
ZCTA5 75039,
    Estimate,"19,297"
    Margin of Error,±950
ZCTA5 75040,
    Estimate,"63,153"
    Margin of Error,"±1,572"
ZCTA5 75041,
    Estimate,"32,257"
    Margin of Error,"±1,198"
ZCTA5 75042,
    Estimate,"39,178"
    Margin of Error,"±1,429"
ZCTA5 75043,
    Estimate,"61,440"
    Margin of Error,"±1,556"
ZCTA5 75044,
    Estimate,"41,901"
    Margin of Error,"±1,198"
ZCTA5 75048,
    Estimate,"25,034"
    Margin of Error,±89
ZCTA5 75050,
    Estimate,"42,916"
    Margin of Error,"±1,532"
ZCTA5 75051,
    Estimate,"41,479"
    Margin of Error,"±1,475"
ZCTA5 75052,
    Estimate,"95,516"
    Margin of Error,"±1,986"
ZCTA5 75054,
    Estimate,"10,635"
    Margin of Error,±974
ZCTA5 75056,
    Estimate,"59,211"
    Margin of Error,"±1,270"
