Label (Grouping),Total
ZCTA5 73949,
    Estimate,"1,463"
    Margin of Error,±291
ZCTA5 73960,
    Estimate,7
    Margin of Error,±8
ZCTA5 75001,
    Estimate,"16,633"
    Margin of Error,±139
ZCTA5 75002,
    Estimate,"72,679"
    Margin of Error,"±2,053"
ZCTA5 75006,
    Estimate,"48,062"
    Margin of Error,±587
ZCTA5 75007,
    Estimate,"54,498"
    Margin of Error,"±1,394"
ZCTA5 75009,
    Estimate,"28,109"
    Margin of Error,"±2,139"
ZCTA5 75010,
    Estimate,"31,609"
    Margin of Error,"±1,224"
ZCTA5 75013,
    Estimate,"46,649"
    Margin of Error,"±2,009"
ZCTA5 75019,
    Estimate,"44,706"
    Margin of Error,±528
ZCTA5 75020,
    Estimate,"24,486"
    Margin of Error,"±1,176"
ZCTA5 75021,
    Estimate,"8,925"
    Margin of Error,"±1,146"
ZCTA5 75022,
    Estimate,"27,000"
    Margin of Error,"±2,026"
ZCTA5 75023,
    Estimate,"49,376"
    Margin of Error,"±2,414"
ZCTA5 75024,
    Estimate,"43,520"
    Margin of Error,"±1,767"
ZCTA5 75025,
    Estimate,"54,201"
    Margin of Error,"±2,185"
ZCTA5 75028,
    Estimate,"47,751"
    Margin of Error,"±1,617"
ZCTA5 75032,
    Estimate,"36,514"
    Margin of Error,"±1,616"
ZCTA5 75033,
    Estimate,"47,416"
    Margin of Error,"±2,136"
ZCTA5 75034,
    Estimate,"48,749"
    Margin of Error,"±2,139"
ZCTA5 75035,
    Estimate,"83,930"
    Margin of Error,"±1,906"
ZCTA5 75036,
    Estimate,"31,792"
    Margin of Error,"±1,707"
ZCTA5 75038,
    Estimate,"32,559"
    Margin of Error,"±2,364"
ZCTA5 75039,
    Estimate,"21,795"
    Margin of Error,"±1,149"
ZCTA5 75040,
    Estimate,"63,143"
    Margin of Error,"±2,720"
ZCTA5 75041,
    Estimate,"31,344"
    Margin of Error,"±2,166"
ZCTA5 75042,
    Estimate,"37,925"
    Margin of Error,"±1,997"
ZCTA5 75043,
    Estimate,"64,296"
    Margin of Error,"±3,638"
ZCTA5 75044,
    Estimate,"47,010"
    Margin of Error,"±3,207"
ZCTA5 75048,
    Estimate,"28,210"
    Margin of Error,±347
ZCTA5 75050,
    Estimate,"43,856"
    Margin of Error,"±1,902"
ZCTA5 75051,
    Estimate,"40,166"
    Margin of Error,"±2,230"
ZCTA5 75052,
    Estimate,"94,636"
    Margin of Error,"±3,261"
ZCTA5 75054,
    Estimate,"17,261"
    Margin of Error,"±1,946"
ZCTA5 75056,
    Estimate,"65,785"
    Margin of Error,"±1,476"
ZCTA5 75057,
    Estimate,"17,280"
    Margin of Error,"±1,442"
ZCTA5 75058,
    Estimate,"3,801"
    Margin of Error,±651
ZCTA5 75060,
    Estimate,"48,997"
    Margin of Error,"±3,114"
ZCTA5 75061,
    Estimate,"56,319"
    Margin of Error,"±2,382"
ZCTA5 75062,
    Estimate,"52,772"
    Margin of Error,"±2,973"
ZCTA5 75063,
    Estimate,"44,570"
    Margin of Error,"±2,161"
ZCTA5 75065,
    Estimate,"12,787"
    Margin of Error,±172
ZCTA5 75067,
    Estimate,"67,117"
    Margin of Error,"±2,053"
ZCTA5 75068,
    Estimate,"68,074"
    Margin of Error,"±2,614"
ZCTA5 75069,
    Estimate,"39,048"
    Margin of Error,"±1,668"
ZCTA5 75070,
    Estimate,"57,516"
    Margin of Error,"±2,295"
ZCTA5 75071,
    Estimate,"66,298"
    Margin of Error,"±2,459"
ZCTA5 75072,
    Estimate,"55,304"
    Margin of Error,"±2,693"
ZCTA5 75074,
    Estimate,"51,443"
    Margin of Error,"±2,340"
ZCTA5 75075,
    Estimate,"37,032"
    Margin of Error,"±1,966"
ZCTA5 75076,
    Estimate,"8,536"
    Margin of Error,±946
ZCTA5 75077,
    Estimate,"39,853"
    Margin of Error,"±1,626"
ZCTA5 75078,
    Estimate,"40,513"
    Margin of Error,"±1,573"
ZCTA5 75080,
    Estimate,"52,184"
    Margin of Error,"±1,831"
ZCTA5 75081,
    Estimate,"36,493"
    Margin of Error,"±1,739"
ZCTA5 75082,
    Estimate,"29,386"
    Margin of Error,±930
ZCTA5 75087,
    Estimate,"40,201"
    Margin of Error,"±1,992"
ZCTA5 75088,
    Estimate,"27,143"
    Margin of Error,"±1,542"
ZCTA5 75089,
    Estimate,"34,974"
    Margin of Error,"±1,551"
ZCTA5 75090,
    Estimate,"25,788"
    Margin of Error,"±1,798"
ZCTA5 75092,
    Estimate,"26,588"
    Margin of Error,"±1,420"
ZCTA5 75093,
    Estimate,"47,069"
    Margin of Error,"±2,380"
ZCTA5 75094,
    Estimate,"23,370"
    Margin of Error,±685
ZCTA5 75098,
    Estimate,"65,655"
    Margin of Error,"±1,174"
ZCTA5 75101,
    Estimate,668
    Margin of Error,±195
ZCTA5 75102,
    Estimate,"1,877"
    Margin of Error,±735
ZCTA5 75103,
    Estimate,"16,372"
    Margin of Error,"±1,405"
ZCTA5 75104,
    Estimate,"49,291"
    Margin of Error,±332
ZCTA5 75105,
    Estimate,154
    Margin of Error,±117
ZCTA5 75109,
    Estimate,"4,466"
    Margin of Error,±643
ZCTA5 75110,
    Estimate,"31,008"
    Margin of Error,±969
ZCTA5 75114,
    Estimate,"7,123"
    Margin of Error,±920
ZCTA5 75115,
    Estimate,"56,012"
    Margin of Error,±162
ZCTA5 75116,
    Estimate,"20,145"
    Margin of Error,"±1,371"
ZCTA5 75117,
    Estimate,"4,576"
    Margin of Error,±942
ZCTA5 75119,
    Estimate,"29,509"
    Margin of Error,±999
ZCTA5 75124,
    Estimate,"5,822"
    Margin of Error,±956
ZCTA5 75125,
    Estimate,"6,920"
    Margin of Error,"±1,359"
ZCTA5 75126,
    Estimate,"67,852"
    Margin of Error,"±2,039"
ZCTA5 75127,
    Estimate,"1,781"
    Margin of Error,±534
ZCTA5 75132,
    Estimate,0
    Margin of Error,±15
ZCTA5 75134,
    Estimate,"20,179"
    Margin of Error,"±1,619"
ZCTA5 75135,
    Estimate,"8,515"
    Margin of Error,±973
ZCTA5 75137,
    Estimate,"20,013"
    Margin of Error,"±1,379"
ZCTA5 75140,
    Estimate,"7,933"
    Margin of Error,±757
ZCTA5 75141,
    Estimate,"4,510"
    Margin of Error,±543
ZCTA5 75142,
    Estimate,"22,756"
    Margin of Error,"±1,651"
ZCTA5 75143,
    Estimate,"14,584"
    Margin of Error,"±1,184"
ZCTA5 75144,
    Estimate,"3,883"
    Margin of Error,±516
ZCTA5 75146,
    Estimate,"24,089"
    Margin of Error,"±1,722"
ZCTA5 75147,
    Estimate,"8,239"
    Margin of Error,±918
ZCTA5 75148,
    Estimate,"6,143"
    Margin of Error,±788
ZCTA5 75149,
    Estimate,"59,371"
    Margin of Error,"±2,599"
ZCTA5 75150,
    Estimate,"63,895"
    Margin of Error,"±2,902"
ZCTA5 75152,
    Estimate,"5,859"
    Margin of Error,±774
ZCTA5 75153,
    Estimate,568
    Margin of Error,±316
ZCTA5 75154,
    Estimate,"48,510"
    Margin of Error,"±1,361"
ZCTA5 75155,
    Estimate,"3,142"
    Margin of Error,±434
ZCTA5 75156,
    Estimate,"16,262"
    Margin of Error,±931
ZCTA5 75157,
    Estimate,216
    Margin of Error,±91
ZCTA5 75158,
    Estimate,"6,202"
    Margin of Error,±834
ZCTA5 75159,
    Estimate,"22,751"
    Margin of Error,±805
ZCTA5 75160,
    Estimate,"25,964"
    Margin of Error,"±1,095"
ZCTA5 75161,
    Estimate,"6,468"
    Margin of Error,"±1,051"
ZCTA5 75163,
    Estimate,"2,540"
    Margin of Error,±418
ZCTA5 75164,
    Estimate,430
    Margin of Error,±215
