Label (Grouping),Total
ZCTA5 75165,
    Estimate,"48,970"
    Margin of Error,"±1,250"
ZCTA5 75166,
    Estimate,"5,762"
    Margin of Error,±289
ZCTA5 75167,
    Estimate,"13,421"
    Margin of Error,"±1,344"
ZCTA5 75169,
    Estimate,"15,361"
    Margin of Error,"±1,056"
ZCTA5 75172,
    Estimate,"5,378"
    Margin of Error,±197
ZCTA5 75173,
    Estimate,"9,296"
    Margin of Error,"±1,213"
ZCTA5 75180,
    Estimate,"27,050"
    Margin of Error,±202
ZCTA5 75181,
    Estimate,"27,980"
    Margin of Error,"±2,744"
ZCTA5 75182,
    Estimate,"7,873"
    Margin of Error,±21
ZCTA5 75189,
    Estimate,"38,261"
    Margin of Error,"±2,068"
ZCTA5 75201,
    Estimate,"17,985"
    Margin of Error,"±1,110"
ZCTA5 75202,
    Estimate,"2,421"
    Margin of Error,±305
ZCTA5 75203,
    Estimate,"16,265"
    Margin of Error,"±2,335"
ZCTA5 75204,
    Estimate,"31,627"
    Margin of Error,"±2,182"
ZCTA5 75205,
    Estimate,"25,212"
    Margin of Error,"±1,033"
ZCTA5 75206,
    Estimate,"38,432"
    Margin of Error,"±1,901"
ZCTA5 75207,
    Estimate,"8,029"
    Margin of Error,±392
ZCTA5 75208,
    Estimate,"29,992"
    Margin of Error,"±1,752"
ZCTA5 75209,
    Estimate,"14,208"
    Margin of Error,"±1,167"
ZCTA5 75210,
    Estimate,"8,750"
    Margin of Error,"±2,192"
ZCTA5 75211,
    Estimate,"73,948"
    Margin of Error,"±2,988"
ZCTA5 75212,
    Estimate,"27,045"
    Margin of Error,"±2,362"
ZCTA5 75214,
    Estimate,"34,015"
    Margin of Error,"±1,888"
ZCTA5 75215,
    Estimate,"18,950"
    Margin of Error,"±1,506"
ZCTA5 75216,
    Estimate,"55,085"
    Margin of Error,"±3,226"
ZCTA5 75217,
    Estimate,"87,154"
    Margin of Error,"±3,376"
ZCTA5 75218,
    Estimate,"21,393"
    Margin of Error,"±1,486"
ZCTA5 75219,
    Estimate,"24,797"
    Margin of Error,"±1,602"
ZCTA5 75220,
    Estimate,"40,327"
    Margin of Error,"±2,636"
ZCTA5 75223,
    Estimate,"13,174"
    Margin of Error,"±1,542"
ZCTA5 75224,
    Estimate,"35,903"
    Margin of Error,"±2,405"
ZCTA5 75225,
    Estimate,"21,965"
    Margin of Error,"±1,060"
ZCTA5 75226,
    Estimate,"5,108"
    Margin of Error,±688
ZCTA5 75227,
    Estimate,"58,315"
    Margin of Error,"±3,374"
ZCTA5 75228,
    Estimate,"68,472"
    Margin of Error,"±3,933"
ZCTA5 75229,
    Estimate,"32,885"
    Margin of Error,"±1,881"
ZCTA5 75230,
    Estimate,"26,503"
    Margin of Error,"±1,522"
ZCTA5 75231,
    Estimate,"39,158"
    Margin of Error,"±2,576"
ZCTA5 75232,
    Estimate,"33,333"
    Margin of Error,"±2,130"
ZCTA5 75233,
    Estimate,"15,876"
    Margin of Error,"±1,957"
ZCTA5 75234,
    Estimate,"33,838"
    Margin of Error,±915
ZCTA5 75235,
    Estimate,"18,936"
    Margin of Error,"±1,767"
ZCTA5 75236,
    Estimate,"18,249"
    Margin of Error,"±1,549"
ZCTA5 75237,
    Estimate,"19,530"
    Margin of Error,"±1,774"
ZCTA5 75238,
    Estimate,"32,180"
    Margin of Error,"±1,826"
ZCTA5 75240,
    Estimate,"26,058"
    Margin of Error,"±1,432"
ZCTA5 75241,
    Estimate,"33,081"
    Margin of Error,"±2,189"
ZCTA5 75243,
    Estimate,"63,047"
    Margin of Error,"±3,202"
ZCTA5 75244,
    Estimate,"12,734"
    Margin of Error,"±1,077"
ZCTA5 75246,
    Estimate,"2,265"
    Margin of Error,±399
ZCTA5 75247,
    Estimate,992
    Margin of Error,±158
ZCTA5 75248,
    Estimate,"37,282"
    Margin of Error,"±1,845"
ZCTA5 75249,
    Estimate,"17,853"
    Margin of Error,"±2,917"
ZCTA5 75251,
    Estimate,"3,801"
    Margin of Error,±904
ZCTA5 75252,
    Estimate,"27,541"
    Margin of Error,"±1,155"
ZCTA5 75253,
    Estimate,"24,411"
    Margin of Error,"±2,964"
ZCTA5 75254,
    Estimate,"24,316"
    Margin of Error,"±2,363"
ZCTA5 75261,
    Estimate,0
    Margin of Error,±15
ZCTA5 75270,
    Estimate,0
    Margin of Error,±15
ZCTA5 75287,
    Estimate,"52,240"
    Margin of Error,"±1,256"
ZCTA5 75390,
    Estimate,0
    Margin of Error,±15
ZCTA5 75401,
    Estimate,"21,000"
    Margin of Error,"±1,532"
ZCTA5 75402,
    Estimate,"20,299"
    Margin of Error,"±1,383"
ZCTA5 75407,
    Estimate,"26,607"
    Margin of Error,"±1,131"
ZCTA5 75409,
    Estimate,"22,249"
    Margin of Error,±928
ZCTA5 75410,
    Estimate,"4,196"
    Margin of Error,±561
ZCTA5 75411,
    Estimate,875
    Margin of Error,±335
ZCTA5 75412,
    Estimate,512
    Margin of Error,±214
ZCTA5 75413,
    Estimate,187
    Margin of Error,±93
ZCTA5 75414,
    Estimate,"3,284"
    Margin of Error,±602
ZCTA5 75415,
    Estimate,302
    Margin of Error,±166
ZCTA5 75416,
    Estimate,"2,865"
    Margin of Error,±476
ZCTA5 75417,
    Estimate,"2,357"
    Margin of Error,±280
ZCTA5 75418,
    Estimate,"14,473"
    Margin of Error,±514
ZCTA5 75420,
    Estimate,"1,364"
    Margin of Error,±348
ZCTA5 75421,
    Estimate,847
    Margin of Error,±425
ZCTA5 75422,
    Estimate,"2,826"
    Margin of Error,±649
ZCTA5 75423,
    Estimate,"3,024"
    Margin of Error,±546
ZCTA5 75424,
    Estimate,"3,483"
    Margin of Error,±502
ZCTA5 75426,
    Estimate,"3,793"
    Margin of Error,±230
ZCTA5 75428,
    Estimate,"11,398"
    Margin of Error,±544
ZCTA5 75429,
    Estimate,0
    Margin of Error,±15
ZCTA5 75431,
    Estimate,"1,841"
    Margin of Error,±519
ZCTA5 75432,
    Estimate,"3,115"
    Margin of Error,±275
ZCTA5 75433,
    Estimate,"3,053"
    Margin of Error,±431
ZCTA5 75434,
    Estimate,0
    Margin of Error,±15
ZCTA5 75435,
    Estimate,"1,060"
    Margin of Error,±318
ZCTA5 75436,
    Estimate,"2,334"
    Margin of Error,±380
ZCTA5 75437,
    Estimate,"1,125"
    Margin of Error,±209
ZCTA5 75438,
    Estimate,"1,046"
    Margin of Error,±283
ZCTA5 75439,
    Estimate,"1,123"
    Margin of Error,±240
ZCTA5 75440,
    Estimate,"7,251"
    Margin of Error,±578
ZCTA5 75441,
    Estimate,90
    Margin of Error,±80
ZCTA5 75442,
    Estimate,"10,571"
    Margin of Error,±929
ZCTA5 75446,
    Estimate,"3,594"
    Margin of Error,±392
ZCTA5 75447,
    Estimate,"1,187"
    Margin of Error,±277
ZCTA5 75448,
    Estimate,862
    Margin of Error,±263
ZCTA5 75449,
    Estimate,"1,082"
    Margin of Error,±211
ZCTA5 75450,
    Estimate,482
    Margin of Error,±207
ZCTA5 75451,
    Estimate,"1,613"
    Margin of Error,±465
ZCTA5 75452,
    Estimate,"4,979"
    Margin of Error,±467
ZCTA5 75453,
    Estimate,"3,173"
    Margin of Error,±714
ZCTA5 75454,
    Estimate,"17,241"
    Margin of Error,±700
ZCTA5 75455,
    Estimate,"26,816"
    Margin of Error,±720
ZCTA5 75457,
    Estimate,"6,278"
    Margin of Error,±582
ZCTA5 75459,
    Estimate,"5,395"
    Margin of Error,±615
ZCTA5 75460,
    Estimate,"24,094"
    Margin of Error,±988
ZCTA5 75462,
    Estimate,"11,406"
    Margin of Error,±913
ZCTA5 75468,
    Estimate,"1,142"
    Margin of Error,±359
ZCTA5 75469,
    Estimate,311
    Margin of Error,±136
ZCTA5 75470,
    Estimate,161
    Margin of Error,±95
ZCTA5 75471,
    Estimate,"1,690"
    Margin of Error,±484
ZCTA5 75472,
    Estimate,"3,905"
    Margin of Error,±559
ZCTA5 75473,
    Estimate,"3,663"
    Margin of Error,±530
ZCTA5 75474,
    Estimate,"16,586"
    Margin of Error,"±1,259"
ZCTA5 75475,
    Estimate,19
    Margin of Error,±22
ZCTA5 75476,
    Estimate,"1,195"
    Margin of Error,±250
ZCTA5 75477,
    Estimate,"1,246"
    Margin of Error,±395
ZCTA5 75478,
    Estimate,879
    Margin of Error,±287
ZCTA5 75479,
    Estimate,"2,019"
    Margin of Error,±283
ZCTA5 75480,
    Estimate,"1,730"
    Margin of Error,±423
ZCTA5 75481,
    Estimate,385
    Margin of Error,±172
ZCTA5 75482,
    Estimate,"25,724"
    Margin of Error,±757
ZCTA5 75486,
    Estimate,"2,569"
    Margin of Error,±520
ZCTA5 75487,
    Estimate,"1,398"
    Margin of Error,±364
ZCTA5 75488,
    Estimate,919
    Margin of Error,±333
ZCTA5 75489,
    Estimate,832
    Margin of Error,±222
ZCTA5 75490,
    Estimate,"2,775"
    Margin of Error,±432
ZCTA5 75491,
    Estimate,"5,094"
    Margin of Error,±625
ZCTA5 75492,
    Estimate,342
    Margin of Error,±138
ZCTA5 75493,
    Estimate,699
    Margin of Error,±264
ZCTA5 75494,
    Estimate,"11,167"
    Margin of Error,±784
ZCTA5 75495,
    Estimate,"9,658"
    Margin of Error,±853
ZCTA5 75496,
    Estimate,"3,462"
    Margin of Error,±505
ZCTA5 75497,
    Estimate,"3,896"
    Margin of Error,±573
ZCTA5 75501,
    Estimate,"34,183"
    Margin of Error,"±1,495"
ZCTA5 75503,
    Estimate,"27,675"
    Margin of Error,"±1,381"
ZCTA5 75550,
    Estimate,615
    Margin of Error,±207
ZCTA5 75551,
    Estimate,"10,917"
    Margin of Error,±718
ZCTA5 75554,
    Estimate,"2,447"
    Margin of Error,±392
ZCTA5 75555,
    Estimate,"1,534"
    Margin of Error,±320
ZCTA5 75556,
    Estimate,"1,297"
    Margin of Error,±442
ZCTA5 75558,
    Estimate,"2,043"
    Margin of Error,±536
ZCTA5 75559,
    Estimate,"5,455"
    Margin of Error,±670
ZCTA5 75560,
    Estimate,"1,033"
    Margin of Error,±276
ZCTA5 75561,
    Estimate,"4,901"
    Margin of Error,±548
ZCTA5 75562,
    Estimate,89
    Margin of Error,±84
ZCTA5 75563,
    Estimate,"3,920"
    Margin of Error,±483
ZCTA5 75564,
    Estimate,22
    Margin of Error,±35
ZCTA5 75565,
    Estimate,218
    Margin of Error,±277
ZCTA5 75566,
    Estimate,678
    Margin of Error,±251
ZCTA5 75567,
    Estimate,"3,863"
    Margin of Error,±608
ZCTA5 75568,
    Estimate,"2,494"
    Margin of Error,±490
ZCTA5 75569,
    Estimate,"3,456"
    Margin of Error,±218
ZCTA5 75570,
    Estimate,"11,197"
    Margin of Error,±656
ZCTA5 75571,
    Estimate,"2,618"
    Margin of Error,±536
ZCTA5 75572,
    Estimate,"3,162"
    Margin of Error,±561
ZCTA5 75573,
    Estimate,194
    Margin of Error,±142
ZCTA5 75574,
    Estimate,"1,402"
    Margin of Error,±243
ZCTA5 75601,
    Estimate,"15,470"
    Margin of Error,"±1,272"
ZCTA5 75602,
    Estimate,"21,343"
    Margin of Error,"±1,378"
ZCTA5 75603,
    Estimate,"6,341"
    Margin of Error,±808
ZCTA5 75604,
    Estimate,"31,361"
    Margin of Error,"±1,623"
ZCTA5 75605,
    Estimate,"33,614"
    Margin of Error,"±1,958"
ZCTA5 75630,
    Estimate,"2,622"
    Margin of Error,±462
ZCTA5 75631,
    Estimate,"2,738"
    Margin of Error,±344
ZCTA5 75633,
    Estimate,"13,055"
    Margin of Error,±676
ZCTA5 75638,
    Estimate,"5,041"
    Margin of Error,±448
ZCTA5 75639,
    Estimate,"2,256"
    Margin of Error,±582
ZCTA5 75640,
    Estimate,"5,720"
    Margin of Error,±896
ZCTA5 75641,
    Estimate,101
    Margin of Error,±66
ZCTA5 75642,
    Estimate,71
    Margin of Error,±96
ZCTA5 75643,
    Estimate,"2,216"
    Margin of Error,±387
ZCTA5 75644,
    Estimate,"12,902"
    Margin of Error,±931
ZCTA5 75645,
    Estimate,"10,180"
    Margin of Error,±896
ZCTA5 75647,
    Estimate,"13,026"
    Margin of Error,±927
ZCTA5 75650,
    Estimate,"9,921"
    Margin of Error,"±1,003"
ZCTA5 75651,
    Estimate,"2,197"
    Margin of Error,±558
ZCTA5 75652,
    Estimate,"13,704"
    Margin of Error,"±1,083"
ZCTA5 75654,
    Estimate,"12,817"
    Margin of Error,"±1,098"
ZCTA5 75656,
    Estimate,"4,580"
    Margin of Error,±693
ZCTA5 75657,
    Estimate,"6,771"
    Margin of Error,±581
ZCTA5 75658,
    Estimate,26
    Margin of Error,±29
ZCTA5 75659,
    Estimate,0
    Margin of Error,±15
ZCTA5 75661,
    Estimate,"2,734"
    Margin of Error,±776
ZCTA5 75662,
    Estimate,"24,640"
    Margin of Error,"±1,220"
ZCTA5 75667,
    Estimate,"1,329"
    Margin of Error,±297
ZCTA5 75668,
    Estimate,"2,471"
    Margin of Error,±448
ZCTA5 75669,
    Estimate,"1,041"
    Margin of Error,±545
ZCTA5 75670,
    Estimate,"18,466"
    Margin of Error,"±1,260"
ZCTA5 75671,
    Estimate,0
    Margin of Error,±15
ZCTA5 75672,
    Estimate,"16,637"
    Margin of Error,"±1,335"
ZCTA5 75680,
    Estimate,0
    Margin of Error,±15
ZCTA5 75681,
    Estimate,"2,593"
    Margin of Error,±465
ZCTA5 75682,
    Estimate,664
    Margin of Error,±226
ZCTA5 75683,
    Estimate,"3,810"
    Margin of Error,±697
ZCTA5 75684,
    Estimate,"8,030"
    Margin of Error,±818
ZCTA5 75686,
    Estimate,"13,180"
    Margin of Error,±650
ZCTA5 75687,
    Estimate,0
    Margin of Error,±15
ZCTA5 75689,
    Estimate,201
    Margin of Error,±176
ZCTA5 75691,
    Estimate,"4,547"
    Margin of Error,±678
ZCTA5 75692,
    Estimate,"4,830"
    Margin of Error,±896
ZCTA5 75693,
    Estimate,"6,128"
    Margin of Error,±512
ZCTA5 75694,
    Estimate,0
    Margin of Error,±15
ZCTA5 75701,
    Estimate,"34,822"
    Margin of Error,"±1,754"
ZCTA5 75702,
    Estimate,"27,775"
    Margin of Error,"±1,970"
ZCTA5 75703,
    Estimate,"43,682"
    Margin of Error,"±2,155"
ZCTA5 75704,
    Estimate,"9,284"
    Margin of Error,"±1,598"
ZCTA5 75705,
    Estimate,"2,348"
    Margin of Error,±968
ZCTA5 75706,
    Estimate,"11,334"
    Margin of Error,"±1,701"
ZCTA5 75707,
    Estimate,"15,724"
    Margin of Error,"±1,792"
ZCTA5 75708,
    Estimate,"10,155"
    Margin of Error,"±1,931"
ZCTA5 75709,
    Estimate,"5,031"
    Margin of Error,"±1,014"
ZCTA5 75711,
    Estimate,163
    Margin of Error,±122
ZCTA5 75750,
    Estimate,"3,291"
    Margin of Error,±589
ZCTA5 75751,
    Estimate,"17,989"
    Margin of Error,±936
ZCTA5 75752,
    Estimate,"7,573"
    Margin of Error,"±1,009"
ZCTA5 75754,
    Estimate,"7,460"
    Margin of Error,"±1,104"
ZCTA5 75755,
    Estimate,"4,982"
    Margin of Error,±718
ZCTA5 75756,
    Estimate,"4,299"
    Margin of Error,±682
ZCTA5 75757,
    Estimate,"13,430"
    Margin of Error,"±1,355"
ZCTA5 75758,
    Estimate,"9,131"
    Margin of Error,"±1,053"
ZCTA5 75759,
    Estimate,139
    Margin of Error,±107
ZCTA5 75760,
    Estimate,"2,204"
    Margin of Error,±473
ZCTA5 75762,
    Estimate,"14,459"
    Margin of Error,"±1,734"
ZCTA5 75763,
    Estimate,"6,336"
    Margin of Error,±802
ZCTA5 75764,
    Estimate,158
    Margin of Error,±97
ZCTA5 75765,
    Estimate,"7,944"
    Margin of Error,±771
ZCTA5 75766,
    Estimate,"26,128"
    Margin of Error,"±1,144"
ZCTA5 75770,
    Estimate,"2,557"
    Margin of Error,±522
ZCTA5 75771,
    Estimate,"21,408"
    Margin of Error,"±1,468"
ZCTA5 75773,
    Estimate,"14,227"
    Margin of Error,"±1,027"
ZCTA5 75778,
    Estimate,"2,471"
    Margin of Error,±549
ZCTA5 75779,
    Estimate,22
    Margin of Error,±39
ZCTA5 75780,
    Estimate,404
    Margin of Error,±170
ZCTA5 75782,
    Estimate,103
    Margin of Error,±72
ZCTA5 75783,
    Estimate,"7,854"
    Margin of Error,±676
ZCTA5 75784,
    Estimate,794
    Margin of Error,±287
ZCTA5 75785,
    Estimate,"10,906"
    Margin of Error,±580
ZCTA5 75788,
    Estimate,43
    Margin of Error,±62
ZCTA5 75789,
    Estimate,"7,898"
    Margin of Error,±972
ZCTA5 75790,
    Estimate,"3,777"
    Margin of Error,±338
ZCTA5 75791,
    Estimate,"14,685"
    Margin of Error,"±1,134"
ZCTA5 75792,
    Estimate,"3,558"
    Margin of Error,"±1,036"
ZCTA5 75801,
    Estimate,"16,549"
    Margin of Error,"±1,087"
ZCTA5 75803,
    Estimate,"21,702"
    Margin of Error,"±1,110"
ZCTA5 75831,
    Estimate,"5,152"
    Margin of Error,±609
ZCTA5 75833,
    Estimate,"2,764"
    Margin of Error,±399
ZCTA5 75835,
    Estimate,"11,470"
    Margin of Error,±550
ZCTA5 75838,
    Estimate,304
    Margin of Error,±159
ZCTA5 75839,
    Estimate,"6,189"
    Margin of Error,±748
ZCTA5 75840,
    Estimate,"6,428"
    Margin of Error,±576
ZCTA5 75844,
    Estimate,"4,922"
    Margin of Error,±562
ZCTA5 75845,
    Estimate,"2,262"
    Margin of Error,±431
ZCTA5 75846,
    Estimate,"2,609"
    Margin of Error,±610
ZCTA5 75847,
    Estimate,"1,634"
    Margin of Error,±322
ZCTA5 75848,
    Estimate,100
    Margin of Error,±60
ZCTA5 75849,
    Estimate,125
    Margin of Error,±57
ZCTA5 75850,
    Estimate,"1,447"
    Margin of Error,±423
ZCTA5 75851,
    Estimate,"4,513"
    Margin of Error,±412
ZCTA5 75852,
    Estimate,"3,173"
    Margin of Error,±244
ZCTA5 75853,
    Estimate,"1,042"
    Margin of Error,±436
ZCTA5 75855,
    Estimate,"2,657"
    Margin of Error,±528
ZCTA5 75856,
    Estimate,211
    Margin of Error,±175
ZCTA5 75858,
    Estimate,60
    Margin of Error,±55
ZCTA5 75859,
    Estimate,"2,607"
    Margin of Error,±471
ZCTA5 75860,
    Estimate,"6,305"
    Margin of Error,±382
ZCTA5 75861,
    Estimate,"1,438"
    Margin of Error,±394
ZCTA5 75862,
    Estimate,"10,017"
    Margin of Error,±445
ZCTA5 75865,
    Estimate,0
    Margin of Error,±15
ZCTA5 75884,
    Estimate,"3,535"
    Margin of Error,±332
ZCTA5 75886,
    Estimate,"3,005"
    Margin of Error,±325
ZCTA5 75901,
    Estimate,"28,257"
    Margin of Error,"±1,449"
ZCTA5 75903,
    Estimate,136
    Margin of Error,±122
ZCTA5 75904,
    Estimate,"34,191"
    Margin of Error,"±1,864"
ZCTA5 75925,
    Estimate,"3,217"
    Margin of Error,±479
ZCTA5 75926,
    Estimate,"1,301"
    Margin of Error,±247
ZCTA5 75928,
    Estimate,987
    Margin of Error,±309
ZCTA5 75929,
    Estimate,"1,358"
    Margin of Error,±355
ZCTA5 75930,
    Estimate,"1,972"
    Margin of Error,±400
ZCTA5 75931,
    Estimate,"2,053"
    Margin of Error,±425
ZCTA5 75932,
    Estimate,"1,393"
    Margin of Error,±301
ZCTA5 75933,
    Estimate,"1,316"
    Margin of Error,±470
ZCTA5 75934,
    Estimate,142
    Margin of Error,±131
ZCTA5 75935,
    Estimate,"12,073"
    Margin of Error,±655
ZCTA5 75936,
    Estimate,951
    Margin of Error,±292
ZCTA5 75937,
    Estimate,"1,303"
    Margin of Error,±295
ZCTA5 75938,
    Estimate,"2,306"
    Margin of Error,±407
ZCTA5 75939,
    Estimate,"5,415"
    Margin of Error,±858
ZCTA5 75941,
    Estimate,"8,666"
    Margin of Error,±723
ZCTA5 75942,
    Estimate,162
    Margin of Error,±241
ZCTA5 75943,
    Estimate,"1,372"
    Margin of Error,±378
ZCTA5 75944,
    Estimate,852
    Margin of Error,±195
ZCTA5 75946,
    Estimate,"3,943"
    Margin of Error,±638
ZCTA5 75948,
    Estimate,"5,307"
