Label (Grouping),Total
    Margin of Error,±952
ZCTA5 75065,
    Estimate,"12,457"
    Margin of Error,±431
ZCTA5 75067,
    Estimate,"66,896"
    Margin of Error,"±1,301"
ZCTA5 75068,
    Estimate,"55,848"
    Margin of Error,"±1,199"
ZCTA5 75069,
    Estimate,"36,879"
    Margin of Error,"±1,284"
ZCTA5 75070,
    Estimate,"93,299"
    Margin of Error,"±1,471"
ZCTA5 75071,
    Estimate,"49,846"
    Margin of Error,"±1,255"
ZCTA5 75074,
    Estimate,"48,977"
    Margin of Error,"±1,403"
ZCTA5 75075,
    Estimate,"35,933"
    Margin of Error,±987
ZCTA5 75076,
    Estimate,"7,244"
    Margin of Error,±515
ZCTA5 75077,
    Estimate,"36,181"
    Margin of Error,"±1,011"
ZCTA5 75078,
    Estimate,"20,611"
    Margin of Error,±712
ZCTA5 75080,
    Estimate,"50,247"
    Margin of Error,"±1,236"
ZCTA5 75081,
    Estimate,"37,960"
    Margin of Error,"±1,104"
ZCTA5 75082,
    Estimate,"23,733"
    Margin of Error,±707
ZCTA5 75087,
    Estimate,"33,110"
    Margin of Error,"±1,192"
ZCTA5 75088,
    Estimate,"25,842"
    Margin of Error,±781
ZCTA5 75089,
    Estimate,"33,117"
    Margin of Error,±727
ZCTA5 75090,
    Estimate,"23,936"
    Margin of Error,"±1,031"
ZCTA5 75092,
    Estimate,"24,312"
    Margin of Error,"±1,036"
ZCTA5 75093,
    Estimate,"48,021"
    Margin of Error,"±1,029"
ZCTA5 75094,
    Estimate,"23,097"
    Margin of Error,±432
ZCTA5 75098,
    Estimate,"54,534"
    Margin of Error,"±1,126"
ZCTA5 75101,
    Estimate,710
    Margin of Error,±131
ZCTA5 75102,
    Estimate,"1,251"
    Margin of Error,±382
ZCTA5 75103,
    Estimate,"13,967"
    Margin of Error,±893
ZCTA5 75104,
    Estimate,"48,568"
    Margin of Error,±267
ZCTA5 75105,
    Estimate,245
    Margin of Error,±148
ZCTA5 75109,
    Estimate,"4,096"
    Margin of Error,±436
ZCTA5 75110,
    Estimate,"28,847"
    Margin of Error,±648
ZCTA5 75114,
    Estimate,"5,930"
    Margin of Error,±588
ZCTA5 75115,
    Estimate,"52,377"
    Margin of Error,±111
ZCTA5 75116,
    Estimate,"19,996"
    Margin of Error,±711
ZCTA5 75117,
    Estimate,"4,007"
    Margin of Error,±327
ZCTA5 75119,
    Estimate,"27,514"
    Margin of Error,±572
ZCTA5 75124,
    Estimate,"4,229"
    Margin of Error,±692
ZCTA5 75125,
    Estimate,"6,236"
    Margin of Error,±710
ZCTA5 75126,
    Estimate,"42,409"
    Margin of Error,"±1,048"
ZCTA5 75127,
    Estimate,"1,719"
    Margin of Error,±286
ZCTA5 75132,
    Estimate,"1,864"
    Margin of Error,±541
ZCTA5 75134,
    Estimate,"22,106"
    Margin of Error,±850
ZCTA5 75135,
    Estimate,"7,113"
    Margin of Error,±655
ZCTA5 75137,
    Estimate,"19,640"
    Margin of Error,±722
ZCTA5 75140,
    Estimate,"6,752"
    Margin of Error,±497
ZCTA5 75141,
    Estimate,"5,815"
    Margin of Error,±170
ZCTA5 75142,
    Estimate,"18,702"
    Margin of Error,"±1,039"
ZCTA5 75143,
    Estimate,"14,138"
    Margin of Error,±972
ZCTA5 75144,
    Estimate,"3,377"
    Margin of Error,±359
ZCTA5 75146,
    Estimate,"19,071"
    Margin of Error,"±1,008"
ZCTA5 75147,
    Estimate,"6,736"
    Margin of Error,±748
ZCTA5 75148,
    Estimate,"5,774"
    Margin of Error,±672
ZCTA5 75149,
    Estimate,"55,797"
    Margin of Error,"±1,620"
ZCTA5 75150,
    Estimate,"62,297"
    Margin of Error,"±1,554"
ZCTA5 75152,
    Estimate,"4,694"
    Margin of Error,±727
ZCTA5 75153,
    Estimate,440
    Margin of Error,±176
ZCTA5 75154,
    Estimate,"40,225"
    Margin of Error,"±1,172"
ZCTA5 75155,
    Estimate,"2,946"
    Margin of Error,±387
ZCTA5 75156,
    Estimate,"15,720"
    Margin of Error,±736
ZCTA5 75157,
    Estimate,267
    Margin of Error,±93
ZCTA5 75158,
    Estimate,"3,793"
    Margin of Error,±456
ZCTA5 75159,
    Estimate,"19,440"
    Margin of Error,±669
ZCTA5 75160,
    Estimate,"25,315"
    Margin of Error,±923
ZCTA5 75161,
    Estimate,"6,577"
    Margin of Error,±835
ZCTA5 75163,
    Estimate,"2,440"
    Margin of Error,±385
ZCTA5 75164,
    Estimate,629
    Margin of Error,±179
ZCTA5 75165,
    Estimate,"42,048"
    Margin of Error,"±1,013"
ZCTA5 75166,
    Estimate,"4,057"
    Margin of Error,±276
ZCTA5 75167,
    Estimate,"10,616"
    Margin of Error,"±1,045"
ZCTA5 75169,
    Estimate,"12,779"
    Margin of Error,±859
ZCTA5 75172,
    Estimate,"4,109"
    Margin of Error,±112
ZCTA5 75173,
    Estimate,"4,166"
    Margin of Error,±573
ZCTA5 75180,
    Estimate,"24,112"
    Margin of Error,±473
ZCTA5 75181,
    Estimate,"27,588"
    Margin of Error,"±1,472"
ZCTA5 75182,
    Estimate,"6,077"
    Margin of Error,±24
ZCTA5 75189,
    Estimate,"25,560"
    Margin of Error,"±1,037"
ZCTA5 75201,
    Estimate,"15,185"
    Margin of Error,"±1,020"
ZCTA5 75202,
    Estimate,"2,029"
    Margin of Error,±320
ZCTA5 75203,
    Estimate,"16,351"
    Margin of Error,"±1,025"
ZCTA5 75204,
    Estimate,"30,370"
    Margin of Error,"±1,387"
ZCTA5 75205,
    Estimate,"24,211"
    Margin of Error,±627
ZCTA5 75206,
    Estimate,"38,762"
    Margin of Error,"±1,460"
ZCTA5 75207,
    Estimate,"8,028"
    Margin of Error,±522
ZCTA5 75208,
    Estimate,"29,448"
    Margin of Error,"±1,204"
ZCTA5 75209,
    Estimate,"13,898"
    Margin of Error,±816
ZCTA5 75210,
    Estimate,"8,243"
    Margin of Error,±757
ZCTA5 75211,
    Estimate,"77,600"
    Margin of Error,"±2,325"
ZCTA5 75212,
    Estimate,"26,120"
    Margin of Error,"±1,019"
ZCTA5 75214,
    Estimate,"34,145"
    Margin of Error,"±1,092"
ZCTA5 75215,
    Estimate,"15,664"
    Margin of Error,"±1,030"
ZCTA5 75216,
    Estimate,"52,895"
    Margin of Error,"±2,208"
ZCTA5 75217,
    Estimate,"85,249"
    Margin of Error,"±2,397"
ZCTA5 75218,
    Estimate,"22,264"
    Margin of Error,"±1,006"
ZCTA5 75219,
    Estimate,"23,277"
    Margin of Error,"±1,124"
ZCTA5 75220,
    Estimate,"42,642"
    Margin of Error,"±1,416"
ZCTA5 75223,
    Estimate,"14,351"
    Margin of Error,±865
ZCTA5 75224,
    Estimate,"36,468"
    Margin of Error,"±1,628"
ZCTA5 75225,
    Estimate,"21,568"
    Margin of Error,±709
ZCTA5 75226,
    Estimate,"4,790"
    Margin of Error,±552
ZCTA5 75227,
    Estimate,"57,806"
    Margin of Error,"±2,190"
ZCTA5 75228,
    Estimate,"74,605"
    Margin of Error,"±1,964"
ZCTA5 75229,
    Estimate,"32,390"
    Margin of Error,±996
ZCTA5 75230,
    Estimate,"27,521"
    Margin of Error,"±1,009"
ZCTA5 75231,
    Estimate,"40,464"
    Margin of Error,"±1,599"
ZCTA5 75232,
    Estimate,"30,714"
    Margin of Error,"±1,779"
ZCTA5 75233,
    Estimate,"16,318"
    Margin of Error,"±1,190"
ZCTA5 75234,
    Estimate,"32,589"
    Margin of Error,±602
ZCTA5 75235,
    Estimate,"18,794"
    Margin of Error,"±1,326"
ZCTA5 75236,
    Estimate,"18,542"
    Margin of Error,"±1,247"
ZCTA5 75237,
    Estimate,"20,295"
    Margin of Error,"±1,352"
ZCTA5 75238,
    Estimate,"33,009"
    Margin of Error,"±1,017"
ZCTA5 75240,
    Estimate,"27,875"
    Margin of Error,"±1,430"
ZCTA5 75241,
    Estimate,"29,398"
    Margin of Error,"±1,783"
ZCTA5 75243,
    Estimate,"67,445"
    Margin of Error,"±2,128"
ZCTA5 75244,
    Estimate,"13,613"
    Margin of Error,±664
ZCTA5 75246,
    Estimate,"2,276"
    Margin of Error,±406
ZCTA5 75247,
    Estimate,712
    Margin of Error,±263
ZCTA5 75248,
    Estimate,"35,464"
    Margin of Error,"±1,207"
ZCTA5 75249,
    Estimate,"16,100"
    Margin of Error,±828
ZCTA5 75251,
    Estimate,"2,368"
    Margin of Error,±370
ZCTA5 75252,
    Estimate,"26,493"
    Margin of Error,±717
ZCTA5 75253,
    Estimate,"22,721"
    Margin of Error,"±1,665"
ZCTA5 75254,
    Estimate,"26,602"
    Margin of Error,"±1,387"
ZCTA5 75270,
    Estimate,0
    Margin of Error,±13
ZCTA5 75287,
    Estimate,"53,903"
    Margin of Error,±797
ZCTA5 75390,
    Estimate,0
    Margin of Error,±13
ZCTA5 75401,
    Estimate,"18,830"
    Margin of Error,±786
ZCTA5 75402,
    Estimate,"16,931"
    Margin of Error,±992
ZCTA5 75407,
    Estimate,"16,367"
    Margin of Error,"±1,108"
ZCTA5 75409,
    Estimate,"14,010"
    Margin of Error,±491
ZCTA5 75410,
    Estimate,"5,327"
    Margin of Error,±714
ZCTA5 75411,
    Estimate,"1,157"
    Margin of Error,±283
ZCTA5 75412,
    Estimate,528
    Margin of Error,±173
ZCTA5 75413,
    Estimate,223
    Margin of Error,±74
ZCTA5 75414,
    Estimate,"3,184"
    Margin of Error,±409
ZCTA5 75415,
    Estimate,128
    Margin of Error,±79
ZCTA5 75416,
    Estimate,"2,887"
    Margin of Error,±567
ZCTA5 75417,
    Estimate,"2,691"
    Margin of Error,±317
ZCTA5 75418,
    Estimate,"14,318"
    Margin of Error,±431
ZCTA5 75420,
    Estimate,870
    Margin of Error,±236
ZCTA5 75421,
    Estimate,898
    Margin of Error,±378
ZCTA5 75422,
    Estimate,"2,946"
    Margin of Error,±543
ZCTA5 75423,
    Estimate,"2,749"
    Margin of Error,±367
ZCTA5 75424,
    Estimate,"3,765"
    Margin of Error,±647
ZCTA5 75426,
    Estimate,"4,953"
    Margin of Error,±339
ZCTA5 75428,
    Estimate,"10,802"
    Margin of Error,±239
ZCTA5 75431,
    Estimate,"2,356"
    Margin of Error,±487
ZCTA5 75432,
    Estimate,"3,519"
    Margin of Error,±203
ZCTA5 75433,
    Estimate,"2,752"
    Margin of Error,±307
ZCTA5 75435,
    Estimate,"1,374"
    Margin of Error,±310
ZCTA5 75436,
    Estimate,"1,923"
    Margin of Error,±279
ZCTA5 75437,
    Estimate,"1,335"
    Margin of Error,±216
ZCTA5 75438,
    Estimate,918
    Margin of Error,±139
ZCTA5 75439,
    Estimate,932
    Margin of Error,±159
ZCTA5 75440,
    Estimate,"6,201"
    Margin of Error,±461
ZCTA5 75441,
    Estimate,128
    Margin of Error,±88
ZCTA5 75442,
    Estimate,"9,848"
    Margin of Error,±845
ZCTA5 75446,
    Estimate,"3,553"
    Margin of Error,±425
ZCTA5 75447,
    Estimate,"1,057"
    Margin of Error,±244
ZCTA5 75448,
    Estimate,604
    Margin of Error,±188
ZCTA5 75449,
    Estimate,"1,484"
    Margin of Error,±220
ZCTA5 75450,
    Estimate,173
    Margin of Error,±120
ZCTA5 75451,
    Estimate,998
    Margin of Error,±280
ZCTA5 75452,
    Estimate,"4,306"
    Margin of Error,±370
ZCTA5 75453,
    Estimate,"3,102"
    Margin of Error,±422
ZCTA5 75454,
    Estimate,"8,807"
    Margin of Error,±285
ZCTA5 75455,
    Estimate,"28,560"
    Margin of Error,±632
ZCTA5 75457,
    Estimate,"6,131"
    Margin of Error,±425
ZCTA5 75459,
    Estimate,"5,207"
    Margin of Error,±495
ZCTA5 75460,
    Estimate,"22,226"
    Margin of Error,±645
ZCTA5 75462,
    Estimate,"11,691"
    Margin of Error,±821
ZCTA5 75468,
    Estimate,918
    Margin of Error,±320
ZCTA5 75469,
    Estimate,350
    Margin of Error,±119
ZCTA5 75470,
    Estimate,502
    Margin of Error,±224
ZCTA5 75471,
    Estimate,"1,503"
    Margin of Error,±406
ZCTA5 75472,
    Estimate,"3,931"
    Margin of Error,±422
ZCTA5 75473,
    Estimate,"3,879"
    Margin of Error,±442
ZCTA5 75474,
    Estimate,"15,047"
    Margin of Error,±858
ZCTA5 75475,
    Estimate,220
    Margin of Error,±100
ZCTA5 75476,
    Estimate,988
    Margin of Error,±257
ZCTA5 75477,
    Estimate,895
    Margin of Error,±207
ZCTA5 75478,
    Estimate,831
    Margin of Error,±181
ZCTA5 75479,
    Estimate,"1,859"
    Margin of Error,±215
ZCTA5 75480,
    Estimate,"1,814"
    Margin of Error,±374
ZCTA5 75481,
    Estimate,346
    Margin of Error,±88
ZCTA5 75482,
    Estimate,"24,802"
    Margin of Error,±507
ZCTA5 75486,
    Estimate,"2,552"
    Margin of Error,±543
ZCTA5 75487,
    Estimate,"1,688"
    Margin of Error,±393
ZCTA5 75488,
    Estimate,603
    Margin of Error,±167
ZCTA5 75489,
    Estimate,"1,061"
    Margin of Error,±229
ZCTA5 75490,
    Estimate,"2,399"
    Margin of Error,±234
ZCTA5 75491,
    Estimate,"5,646"
    Margin of Error,±514
ZCTA5 75492,
    Estimate,404
    Margin of Error,±132
ZCTA5 75493,
    Estimate,532
    Margin of Error,±139
ZCTA5 75494,
    Estimate,"9,931"
    Margin of Error,±632
ZCTA5 75495,
    Estimate,"7,797"
    Margin of Error,±643
ZCTA5 75496,
    Estimate,"3,436"
    Margin of Error,±385
ZCTA5 75497,
    Estimate,"3,585"
    Margin of Error,±665
ZCTA5 75501,
    Estimate,"35,692"
    Margin of Error,"±1,485"
ZCTA5 75503,
    Estimate,"25,916"
    Margin of Error,"±1,253"
ZCTA5 75550,
    Estimate,838
    Margin of Error,±187
ZCTA5 75551,
    Estimate,"10,867"
    Margin of Error,±731
ZCTA5 75554,
    Estimate,"1,805"
    Margin of Error,±326
ZCTA5 75555,
    Estimate,"1,765"
    Margin of Error,±427
ZCTA5 75556,
    Estimate,"1,044"
    Margin of Error,±264
ZCTA5 75558,
    Estimate,"1,902"
    Margin of Error,±602
ZCTA5 75559,
    Estimate,"5,316"
    Margin of Error,±483
ZCTA5 75560,
    Estimate,715
    Margin of Error,±261
ZCTA5 75561,
    Estimate,"5,108"
    Margin of Error,±387
ZCTA5 75562,
    Estimate,58
    Margin of Error,±64
ZCTA5 75563,
    Estimate,"4,410"
    Margin of Error,±515
ZCTA5 75565,
    Estimate,193
    Margin of Error,±88
ZCTA5 75566,
    Estimate,604
    Margin of Error,±209
ZCTA5 75567,
    Estimate,"5,191"
    Margin of Error,±757
ZCTA5 75568,
    Estimate,"2,271"
    Margin of Error,±441
ZCTA5 75569,
    Estimate,"3,229"
    Margin of Error,±20
ZCTA5 75570,
    Estimate,"10,969"
    Margin of Error,±537
ZCTA5 75571,
    Estimate,"3,189"
    Margin of Error,±506
ZCTA5 75572,
    Estimate,"4,285"
    Margin of Error,±595
ZCTA5 75573,
    Estimate,59
    Margin of Error,±60
ZCTA5 75574,
    Estimate,"1,716"
    Margin of Error,±309
ZCTA5 75601,
    Estimate,"16,310"
    Margin of Error,"±1,176"
ZCTA5 75602,
    Estimate,"22,112"
    Margin of Error,"±1,083"
ZCTA5 75603,
    Estimate,"5,913"
    Margin of Error,±725
ZCTA5 75604,
    Estimate,"30,565"
    Margin of Error,"±1,500"
ZCTA5 75605,
    Estimate,"30,721"
    Margin of Error,"±1,310"
ZCTA5 75630,
    Estimate,"2,238"
    Margin of Error,±367
ZCTA5 75631,
    Estimate,"3,137"
    Margin of Error,±384
ZCTA5 75633,
    Estimate,"13,779"
    Margin of Error,±571
ZCTA5 75638,
    Estimate,"5,908"
    Margin of Error,±524
ZCTA5 75639,
    Estimate,"2,790"
    Margin of Error,±514
ZCTA5 75640,
    Estimate,"5,020"
    Margin of Error,±757
ZCTA5 75641,
    Estimate,126
    Margin of Error,±82
ZCTA5 75642,
    Estimate,27
    Margin of Error,±43
ZCTA5 75643,
    Estimate,"2,462"
    Margin of Error,±355
ZCTA5 75644,
    Estimate,"12,579"
    Margin of Error,±776
ZCTA5 75645,
    Estimate,"10,253"
    Margin of Error,±905
ZCTA5 75647,
    Estimate,"12,459"
    Margin of Error,±879
ZCTA5 75650,
    Estimate,"8,858"
    Margin of Error,±745
ZCTA5 75651,
    Estimate,"2,192"
    Margin of Error,±767
ZCTA5 75652,
    Estimate,"17,061"
    Margin of Error,±913
ZCTA5 75654,
    Estimate,"12,299"
    Margin of Error,±909
ZCTA5 75656,
    Estimate,"4,601"
    Margin of Error,±470
ZCTA5 75657,
    Estimate,"8,139"
    Margin of Error,±522
ZCTA5 75661,
    Estimate,"3,043"
    Margin of Error,±766
ZCTA5 75662,
    Estimate,"26,009"
    Margin of Error,±965
ZCTA5 75667,
    Estimate,"1,072"
    Margin of Error,±206
ZCTA5 75668,
    Estimate,"2,005"
    Margin of Error,±429
ZCTA5 75669,
    Estimate,613
    Margin of Error,±250
ZCTA5 75670,
    Estimate,"17,537"
    Margin of Error,±839
ZCTA5 75672,
    Estimate,"16,252"
    Margin of Error,±858
ZCTA5 75681,
    Estimate,"2,299"
    Margin of Error,±328
ZCTA5 75682,
    Estimate,519
    Margin of Error,±139
ZCTA5 75683,
    Estimate,"3,811"
    Margin of Error,±648
ZCTA5 75684,
    Estimate,"7,750"
    Margin of Error,±699
ZCTA5 75686,
    Estimate,"13,047"
    Margin of Error,±428
ZCTA5 75691,
    Estimate,"3,006"
    Margin of Error,±444
ZCTA5 75692,
    Estimate,"5,078"
    Margin of Error,±744
ZCTA5 75693,
    Estimate,"6,973"
    Margin of Error,±267
ZCTA5 75701,
    Estimate,"34,876"
    Margin of Error,"±1,180"
ZCTA5 75702,
    Estimate,"28,270"
    Margin of Error,"±1,483"
ZCTA5 75703,
    Estimate,"40,868"
    Margin of Error,"±1,528"
ZCTA5 75704,
    Estimate,"9,974"
    Margin of Error,±957
ZCTA5 75705,
    Estimate,"2,591"
    Margin of Error,±697
ZCTA5 75706,
    Estimate,"9,793"
    Margin of Error,"±1,469"
ZCTA5 75707,
    Estimate,"14,565"
    Margin of Error,"±1,344"
ZCTA5 75708,
    Estimate,"7,709"
    Margin of Error,"±1,209"
ZCTA5 75709,
    Estimate,"5,046"
    Margin of Error,±693
ZCTA5 75750,
    Estimate,"3,695"
    Margin of Error,±693
ZCTA5 75751,
    Estimate,"16,715"
    Margin of Error,±733
ZCTA5 75752,
    Estimate,"7,445"
    Margin of Error,±840
ZCTA5 75754,
    Estimate,"6,506"
    Margin of Error,±810
ZCTA5 75755,
    Estimate,"5,150"
    Margin of Error,±691
ZCTA5 75756,
    Estimate,"4,873"
    Margin of Error,±577
ZCTA5 75757,
    Estimate,"12,166"
    Margin of Error,"±1,127"
ZCTA5 75758,
    Estimate,"8,100"
    Margin of Error,±754
ZCTA5 75759,
    Estimate,39
    Margin of Error,±32
ZCTA5 75760,
    Estimate,"2,429"
    Margin of Error,±457
ZCTA5 75762,
    Estimate,"12,986"
    Margin of Error,"±1,271"
ZCTA5 75763,
    Estimate,"6,286"
    Margin of Error,±585
ZCTA5 75764,
    Estimate,234
    Margin of Error,±90
ZCTA5 75765,
    Estimate,"7,751"
    Margin of Error,±616
ZCTA5 75766,
    Estimate,"26,671"
    Margin of Error,±752
ZCTA5 75770,
    Estimate,"3,364"
    Margin of Error,±524
ZCTA5 75771,
    Estimate,"21,078"
    Margin of Error,"±1,331"
ZCTA5 75773,
    Estimate,"12,927"
    Margin of Error,±834
ZCTA5 75778,
    Estimate,"3,167"
    Margin of Error,±622
ZCTA5 75779,
    Estimate,160
    Margin of Error,±126
ZCTA5 75780,
    Estimate,226
    Margin of Error,±129
ZCTA5 75783,
    Estimate,"7,559"
    Margin of Error,±668
ZCTA5 75784,
    Estimate,829
    Margin of Error,±306
ZCTA5 75785,
    Estimate,"10,909"
    Margin of Error,±622
ZCTA5 75788,
    Estimate,102
    Margin of Error,±126
ZCTA5 75789,
    Estimate,"7,501"
    Margin of Error,±767
ZCTA5 75790,
    Estimate,"4,600"
    Margin of Error,±551
ZCTA5 75791,
    Estimate,"13,268"
    Margin of Error,±778
ZCTA5 75792,
    Estimate,"2,562"
    Margin of Error,±576
ZCTA5 75801,
    Estimate,"15,615"
    Margin of Error,"±1,057"
ZCTA5 75803,
    Estimate,"22,903"
    Margin of Error,"±1,087"
ZCTA5 75831,
    Estimate,"5,746"
    Margin of Error,±813
ZCTA5 75832,
    Estimate,124
    Margin of Error,±196
ZCTA5 75833,
    Estimate,"3,462"
    Margin of Error,±600
ZCTA5 75835,
    Estimate,"10,924"
    Margin of Error,±487
ZCTA5 75838,
    Estimate,638
    Margin of Error,±214
ZCTA5 75839,
    Estimate,"5,192"
    Margin of Error,±666
ZCTA5 75840,
    Estimate,"6,950"
    Margin of Error,±578
ZCTA5 75844,
    Estimate,"6,340"
    Margin of Error,±532
ZCTA5 75845,
    Estimate,"3,208"
    Margin of Error,±374
ZCTA5 75846,
    Estimate,"2,875"
    Margin of Error,±582
ZCTA5 75847,
    Estimate,"1,783"
    Margin of Error,±326
ZCTA5 75848,
    Estimate,108
    Margin of Error,±63
ZCTA5 75849,
    Estimate,85
    Margin of Error,±51
ZCTA5 75850,
    Estimate,959
    Margin of Error,±430
ZCTA5 75851,
    Estimate,"4,834"
    Margin of Error,±408
ZCTA5 75852,
    Estimate,"4,889"
    Margin of Error,±289
ZCTA5 75853,
    Estimate,809
    Margin of Error,±234
ZCTA5 75855,
    Estimate,"2,463"
    Margin of Error,±436
ZCTA5 75856,
    Estimate,121
    Margin of Error,±124
ZCTA5 75858,
    Estimate,14
    Margin of Error,±19
ZCTA5 75859,
    Estimate,"1,657"
    Margin of Error,±342
ZCTA5 75860,
    Estimate,"6,415"
    Margin of Error,±363
ZCTA5 75861,
    Estimate,"8,780"
    Margin of Error,±602
ZCTA5 75862,
    Estimate,"9,863"
    Margin of Error,±491
ZCTA5 75901,
    Estimate,"31,647"
    Margin of Error,"±1,172"
ZCTA5 75904,
    Estimate,"33,820"
    Margin of Error,"±1,098"
ZCTA5 75925,
    Estimate,"4,099"
    Margin of Error,±426
ZCTA5 75926,
    Estimate,"1,121"
    Margin of Error,±244
ZCTA5 75928,
    Estimate,726
    Margin of Error,±320
ZCTA5 75929,
    Estimate,"1,860"
    Margin of Error,±326
ZCTA5 75930,
    Estimate,"1,909"
    Margin of Error,±364
ZCTA5 75931,
    Estimate,"2,189"
    Margin of Error,±462
ZCTA5 75932,
    Estimate,"1,833"
    Margin of Error,±387
ZCTA5 75933,
    Estimate,"1,139"
    Margin of Error,±380
ZCTA5 75934,
    Estimate,138
    Margin of Error,±100
ZCTA5 75935,
    Estimate,"13,955"
    Margin of Error,±595
ZCTA5 75936,
    Estimate,842
    Margin of Error,±230
ZCTA5 75937,
    Estimate,987
    Margin of Error,±234
ZCTA5 75938,
    Estimate,"2,686"
    Margin of Error,±419
ZCTA5 75939,
    Estimate,"4,939"
    Margin of Error,±492
ZCTA5 75941,
    Estimate,"8,974"
    Margin of Error,±529
ZCTA5 75942,
    Estimate,198
    Margin of Error,±133
ZCTA5 75943,
    Estimate,"1,349"
    Margin of Error,±297
ZCTA5 75944,
    Estimate,"1,409"
    Margin of Error,±239
ZCTA5 75946,
    Estimate,"3,209"
    Margin of Error,±304
ZCTA5 75948,
    Estimate,"6,037"
    Margin of Error,±476
ZCTA5 75949,
    Estimate,"7,376"
    Margin of Error,±743
ZCTA5 75951,
    Estimate,"16,072"
    Margin of Error,±787
ZCTA5 75954,
    Estimate,"3,079"
    Margin of Error,±473
ZCTA5 75956,
    Estimate,"8,533"
    Margin of Error,±906
ZCTA5 75959,
    Estimate,742
    Margin of Error,±284
ZCTA5 75960,
    Estimate,857
    Margin of Error,±302
ZCTA5 75961,
    Estimate,"15,484"
    Margin of Error,"±1,025"
ZCTA5 75962,
    Estimate,"3,204"
    Margin of Error,±367
ZCTA5 75964,
    Estimate,"19,086"
    Margin of Error,±982
ZCTA5 75965,
    Estimate,"18,811"
    Margin of Error,±976
ZCTA5 75966,
    Estimate,"5,287"
    Margin of Error,±594
ZCTA5 75968,
    Estimate,"1,883"
    Margin of Error,±356
ZCTA5 75969,
    Estimate,"3,726"
    Margin of Error,±559
ZCTA5 75972,
    Estimate,"6,040"
    Margin of Error,±357
ZCTA5 75973,
    Estimate,"2,470"
    Margin of Error,±350
ZCTA5 75974,
    Estimate,"3,245"
    Margin of Error,±437
ZCTA5 75975,
    Estimate,"3,727"
    Margin of Error,±527
ZCTA5 75976,
    Estimate,806
    Margin of Error,±187
ZCTA5 75977,
    Estimate,471
    Margin of Error,±210
ZCTA5 75978,
    Estimate,145
    Margin of Error,±96
ZCTA5 75979,
    Estimate,"12,384"
    Margin of Error,±824
ZCTA5 75980,
    Estimate,"2,500"
    Margin of Error,±355
ZCTA5 76001,
    Estimate,"31,829"
    Margin of Error,"±1,349"
ZCTA5 76002,
    Estimate,"36,569"
    Margin of Error,"±2,595"
ZCTA5 76006,
    Estimate,"23,259"
    Margin of Error,"±1,154"
ZCTA5 76008,
    Estimate,"16,334"
