Label (Grouping),Total
ZCTA5 73949,
    Estimate,"1,434"
    Margin of Error,±219
ZCTA5 75001,
    Estimate,"14,617"
    Margin of Error,±291
ZCTA5 75002,
    Estimate,"69,688"
    Margin of Error,"±1,186"
ZCTA5 75006,
    Estimate,"50,788"
    Margin of Error,±474
ZCTA5 75007,
    Estimate,"53,744"
    Margin of Error,"±1,333"
ZCTA5 75009,
    Estimate,"10,557"
    Margin of Error,±774
ZCTA5 75010,
    Estimate,"27,822"
    Margin of Error,"±1,099"
ZCTA5 75013,
    Estimate,"38,975"
    Margin of Error,"±1,118"
ZCTA5 75019,
    Estimate,"41,947"
    Margin of Error,±365
ZCTA5 75020,
    Estimate,"21,891"
    Margin of Error,±491
ZCTA5 75021,
    Estimate,"8,704"
    Margin of Error,±683
ZCTA5 75022,
    Estimate,"24,625"
    Margin of Error,±602
ZCTA5 75023,
    Estimate,"49,563"
    Margin of Error,"±1,099"
ZCTA5 75024,
    Estimate,"42,405"
    Margin of Error,±903
ZCTA5 75025,
    Estimate,"53,559"
    Margin of Error,"±1,078"
ZCTA5 75028,
    Estimate,"47,056"
    Margin of Error,±628
ZCTA5 75032,
    Estimate,"31,399"
    Margin of Error,"±1,019"
ZCTA5 75034,
    Estimate,"95,996"
    Margin of Error,"±1,400"
ZCTA5 75035,
    Estimate,"65,264"
    Margin of Error,"±1,097"
ZCTA5 75038,
    Estimate,"29,762"
    Margin of Error,"±1,074"
ZCTA5 75039,
    Estimate,"18,010"
    Margin of Error,±973
ZCTA5 75040,
    Estimate,"62,277"
    Margin of Error,"±1,429"
ZCTA5 75041,
    Estimate,"33,304"
    Margin of Error,"±1,057"
ZCTA5 75042,
    Estimate,"39,559"
    Margin of Error,"±1,468"
ZCTA5 75043,
    Estimate,"59,951"
    Margin of Error,"±1,515"
ZCTA5 75044,
    Estimate,"40,942"
    Margin of Error,"±1,254"
ZCTA5 75048,
    Estimate,"24,203"
    Margin of Error,±101
ZCTA5 75050,
    Estimate,"42,670"
    Margin of Error,"±1,340"
ZCTA5 75051,
    Estimate,"40,962"
    Margin of Error,"±1,429"
ZCTA5 75052,
    Estimate,"94,133"
    Margin of Error,"±1,901"
ZCTA5 75054,
    Estimate,"10,764"
    Margin of Error,±911
ZCTA5 75056,
    Estimate,"57,115"
    Margin of Error,"±1,166"
ZCTA5 75057,
    Estimate,"14,562"
    Margin of Error,±670
ZCTA5 75058,
    Estimate,"2,697"
    Margin of Error,±311
ZCTA5 75060,
    Estimate,"47,922"
    Margin of Error,"±1,306"
ZCTA5 75061,
    Estimate,"54,907"
    Margin of Error,"±1,306"
ZCTA5 75062,
    Estimate,"48,553"
    Margin of Error,"±1,654"
ZCTA5 75063,
    Estimate,"38,383"
