"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"860Z200US73949","ZCTA5 73949","1463","291",
"860Z200US73960","ZCTA5 73960","7","8",
"860Z200US75001","ZCTA5 75001","16633","139",
"860Z200US75002","ZCTA5 75002","72679","2053",
"860Z200US75006","ZCTA5 75006","48062","587",
"860Z200US75007","ZCTA5 75007","54498","1394",
"860Z200US75009","ZCTA5 75009","28109","2139",
"860Z200US75010","ZCTA5 75010","31609","1224",
"860Z200US75013","ZCTA5 75013","46649","2009",
"860Z200US75019","ZCTA5 75019","44706","528",
"860Z200US75020","ZCTA5 75020","24486","1176",
"860Z200US75021","ZCTA5 75021","8925","1146",
"860Z200US75022","ZCTA5 75022","27000","2026",
"860Z200US75023","ZCTA5 75023","49376","2414",
"860Z200US75024","ZCTA5 75024","43520","1767",
"860Z200US75025","ZCTA5 75025","54201","2185",
"860Z200US75028","ZCTA5 75028","47751","1617",
"860Z200US75032","ZCTA5 75032","36514","1616",
"860Z200US75033","ZCTA5 75033","47416","2136",
"860Z200US75034","ZCTA5 75034","48749","2139",
"860Z200US75035","ZCTA5 75035","83930","1906",
"860Z200US75036","ZCTA5 75036","31792","1707",
"860Z200US75038","ZCTA5 75038","32559","2364",
"860Z200US75039","ZCTA5 75039","21795","1149",
"860Z200US75040","ZCTA5 75040","63143","2720",
"860Z200US75041","ZCTA5 75041","31344","2166",
"860Z200US75042","ZCTA5 75042","37925","1997",
"860Z200US75043","ZCTA5 75043","64296","3638",
"860Z200US75044","ZCTA5 75044","47010","3207",
"860Z200US75048","ZCTA5 75048","28210","347",
"860Z200US75050","ZCTA5 75050","43856","1902",
"860Z200US75051","ZCTA5 75051","40166","2230",
"860Z200US75052","ZCTA5 75052","94636","3261",
"860Z200US75054","ZCTA5 75054","17261","1946",
"860Z200US75056","ZCTA5 75056","65785","1476",
"860Z200US75057","ZCTA5 75057","17280","1442",
"860Z200US75058","ZCTA5 75058","3801","651",
"860Z200US75060","ZCTA5 75060","48997","3114",
"860Z200US75061","ZCTA5 75061","56319","2382",
"860Z200US75062","ZCTA5 75062","52772","2973",
"860Z200US75063","ZCTA5 75063","44570","2161",
"860Z200US75065","ZCTA5 75065","12787","172",
"860Z200US75067","ZCTA5 75067","67117","2053",
"860Z200US75068","ZCTA5 75068","68074","2614",
"860Z200US75069","ZCTA5 75069","39048","1668",
"860Z200US75070","ZCTA5 75070","57516","2295",
"860Z200US75071","ZCTA5 75071","66298","2459",
"860Z200US75072","ZCTA5 75072","55304","2693",
"860Z200US75074","ZCTA5 75074","51443","2340",
"860Z200US75075","ZCTA5 75075","37032","1966",
"860Z200US75076","ZCTA5 75076","8536","946",
"860Z200US75077","ZCTA5 75077","39853","1626",
"860Z200US75078","ZCTA5 75078","40513","1573",
"860Z200US75080","ZCTA5 75080","52184","1831",
"860Z200US75081","ZCTA5 75081","36493","1739",
"860Z200US75082","ZCTA5 75082","29386","930",
"860Z200US75087","ZCTA5 75087","40201","1992",
"860Z200US75088","ZCTA5 75088","27143","1542",
"860Z200US75089","ZCTA5 75089","34974","1551",
"860Z200US75090","ZCTA5 75090","25788","1798",
"860Z200US75092","ZCTA5 75092","26588","1420",
"860Z200US75093","ZCTA5 75093","47069","2380",
"860Z200US75094","ZCTA5 75094","23370","685",
"860Z200US75098","ZCTA5 75098","65655","1174",
"860Z200US75101","ZCTA5 75101","668","195",
"860Z200US75102","ZCTA5 75102","1877","735",
"860Z200US75103","ZCTA5 75103","16372","1405",
"860Z200US75104","ZCTA5 75104","49291","332",
"860Z200US75105","ZCTA5 75105","154","117",
"860Z200US75109","ZCTA5 75109","4466","643",
"860Z200US75110","ZCTA5 75110","31008","969",
"860Z200US75114","ZCTA5 75114","7123","920",
"860Z200US75115","ZCTA5 75115","56012","162",
"860Z200US75116","ZCTA5 75116","20145","1371",
"860Z200US75117","ZCTA5 75117","4576","942",
"860Z200US75119","ZCTA5 75119","29509","999",
"860Z200US75124","ZCTA5 75124","5822","956",
"860Z200US75125","ZCTA5 75125","6920","1359",
"860Z200US75126","ZCTA5 75126","67852","2039",
"860Z200US75127","ZCTA5 75127","1781","534",
"860Z200US75132","ZCTA5 75132","0","15",
"860Z200US75134","ZCTA5 75134","20179","1619",
"860Z200US75135","ZCTA5 75135","8515","973",
"860Z200US75137","ZCTA5 75137","20013","1379",
"860Z200US75140","ZCTA5 75140","7933","757",
"860Z200US75141","ZCTA5 75141","4510","543",
"860Z200US75142","ZCTA5 75142","22756","1651",
"860Z200US75143","ZCTA5 75143","14584","1184",
"860Z200US75144","ZCTA5 75144","3883","516",
"860Z200US75146","ZCTA5 75146","24089","1722",
"860Z200US75147","ZCTA5 75147","8239","918",
"860Z200US75148","ZCTA5 75148","6143","788",
"860Z200US75149","ZCTA5 75149","59371","2599",
"860Z200US75150","ZCTA5 75150","63895","2902",
"860Z200US75152","ZCTA5 75152","5859","774",
"860Z200US75153","ZCTA5 75153","568","316",
"860Z200US75154","ZCTA5 75154","48510","1361",
"860Z200US75155","ZCTA5 75155","3142","434",
"860Z200US75156","ZCTA5 75156","16262","931",
"860Z200US75157","ZCTA5 75157","216","91",
"860Z200US75158","ZCTA5 75158","6202","834",
"860Z200US75159","ZCTA5 75159","22751","805",
"860Z200US75160","ZCTA5 75160","25964","1095",
"860Z200US75161","ZCTA5 75161","6468","1051",
"860Z200US75163","ZCTA5 75163","2540","418",
"860Z200US75164","ZCTA5 75164","430","215",
"860Z200US75165","ZCTA5 75165","48970","1250",
"860Z200US75166","ZCTA5 75166","5762","289",
"860Z200US75167","ZCTA5 75167","13421","1344",
"860Z200US75169","ZCTA5 75169","15361","1056",
"860Z200US75172","ZCTA5 75172","5378","197",
"860Z200US75173","ZCTA5 75173","9296","1213",
"860Z200US75180","ZCTA5 75180","27050","202",
"860Z200US75181","ZCTA5 75181","27980","2744",
"860Z200US75182","ZCTA5 75182","7873","21",
"860Z200US75189","ZCTA5 75189","38261","2068",
"860Z200US75201","ZCTA5 75201","17985","1110",
"860Z200US75202","ZCTA5 75202","2421","305",
"860Z200US75203","ZCTA5 75203","16265","2335",
"860Z200US75204","ZCTA5 75204","31627","2182",
"860Z200US75205","ZCTA5 75205","25212","1033",
"860Z200US75206","ZCTA5 75206","38432","1901",
"860Z200US75207","ZCTA5 75207","8029","392",
"860Z200US75208","ZCTA5 75208","29992","1752",
"860Z200US75209","ZCTA5 75209","14208","1167",
"860Z200US75210","ZCTA5 75210","8750","2192",
"860Z200US75211","ZCTA5 75211","73948","2988",
"860Z200US75212","ZCTA5 75212","27045","2362",
"860Z200US75214","ZCTA5 75214","34015","1888",
"860Z200US75215","ZCTA5 75215","18950","1506",
"860Z200US75216","ZCTA5 75216","55085","3226",
"860Z200US75217","ZCTA5 75217","87154","3376",
"860Z200US75218","ZCTA5 75218","21393","1486",
"860Z200US75219","ZCTA5 75219","24797","1602",
"860Z200US75220","ZCTA5 75220","40327","2636",
"860Z200US75223","ZCTA5 75223","13174","1542",
"860Z200US75224","ZCTA5 75224","35903","2405",
"860Z200US75225","ZCTA5 75225","21965","1060",
"860Z200US75226","ZCTA5 75226","5108","688",
"860Z200US75227","ZCTA5 75227","58315","3374",
"860Z200US75228","ZCTA5 75228","68472","3933",
"860Z200US75229","ZCTA5 75229","32885","1881",
"860Z200US75230","ZCTA5 75230","26503","1522",
"860Z200US75231","ZCTA5 75231","39158","2576",
"860Z200US75232","ZCTA5 75232","33333","2130",
"860Z200US75233","ZCTA5 75233","15876","1957",
"860Z200US75234","ZCTA5 75234","33838","915",
"860Z200US75235","ZCTA5 75235","18936","1767",
"860Z200US75236","ZCTA5 75236","18249","1549",
"860Z200US75237","ZCTA5 75237","19530","1774",
"860Z200US75238","ZCTA5 75238","32180","1826",
"860Z200US75240","ZCTA5 75240","26058","1432",
"860Z200US75241","ZCTA5 75241","33081","2189",
"860Z200US75243","ZCTA5 75243","63047","3202",
"860Z200US75244","ZCTA5 75244","12734","1077",
"860Z200US75246","ZCTA5 75246","2265","399",
"860Z200US75247","ZCTA5 75247","992","158",
"860Z200US75248","ZCTA5 75248","37282","1845",
"860Z200US75249","ZCTA5 75249","17853","2917",
"860Z200US75251","ZCTA5 75251","3801","904",
"860Z200US75252","ZCTA5 75252","27541","1155",
"860Z200US75253","ZCTA5 75253","24411","2964",
"860Z200US75254","ZCTA5 75254","24316","2363",
"860Z200US75261","ZCTA5 75261","0","15",
"860Z200US75270","ZCTA5 75270","0","15",
"860Z200US75287","ZCTA5 75287","52240","1256",
"860Z200US75390","ZCTA5 75390","0","15",
"860Z200US75401","ZCTA5 75401","21000","1532",
"860Z200US75402","ZCTA5 75402","20299","1383",
"860Z200US75407","ZCTA5 75407","26607","1131",
"860Z200US75409","ZCTA5 75409","22249","928",
"860Z200US75410","ZCTA5 75410","4196","561",
"860Z200US75411","ZCTA5 75411","875","335",
"860Z200US75412","ZCTA5 75412","512","214",
"860Z200US75413","ZCTA5 75413","187","93",
"860Z200US75414","ZCTA5 75414","3284","602",
"860Z200US75415","ZCTA5 75415","302","166",
"860Z200US75416","ZCTA5 75416","2865","476",
"860Z200US75417","ZCTA5 75417","2357","280",
"860Z200US75418","ZCTA5 75418","14473","514",
"860Z200US75420","ZCTA5 75420","1364","348",
