"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US73949","ZCTA5 73949","1523","209",
"8600000US75001","ZCTA5 75001","15000","171",
"8600000US75002","ZCTA5 75002","70597","1343",
"8600000US75006","ZCTA5 75006","51136","489",
"8600000US75007","ZCTA5 75007","54701","1348",
"8600000US75009","ZCTA5 75009","11941","1410",
"8600000US75010","ZCTA5 75010","28974","1219",
"8600000US75013","ZCTA5 75013","40675","1262",
"8600000US75019","ZCTA5 75019","42597","450",
"8600000US75020","ZCTA5 75020","22487","662",
"8600000US75021","ZCTA5 75021","8950","715",
"8600000US75022","ZCTA5 75022","25640","708",
"8600000US75023","ZCTA5 75023","50061","1272",
"8600000US75024","ZCTA5 75024","42876","896",
"8600000US75025","ZCTA5 75025","53688","1082",
"8600000US75028","ZCTA5 75028","46782","788",
"8600000US75032","ZCTA5 75032","32317","970",
"8600000US75034","ZCTA5 75034","102646","1721",
"8600000US75035","ZCTA5 75035","69802","1153",
"8600000US75038","ZCTA5 75038","30153","1323",
"8600000US75039","ZCTA5 75039","19297","950",
"8600000US75040","ZCTA5 75040","63153","1572",
"8600000US75041","ZCTA5 75041","32257","1198",
"8600000US75042","ZCTA5 75042","39178","1429",
"8600000US75043","ZCTA5 75043","61440","1556",
"8600000US75044","ZCTA5 75044","41901","1198",
"8600000US75048","ZCTA5 75048","25034","89",
"8600000US75050","ZCTA5 75050","42916","1532",
"8600000US75051","ZCTA5 75051","41479","1475",
"8600000US75052","ZCTA5 75052","95516","1986",
"8600000US75054","ZCTA5 75054","10635","974",
"8600000US75056","ZCTA5 75056","59211","1270",
"8600000US75057","ZCTA5 75057","14111","778",
"8600000US75058","ZCTA5 75058","2564","309",
"8600000US75060","ZCTA5 75060","48664","1272",
"8600000US75061","ZCTA5 75061","54862","1450",
"8600000US75062","ZCTA5 75062","48629","1383",
"8600000US75063","ZCTA5 75063","38952","1081",
"8600000US75065","ZCTA5 75065","12389","444",
"8600000US75067","ZCTA5 75067","67487","1134",
"8600000US75068","ZCTA5 75068","61043","1397",
"8600000US75069","ZCTA5 75069","37834","1219",
"8600000US75070","ZCTA5 75070","98219","1459",
"8600000US75071","ZCTA5 75071","52939","1536",
"8600000US75074","ZCTA5 75074","51147","1591",
"8600000US75075","ZCTA5 75075","36917","868",
"8600000US75076","ZCTA5 75076","7847","694",
"8600000US75077","ZCTA5 75077","37080","861",
"8600000US75078","ZCTA5 75078","23580","834",
"8600000US75080","ZCTA5 75080","51710","1500",
"8600000US75081","ZCTA5 75081","39309","1124",
"8600000US75082","ZCTA5 75082","23579","965",
"8600000US75087","ZCTA5 75087","33638","1039",
"8600000US75088","ZCTA5 75088","26234","899",
"8600000US75089","ZCTA5 75089","34374","825",
"8600000US75090","ZCTA5 75090","24580","1115",
"8600000US75092","ZCTA5 75092","24575","1218",
"8600000US75093","ZCTA5 75093","47411","995",
"8600000US75094","ZCTA5 75094","23370","424",
"8600000US75098","ZCTA5 75098","56764","1337",
"8600000US75101","ZCTA5 75101","615","151",
"8600000US75102","ZCTA5 75102","1177","388",
"8600000US75103","ZCTA5 75103","14458","970",
"8600000US75104","ZCTA5 75104","49341","360",
"8600000US75105","ZCTA5 75105","190","118",
"8600000US75109","ZCTA5 75109","4555","392",
"8600000US75110","ZCTA5 75110","29213","616",
"8600000US75114","ZCTA5 75114","6392","704",
"8600000US75115","ZCTA5 75115","52833","110",
"8600000US75116","ZCTA5 75116","20044","736",
"8600000US75117","ZCTA5 75117","3776","399",
"8600000US75119","ZCTA5 75119","28319","651",
"8600000US75124","ZCTA5 75124","4003","465",
"8600000US75125","ZCTA5 75125","6333","674",
"8600000US75126","ZCTA5 75126","44740","1178",
"8600000US75127","ZCTA5 75127","1740","276",
"8600000US75132","ZCTA5 75132","1705","568",
"8600000US75134","ZCTA5 75134","22337","854",
"8600000US75135","ZCTA5 75135","7725","655",
"8600000US75137","ZCTA5 75137","19586","745",
"8600000US75140","ZCTA5 75140","7290","568",
"8600000US75141","ZCTA5 75141","5880","192",
"8600000US75142","ZCTA5 75142","19059","1015",
"8600000US75143","ZCTA5 75143","14304","1095",
"8600000US75144","ZCTA5 75144","3265","347",
"8600000US75146","ZCTA5 75146","18986","885",
"8600000US75147","ZCTA5 75147","7052","861",
"8600000US75148","ZCTA5 75148","6060","478",
"8600000US75149","ZCTA5 75149","54979","1496",
"8600000US75150","ZCTA5 75150","62452","1566",
"8600000US75152","ZCTA5 75152","5097","663",
"8600000US75153","ZCTA5 75153","397","147",
"8600000US75154","ZCTA5 75154","39949","1056",
"8600000US75155","ZCTA5 75155","2815","369",
"8600000US75156","ZCTA5 75156","16108","820",
"8600000US75157","ZCTA5 75157","240","90",
"8600000US75158","ZCTA5 75158","3859","506",
"8600000US75159","ZCTA5 75159","19469","592",
"8600000US75160","ZCTA5 75160","25317","744",
"8600000US75161","ZCTA5 75161","7005","898",
"8600000US75163","ZCTA5 75163","2851","537",
"8600000US75164","ZCTA5 75164","643","161",
"8600000US75165","ZCTA5 75165","43498","966",
"8600000US75166","ZCTA5 75166","4297","230",
"8600000US75167","ZCTA5 75167","11662","989",
"8600000US75169","ZCTA5 75169","13793","899",
"8600000US75172","ZCTA5 75172","4294","84",
"8600000US75173","ZCTA5 75173","4131","509",
"8600000US75180","ZCTA5 75180","23711","644",
"8600000US75181","ZCTA5 75181","28882","1219",
