"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US73949","ZCTA5 73949","1635","209",
"8600000US75001","ZCTA5 75001","14992","219",
"8600000US75002","ZCTA5 75002","71253","1424",
"8600000US75006","ZCTA5 75006","51642","547",
"8600000US75007","ZCTA5 75007","55500","1303",
"8600000US75009","ZCTA5 75009","14089","1262",
"8600000US75010","ZCTA5 75010","30406","1219",
"8600000US75013","ZCTA5 75013","42629","1426",
"8600000US75019","ZCTA5 75019","42888","471",
"8600000US75020","ZCTA5 75020","23232","676",
"8600000US75021","ZCTA5 75021","8847","685",
"8600000US75022","ZCTA5 75022","27201","1835",
"8600000US75023","ZCTA5 75023","50431","1092",
"8600000US75024","ZCTA5 75024","43551","1292",
"8600000US75025","ZCTA5 75025","53764","993",
"8600000US75028","ZCTA5 75028","47804","910",
"8600000US75032","ZCTA5 75032","33080","998",
"8600000US75034","ZCTA5 75034","108525","1568",
"8600000US75035","ZCTA5 75035","75485","1372",
"8600000US75038","ZCTA5 75038","29990","1377",
"8600000US75039","ZCTA5 75039","20108","1069",
"8600000US75040","ZCTA5 75040","62417","1399",
"8600000US75041","ZCTA5 75041","30880","1306",
"8600000US75042","ZCTA5 75042","39183","1371",
"8600000US75043","ZCTA5 75043","62601","1705",
"8600000US75044","ZCTA5 75044","43292","1279",
"8600000US75048","ZCTA5 75048","25598","184",
"8600000US75050","ZCTA5 75050","43174","1612",
"8600000US75051","ZCTA5 75051","40923","1381",
"8600000US75052","ZCTA5 75052","95495","1999",
"8600000US75054","ZCTA5 75054","11927","1007",
"8600000US75056","ZCTA5 75056","60554","1134",
"8600000US75057","ZCTA5 75057","14960","666",
"8600000US75058","ZCTA5 75058","2666","416",
"8600000US75060","ZCTA5 75060","47764","1529",
"8600000US75061","ZCTA5 75061","54520","1412",
"8600000US75062","ZCTA5 75062","49306","1511",
"8600000US75063","ZCTA5 75063","40048","1223",
"8600000US75065","ZCTA5 75065","12640","474",
"8600000US75067","ZCTA5 75067","68196","1455",
"8600000US75068","ZCTA5 75068","65991","1494",
"8600000US75069","ZCTA5 75069","37892","1299",
"8600000US75070","ZCTA5 75070","104415","1386",
"8600000US75071","ZCTA5 75071","55570","1514",
"8600000US75074","ZCTA5 75074","52259","1979",
"8600000US75075","ZCTA5 75075","38283","1061",
"8600000US75076","ZCTA5 75076","8156","714",
"8600000US75077","ZCTA5 75077","37102","1187",
"8600000US75078","ZCTA5 75078","28803","984",
