Label (Grouping),Total
    Estimate,"52,916"
    Margin of Error,±99
ZCTA5 75116,
    Estimate,"19,867"
    Margin of Error,±765
ZCTA5 75117,
    Estimate,"3,984"
    Margin of Error,±441
ZCTA5 75119,
    Estimate,"28,598"
    Margin of Error,±761
ZCTA5 75124,
    Estimate,"4,255"
    Margin of Error,±508
ZCTA5 75125,
    Estimate,"6,326"
    Margin of Error,±730
ZCTA5 75126,
    Estimate,"48,987"
    Margin of Error,"±1,176"
ZCTA5 75127,
    Estimate,"1,705"
    Margin of Error,±341
ZCTA5 75132,
    Estimate,"1,559"
    Margin of Error,±403
ZCTA5 75134,
    Estimate,"21,879"
    Margin of Error,±970
ZCTA5 75135,
    Estimate,"7,363"
    Margin of Error,±730
ZCTA5 75137,
    Estimate,"19,548"
    Margin of Error,±758
ZCTA5 75140,
    Estimate,"7,595"
    Margin of Error,±663
ZCTA5 75141,
    Estimate,"5,782"
    Margin of Error,±252
ZCTA5 75142,
    Estimate,"19,261"
    Margin of Error,"±1,157"
ZCTA5 75143,
    Estimate,"14,510"
    Margin of Error,"±1,070"
ZCTA5 75144,
    Estimate,"3,668"
    Margin of Error,±379
ZCTA5 75146,
    Estimate,"19,701"
    Margin of Error,"±1,070"
ZCTA5 75147,
    Estimate,"6,636"
    Margin of Error,±696
ZCTA5 75148,
    Estimate,"5,961"
    Margin of Error,±597
ZCTA5 75149,
    Estimate,"56,473"
    Margin of Error,"±1,482"
ZCTA5 75150,
    Estimate,"60,671"
    Margin of Error,"±1,387"
ZCTA5 75152,
    Estimate,"5,195"
    Margin of Error,±732
ZCTA5 75153,
    Estimate,441
    Margin of Error,±203
ZCTA5 75154,
    Estimate,"40,947"
    Margin of Error,"±1,148"
ZCTA5 75155,
    Estimate,"3,233"
    Margin of Error,±514
ZCTA5 75156,
    Estimate,"16,578"
    Margin of Error,±977
ZCTA5 75157,
    Estimate,261
    Margin of Error,±100
ZCTA5 75158,
    Estimate,"4,191"
    Margin of Error,±458
ZCTA5 75159,
    Estimate,"20,098"
    Margin of Error,±579
ZCTA5 75160,
    Estimate,"25,525"
    Margin of Error,±914
ZCTA5 75161,
    Estimate,"6,529"
    Margin of Error,±747
ZCTA5 75163,
    Estimate,"2,716"
    Margin of Error,±551
ZCTA5 75164,
    Estimate,633
    Margin of Error,±158
ZCTA5 75165,
    Estimate,"45,059"
    Margin of Error,"±1,181"
ZCTA5 75166,
    Estimate,"4,395"
    Margin of Error,±206
ZCTA5 75167,
    Estimate,"12,170"
    Margin of Error,±966
ZCTA5 75169,
    Estimate,"14,142"
    Margin of Error,±974
ZCTA5 75172,
    Estimate,"4,619"
    Margin of Error,±142
ZCTA5 75173,
    Estimate,"4,409"
    Margin of Error,±574
ZCTA5 75180,
    Estimate,"23,941"
    Margin of Error,±651
ZCTA5 75181,
    Estimate,"28,263"
    Margin of Error,"±1,360"
ZCTA5 75182,
    Estimate,"6,325"
    Margin of Error,±153
ZCTA5 75189,
    Estimate,"29,135"
    Margin of Error,"±1,045"
ZCTA5 75201,
    Estimate,"17,476"
    Margin of Error,"±1,240"
ZCTA5 75202,
    Estimate,"2,312"
    Margin of Error,±386
ZCTA5 75203,
    Estimate,"17,367"
    Margin of Error,"±1,089"
ZCTA5 75204,
    Estimate,"30,537"
    Margin of Error,"±1,541"
ZCTA5 75205,
    Estimate,"24,877"
    Margin of Error,±645
ZCTA5 75206,
    Estimate,"39,010"
    Margin of Error,"±1,482"
ZCTA5 75207,
    Estimate,"7,702"
    Margin of Error,±549
ZCTA5 75208,
    Estimate,"29,706"
    Margin of Error,"±1,274"
ZCTA5 75209,
    Estimate,"14,308"
    Margin of Error,±999
ZCTA5 75210,
    Estimate,"8,673"
    Margin of Error,±873
ZCTA5 75211,
    Estimate,"77,570"
    Margin of Error,"±2,151"
ZCTA5 75212,
    Estimate,"26,720"
    Margin of Error,"±1,081"
ZCTA5 75214,
    Estimate,"34,824"
    Margin of Error,"±1,174"
ZCTA5 75215,
    Estimate,"17,818"
    Margin of Error,"±1,224"
ZCTA5 75216,
    Estimate,"53,327"
    Margin of Error,"±2,036"
ZCTA5 75217,
    Estimate,"89,163"
    Margin of Error,"±2,965"
ZCTA5 75218,
    Estimate,"22,529"
    Margin of Error,±952
ZCTA5 75219,
    Estimate,"25,120"
    Margin of Error,"±1,309"
ZCTA5 75220,
    Estimate,"42,009"
    Margin of Error,"±1,646"
ZCTA5 75223,
    Estimate,"14,941"
    Margin of Error,"±1,009"
ZCTA5 75224,
    Estimate,"37,592"
    Margin of Error,"±1,428"
ZCTA5 75225,
    Estimate,"21,736"
    Margin of Error,±756
ZCTA5 75226,
    Estimate,"4,579"
    Margin of Error,±586
ZCTA5 75227,
    Estimate,"59,924"
    Margin of Error,"±2,082"
ZCTA5 75228,
    Estimate,"73,976"
    Margin of Error,"±2,193"
ZCTA5 75229,
    Estimate,"32,322"
    Margin of Error,"±1,011"
ZCTA5 75230,
    Estimate,"27,489"
    Margin of Error,"±1,057"
ZCTA5 75231,
    Estimate,"40,371"
    Margin of Error,"±1,679"
ZCTA5 75232,
    Estimate,"31,453"
    Margin of Error,"±1,816"
ZCTA5 75233,
    Estimate,"17,280"
    Margin of Error,"±1,303"
ZCTA5 75234,
    Estimate,"37,160"
    Margin of Error,±739
ZCTA5 75235,
    Estimate,"18,429"
    Margin of Error,"±1,287"
ZCTA5 75236,
    Estimate,"18,137"
    Margin of Error,"±1,359"
ZCTA5 75237,
    Estimate,"21,423"
    Margin of Error,"±1,479"
ZCTA5 75238,
    Estimate,"33,049"
    Margin of Error,"±1,143"
ZCTA5 75240,
    Estimate,"28,534"
    Margin of Error,"±1,378"
ZCTA5 75241,
    Estimate,"31,562"
    Margin of Error,"±2,260"
ZCTA5 75243,
    Estimate,"68,308"
    Margin of Error,"±2,299"
ZCTA5 75244,
    Estimate,"13,254"
    Margin of Error,±796
ZCTA5 75246,
    Estimate,"2,760"
    Margin of Error,±515
ZCTA5 75247,
    Estimate,792
    Margin of Error,±280
ZCTA5 75248,
    Estimate,"37,373"
    Margin of Error,"±1,350"
ZCTA5 75249,
    Estimate,"17,649"
    Margin of Error,"±1,190"
ZCTA5 75251,
    Estimate,"2,861"
    Margin of Error,±483
ZCTA5 75252,
    Estimate,"26,867"
    Margin of Error,±820
ZCTA5 75253,
    Estimate,"23,900"
    Margin of Error,"±1,849"
ZCTA5 75254,
    Estimate,"26,929"
    Margin of Error,"±1,259"
ZCTA5 75270,
    Estimate,0
    Margin of Error,±14
ZCTA5 75287,
    Estimate,"55,673"
    Margin of Error,±782
ZCTA5 75390,
    Estimate,0
    Margin of Error,±14
ZCTA5 75401,
    Estimate,"19,146"
    Margin of Error,±825
ZCTA5 75402,
    Estimate,"18,087"
    Margin of Error,"±1,015"
ZCTA5 75407,
    Estimate,"17,978"
    Margin of Error,±969
ZCTA5 75409,
    Estimate,"16,349"
    Margin of Error,±752
ZCTA5 75410,
    Estimate,"4,954"
    Margin of Error,±687
ZCTA5 75411,
    Estimate,889
    Margin of Error,±297
ZCTA5 75412,
    Estimate,457
    Margin of Error,±199
ZCTA5 75413,
    Estimate,282
    Margin of Error,±110
ZCTA5 75414,
    Estimate,"3,416"
    Margin of Error,±460
ZCTA5 75415,
    Estimate,240
    Margin of Error,±129
ZCTA5 75416,
    Estimate,"3,070"
    Margin of Error,±596
ZCTA5 75417,
    Estimate,"2,688"
    Margin of Error,±310
ZCTA5 75418,
    Estimate,"14,571"
    Margin of Error,±522
ZCTA5 75420,
    Estimate,"1,052"
    Margin of Error,±347
ZCTA5 75421,
    Estimate,666
    Margin of Error,±358
ZCTA5 75422,
    Estimate,"3,088"
    Margin of Error,±434
ZCTA5 75423,
    Estimate,"3,110"
    Margin of Error,±440
ZCTA5 75424,
    Estimate,"3,024"
    Margin of Error,±425
ZCTA5 75426,
    Estimate,"4,393"
    Margin of Error,±259
ZCTA5 75428,
    Estimate,"11,371"
    Margin of Error,±426
ZCTA5 75431,
    Estimate,"2,122"
    Margin of Error,±444
ZCTA5 75432,
    Estimate,"3,504"
    Margin of Error,±242
ZCTA5 75433,
    Estimate,"2,808"
    Margin of Error,±319
ZCTA5 75435,
    Estimate,944
    Margin of Error,±211
ZCTA5 75436,
    Estimate,"2,480"
    Margin of Error,±328
ZCTA5 75437,
    Estimate,"1,377"
    Margin of Error,±254
ZCTA5 75438,
    Estimate,992
    Margin of Error,±193
ZCTA5 75439,
    Estimate,"1,035"
    Margin of Error,±139
ZCTA5 75440,
    Estimate,"6,258"
    Margin of Error,±607
ZCTA5 75441,
    Estimate,128
    Margin of Error,±66
ZCTA5 75442,
    Estimate,"9,308"
    Margin of Error,±852
ZCTA5 75446,
    Estimate,"3,178"
    Margin of Error,±386
ZCTA5 75447,
    Estimate,"1,256"
    Margin of Error,±267
ZCTA5 75448,
    Estimate,643
    Margin of Error,±218
ZCTA5 75449,
    Estimate,"1,374"
    Margin of Error,±264
ZCTA5 75450,
    Estimate,150
    Margin of Error,±103
ZCTA5 75451,
    Estimate,"1,163"
    Margin of Error,±317
ZCTA5 75452,
    Estimate,"4,650"
    Margin of Error,±373
ZCTA5 75453,
    Estimate,"3,046"
    Margin of Error,±550
ZCTA5 75454,
    Estimate,"10,467"
    Margin of Error,±256
ZCTA5 75455,
    Estimate,"28,354"
    Margin of Error,±604
ZCTA5 75457,
    Estimate,"6,501"
    Margin of Error,±455
ZCTA5 75459,
    Estimate,"5,156"
    Margin of Error,±640
ZCTA5 75460,
    Estimate,"23,504"
    Margin of Error,±618
ZCTA5 75462,
    Estimate,"11,641"
    Margin of Error,±871
ZCTA5 75468,
    Estimate,939
    Margin of Error,±276
ZCTA5 75469,
    Estimate,275
    Margin of Error,±100
ZCTA5 75470,
    Estimate,323
    Margin of Error,±209
ZCTA5 75471,
    Estimate,"1,531"
    Margin of Error,±388
ZCTA5 75472,
    Estimate,"4,087"
    Margin of Error,±525
ZCTA5 75473,
    Estimate,"3,688"
    Margin of Error,±478
ZCTA5 75474,
    Estimate,"15,017"
    Margin of Error,±838
ZCTA5 75475,
    Estimate,148
    Margin of Error,±77
ZCTA5 75476,
    Estimate,"1,056"
    Margin of Error,±196
ZCTA5 75477,
    Estimate,"1,183"
    Margin of Error,±322
ZCTA5 75478,
    Estimate,"1,120"
    Margin of Error,±266
ZCTA5 75479,
    Estimate,"1,786"
    Margin of Error,±168
ZCTA5 75480,
    Estimate,"1,587"
    Margin of Error,±416
ZCTA5 75481,
    Estimate,314
    Margin of Error,±81
ZCTA5 75482,
    Estimate,"24,984"
    Margin of Error,±588
ZCTA5 75486,
    Estimate,"2,291"
    Margin of Error,±446
ZCTA5 75487,
    Estimate,"2,106"
    Margin of Error,±428
ZCTA5 75488,
    Estimate,645
    Margin of Error,±172
ZCTA5 75489,
    Estimate,"1,032"
    Margin of Error,±217
ZCTA5 75490,
    Estimate,"2,493"
    Margin of Error,±309
ZCTA5 75491,
    Estimate,"5,064"
    Margin of Error,±538
ZCTA5 75492,
    Estimate,456
    Margin of Error,±142
ZCTA5 75493,
    Estimate,626
    Margin of Error,±203
ZCTA5 75494,
    Estimate,"9,940"
    Margin of Error,±669
ZCTA5 75495,
    Estimate,"8,729"
    Margin of Error,±873
ZCTA5 75496,
    Estimate,"3,739"
    Margin of Error,±535
ZCTA5 75497,
    Estimate,"3,907"
    Margin of Error,±582
ZCTA5 75501,
    Estimate,"36,094"
    Margin of Error,"±1,268"
ZCTA5 75503,
    Estimate,"25,517"
    Margin of Error,"±1,217"
ZCTA5 75550,
    Estimate,681
    Margin of Error,±190
ZCTA5 75551,
    Estimate,"11,251"
    Margin of Error,±907
ZCTA5 75554,
    Estimate,"2,131"
    Margin of Error,±428
ZCTA5 75555,
    Estimate,"1,579"
    Margin of Error,±348
ZCTA5 75556,
    Estimate,"1,214"
    Margin of Error,±403
ZCTA5 75558,
    Estimate,"1,582"
    Margin of Error,±472
ZCTA5 75559,
    Estimate,"5,122"
    Margin of Error,±460
ZCTA5 75560,
    Estimate,"1,002"
    Margin of Error,±252
ZCTA5 75561,
    Estimate,"4,939"
    Margin of Error,±388
ZCTA5 75562,
    Estimate,104
    Margin of Error,±99
ZCTA5 75563,
    Estimate,"4,528"
    Margin of Error,±501
ZCTA5 75565,
    Estimate,206
    Margin of Error,±113
ZCTA5 75566,
    Estimate,756
    Margin of Error,±245
ZCTA5 75567,
    Estimate,"4,824"
    Margin of Error,±740
ZCTA5 75568,
    Estimate,"2,238"
    Margin of Error,±352
ZCTA5 75569,
    Estimate,"3,464"
    Margin of Error,±15
ZCTA5 75570,
    Estimate,"11,071"
    Margin of Error,±670
ZCTA5 75571,
    Estimate,"3,134"
    Margin of Error,±484
ZCTA5 75572,
    Estimate,"3,896"
    Margin of Error,±614
ZCTA5 75573,
    Estimate,115
    Margin of Error,±96
ZCTA5 75574,
    Estimate,"1,659"
    Margin of Error,±250
ZCTA5 75601,
    Estimate,"15,719"
    Margin of Error,"±1,159"
ZCTA5 75602,
    Estimate,"21,655"
    Margin of Error,"±1,423"
ZCTA5 75603,
    Estimate,"6,100"
    Margin of Error,±796
ZCTA5 75604,
    Estimate,"31,027"
    Margin of Error,"±1,499"
ZCTA5 75605,
    Estimate,"30,501"
    Margin of Error,"±1,313"
ZCTA5 75630,
    Estimate,"2,370"
    Margin of Error,±419
ZCTA5 75631,
    Estimate,"3,248"
    Margin of Error,±335
ZCTA5 75633,
    Estimate,"13,161"
    Margin of Error,±624
ZCTA5 75638,
    Estimate,"5,505"
    Margin of Error,±560
ZCTA5 75639,
    Estimate,"2,926"
    Margin of Error,±680
ZCTA5 75640,
    Estimate,"4,859"
    Margin of Error,±719
ZCTA5 75641,
    Estimate,89
    Margin of Error,±56
ZCTA5 75642,
    Estimate,48
    Margin of Error,±47
ZCTA5 75643,
    Estimate,"2,253"
    Margin of Error,±361
ZCTA5 75644,
    Estimate,"13,427"
    Margin of Error,±825
ZCTA5 75645,
    Estimate,"10,797"
    Margin of Error,±986
ZCTA5 75647,
    Estimate,"13,712"
    Margin of Error,"±1,012"
ZCTA5 75650,
    Estimate,"9,837"
    Margin of Error,±802
ZCTA5 75651,
    Estimate,"2,100"
    Margin of Error,±489
ZCTA5 75652,
    Estimate,"16,223"
    Margin of Error,±856
ZCTA5 75654,
    Estimate,"12,664"
    Margin of Error,±906
ZCTA5 75656,
    Estimate,"4,331"
    Margin of Error,±571
ZCTA5 75657,
    Estimate,"7,261"
    Margin of Error,±443
ZCTA5 75661,
    Estimate,"3,094"
    Margin of Error,±931
ZCTA5 75662,
    Estimate,"24,976"
    Margin of Error,"±1,051"
ZCTA5 75667,
    Estimate,"1,193"
    Margin of Error,±276
ZCTA5 75668,
    Estimate,"2,371"
    Margin of Error,±488
ZCTA5 75669,
    Estimate,762
    Margin of Error,±237
ZCTA5 75670,
    Estimate,"17,539"
    Margin of Error,±876
ZCTA5 75672,
    Estimate,"16,351"
    Margin of Error,±996
ZCTA5 75681,
    Estimate,"2,128"
    Margin of Error,±297
ZCTA5 75682,
    Estimate,578
    Margin of Error,±230
ZCTA5 75683,
    Estimate,"3,709"
    Margin of Error,±652
ZCTA5 75684,
    Estimate,"7,894"
    Margin of Error,±941
ZCTA5 75686,
    Estimate,"13,184"
    Margin of Error,±440
ZCTA5 75691,
    Estimate,"4,320"
    Margin of Error,±647
ZCTA5 75692,
    Estimate,"4,414"
    Margin of Error,±590
ZCTA5 75693,
    Estimate,"7,076"
    Margin of Error,±352
ZCTA5 75701,
    Estimate,"35,858"
    Margin of Error,"±1,185"
ZCTA5 75702,
    Estimate,"27,698"
    Margin of Error,"±1,410"
ZCTA5 75703,
    Estimate,"42,777"
    Margin of Error,"±1,763"
ZCTA5 75704,
    Estimate,"10,199"
    Margin of Error,"±1,461"
ZCTA5 75705,
    Estimate,"2,762"
    Margin of Error,±680
ZCTA5 75706,
    Estimate,"10,449"
    Margin of Error,"±1,453"
ZCTA5 75707,
    Estimate,"14,232"
    Margin of Error,"±1,325"
ZCTA5 75708,
    Estimate,"7,698"
    Margin of Error,"±1,135"
ZCTA5 75709,
    Estimate,"4,731"
    Margin of Error,±766
ZCTA5 75750,
    Estimate,"3,766"
    Margin of Error,±690
ZCTA5 75751,
    Estimate,"17,084"
    Margin of Error,±766
ZCTA5 75752,
    Estimate,"6,998"
    Margin of Error,±728
ZCTA5 75754,
    Estimate,"6,627"
    Margin of Error,±832
ZCTA5 75755,
    Estimate,"5,178"
    Margin of Error,±673
ZCTA5 75756,
    Estimate,"4,450"
    Margin of Error,±588
ZCTA5 75757,
    Estimate,"12,802"
    Margin of Error,"±1,209"
ZCTA5 75758,
    Estimate,"8,739"
    Margin of Error,±808
ZCTA5 75759,
    Estimate,54
    Margin of Error,±39
ZCTA5 75760,
    Estimate,"2,066"
    Margin of Error,±411
ZCTA5 75762,
    Estimate,"12,412"
    Margin of Error,"±1,101"
ZCTA5 75763,
    Estimate,"6,247"
    Margin of Error,±659
ZCTA5 75764,
    Estimate,187
    Margin of Error,±73
ZCTA5 75765,
    Estimate,"7,157"
    Margin of Error,±475
ZCTA5 75766,
    Estimate,"26,925"
    Margin of Error,±839
ZCTA5 75770,
    Estimate,"2,925"
    Margin of Error,±499
ZCTA5 75771,
    Estimate,"21,310"
    Margin of Error,"±1,368"
ZCTA5 75773,
    Estimate,"14,523"
    Margin of Error,±797
ZCTA5 75778,
    Estimate,"2,947"
    Margin of Error,±528
ZCTA5 75779,
    Estimate,128
    Margin of Error,±126
ZCTA5 75780,
    Estimate,216
    Margin of Error,±130
ZCTA5 75783,
    Estimate,"7,942"
    Margin of Error,±709
ZCTA5 75784,
    Estimate,774
    Margin of Error,±178
ZCTA5 75785,
    Estimate,"11,357"
    Margin of Error,±614
ZCTA5 75788,
    Estimate,23
    Margin of Error,±36
ZCTA5 75789,
    Estimate,"7,806"
    Margin of Error,±792
ZCTA5 75790,
    Estimate,"3,864"
    Margin of Error,±344
ZCTA5 75791,
    Estimate,"13,562"
    Margin of Error,±847
ZCTA5 75792,
    Estimate,"3,002"
    Margin of Error,±871
ZCTA5 75801,
    Estimate,"16,244"
    Margin of Error,"±1,217"
ZCTA5 75803,
    Estimate,"21,928"
    Margin of Error,"±1,299"
ZCTA5 75831,
    Estimate,"5,529"
    Margin of Error,±693
ZCTA5 75832,
    Estimate,107
    Margin of Error,±177
ZCTA5 75833,
    Estimate,"2,944"
    Margin of Error,±462
ZCTA5 75835,
    Estimate,"11,086"
    Margin of Error,±428
ZCTA5 75838,
    Estimate,639
    Margin of Error,±259
ZCTA5 75839,
    Estimate,"5,927"
    Margin of Error,±823
ZCTA5 75840,
    Estimate,"6,340"
    Margin of Error,±544
ZCTA5 75844,
    Estimate,"5,968"
    Margin of Error,±481
ZCTA5 75845,
    Estimate,"2,926"
    Margin of Error,±379
ZCTA5 75846,
    Estimate,"2,957"
    Margin of Error,±623
ZCTA5 75847,
    Estimate,"1,843"
    Margin of Error,±308
ZCTA5 75848,
    Estimate,137
    Margin of Error,±75
ZCTA5 75849,
    Estimate,67
    Margin of Error,±32
ZCTA5 75850,
    Estimate,796
    Margin of Error,±335
ZCTA5 75851,
    Estimate,"4,954"
    Margin of Error,±389
ZCTA5 75852,
    Estimate,"4,017"
    Margin of Error,±435
ZCTA5 75853,
    Estimate,466
    Margin of Error,±156
ZCTA5 75855,
    Estimate,"3,078"
    Margin of Error,±508
ZCTA5 75856,
    Estimate,215
    Margin of Error,±168
ZCTA5 75858,
    Estimate,0
    Margin of Error,±14
ZCTA5 75859,
    Estimate,"2,134"
    Margin of Error,±419
ZCTA5 75860,
    Estimate,"6,516"
    Margin of Error,±393
ZCTA5 75861,
    Estimate,"9,126"
    Margin of Error,±633
ZCTA5 75862,
    Estimate,"10,176"
    Margin of Error,±377
ZCTA5 75901,
    Estimate,"30,429"
    Margin of Error,"±1,130"
ZCTA5 75904,
    Estimate,"34,406"
    Margin of Error,"±1,222"
ZCTA5 75925,
    Estimate,"4,002"
    Margin of Error,±438
ZCTA5 75926,
    Estimate,"1,151"
    Margin of Error,±225
ZCTA5 75928,
    Estimate,"1,198"
    Margin of Error,±449
ZCTA5 75929,
    Estimate,"1,649"
    Margin of Error,±403
ZCTA5 75930,
    Estimate,"1,779"
    Margin of Error,±406
ZCTA5 75931,
    Estimate,"2,203"
    Margin of Error,±489
ZCTA5 75932,
    Estimate,"1,743"
    Margin of Error,±378
ZCTA5 75933,
    Estimate,"1,158"
    Margin of Error,±325
ZCTA5 75934,
    Estimate,219
    Margin of Error,±151
ZCTA5 75935,
    Estimate,"13,648"
    Margin of Error,±700
ZCTA5 75936,
    Estimate,"1,128"
    Margin of Error,±264
ZCTA5 75937,
    Estimate,891
    Margin of Error,±185
ZCTA5 75938,
    Estimate,"2,585"
    Margin of Error,±423
ZCTA5 75939,
    Estimate,"5,260"
    Margin of Error,±583
ZCTA5 75941,
    Estimate,"8,465"
    Margin of Error,±505
ZCTA5 75942,
    Estimate,229
    Margin of Error,±249
ZCTA5 75943,
    Estimate,"1,442"
    Margin of Error,±399
ZCTA5 75944,
    Estimate,"1,100"
    Margin of Error,±224
ZCTA5 75946,
    Estimate,"3,744"
    Margin of Error,±543
ZCTA5 75948,
    Estimate,"6,268"
    Margin of Error,±389
ZCTA5 75949,
    Estimate,"8,225"
    Margin of Error,±717
ZCTA5 75951,
    Estimate,"15,859"
    Margin of Error,±865
ZCTA5 75954,
    Estimate,"2,466"
    Margin of Error,±385
ZCTA5 75956,
    Estimate,"8,937"
    Margin of Error,"±1,012"
ZCTA5 75959,
    Estimate,994
    Margin of Error,±334
ZCTA5 75960,
    Estimate,653
    Margin of Error,±351
ZCTA5 75961,
    Estimate,"16,004"
    Margin of Error,"±1,085"
ZCTA5 75962,
    Estimate,"3,242"
    Margin of Error,±362
ZCTA5 75964,
    Estimate,"19,811"
    Margin of Error,"±1,079"
ZCTA5 75965,
    Estimate,"17,907"
    Margin of Error,±948
ZCTA5 75966,
    Estimate,"4,920"
    Margin of Error,±486
ZCTA5 75968,
    Estimate,"1,635"
    Margin of Error,±327
ZCTA5 75969,
    Estimate,"3,854"
    Margin of Error,±526
ZCTA5 75972,
    Estimate,"6,169"
    Margin of Error,±393
ZCTA5 75973,
    Estimate,"2,828"
    Margin of Error,±350
ZCTA5 75974,
    Estimate,"3,410"
    Margin of Error,±556
ZCTA5 75975,
    Estimate,"4,031"
    Margin of Error,±532
ZCTA5 75976,
    Estimate,778
    Margin of Error,±178
ZCTA5 75977,
    Estimate,291
    Margin of Error,±130
ZCTA5 75978,
    Estimate,134
    Margin of Error,±97
ZCTA5 75979,
    Estimate,"12,228"
    Margin of Error,±698
ZCTA5 75980,
    Estimate,"2,254"
    Margin of Error,±352
ZCTA5 76001,
    Estimate,"33,748"
    Margin of Error,"±1,781"
ZCTA5 76002,
