Label (Grouping),Total
ZCTA5 73949,
    Estimate,"1,635"
    Margin of Error,±209
ZCTA5 75001,
    Estimate,"14,992"
    Margin of Error,±219
ZCTA5 75002,
    Estimate,"71,253"
    Margin of Error,"±1,424"
ZCTA5 75006,
    Estimate,"51,642"
    Margin of Error,±547
ZCTA5 75007,
    Estimate,"55,500"
    Margin of Error,"±1,303"
ZCTA5 75009,
    Estimate,"14,089"
    Margin of Error,"±1,262"
ZCTA5 75010,
    Estimate,"30,406"
    Margin of Error,"±1,219"
ZCTA5 75013,
    Estimate,"42,629"
    Margin of Error,"±1,426"
ZCTA5 75019,
    Estimate,"42,888"
    Margin of Error,±471
ZCTA5 75020,
    Estimate,"23,232"
    Margin of Error,±676
ZCTA5 75021,
    Estimate,"8,847"
    Margin of Error,±685
ZCTA5 75022,
    Estimate,"27,201"
    Margin of Error,"±1,835"
ZCTA5 75023,
    Estimate,"50,431"
    Margin of Error,"±1,092"
ZCTA5 75024,
    Estimate,"43,551"
    Margin of Error,"±1,292"
ZCTA5 75025,
    Estimate,"53,764"
    Margin of Error,±993
ZCTA5 75028,
    Estimate,"47,804"
    Margin of Error,±910
ZCTA5 75032,
    Estimate,"33,080"
    Margin of Error,±998
ZCTA5 75034,
    Estimate,"108,525"
    Margin of Error,"±1,568"
ZCTA5 75035,
    Estimate,"75,485"
    Margin of Error,"±1,372"
ZCTA5 75038,
    Estimate,"29,990"
    Margin of Error,"±1,377"
ZCTA5 75039,
    Estimate,"20,108"
    Margin of Error,"±1,069"
ZCTA5 75040,
    Estimate,"62,417"
    Margin of Error,"±1,399"
ZCTA5 75041,
    Estimate,"30,880"
    Margin of Error,"±1,306"
ZCTA5 75042,
    Estimate,"39,183"
    Margin of Error,"±1,371"
ZCTA5 75043,
    Estimate,"62,601"
    Margin of Error,"±1,705"
ZCTA5 75044,
    Estimate,"43,292"
    Margin of Error,"±1,279"
ZCTA5 75048,
    Estimate,"25,598"
    Margin of Error,±184
ZCTA5 75050,
    Estimate,"43,174"
    Margin of Error,"±1,612"
ZCTA5 75051,
    Estimate,"40,923"
    Margin of Error,"±1,381"
ZCTA5 75052,
    Estimate,"95,495"
    Margin of Error,"±1,999"
ZCTA5 75054,
    Estimate,"11,927"
    Margin of Error,"±1,007"
ZCTA5 75056,
    Estimate,"60,554"
    Margin of Error,"±1,134"
ZCTA5 75057,
    Estimate,"14,960"
    Margin of Error,±666
ZCTA5 75058,
    Estimate,"2,666"
    Margin of Error,±416
ZCTA5 75060,
    Estimate,"47,764"
    Margin of Error,"±1,529"
ZCTA5 75061,
    Estimate,"54,520"
    Margin of Error,"±1,412"
ZCTA5 75062,
    Estimate,"49,306"
    Margin of Error,"±1,511"
ZCTA5 75063,
    Estimate,"40,048"
    Margin of Error,"±1,223"
ZCTA5 75065,
    Estimate,"12,640"
    Margin of Error,±474
ZCTA5 75067,
    Estimate,"68,196"
    Margin of Error,"±1,455"
ZCTA5 75068,
    Estimate,"65,991"
    Margin of Error,"±1,494"
ZCTA5 75069,
    Estimate,"37,892"
    Margin of Error,"±1,299"
ZCTA5 75070,
    Estimate,"104,415"
    Margin of Error,"±1,386"
ZCTA5 75071,
    Estimate,"55,570"
    Margin of Error,"±1,514"
ZCTA5 75074,
    Estimate,"52,259"
    Margin of Error,"±1,979"
ZCTA5 75075,
    Estimate,"38,283"
    Margin of Error,"±1,061"
ZCTA5 75076,
    Estimate,"8,156"
    Margin of Error,±714
ZCTA5 75077,
    Estimate,"37,102"
    Margin of Error,"±1,187"
ZCTA5 75078,
    Estimate,"28,803"
    Margin of Error,±984
ZCTA5 75080,
    Estimate,"52,531"
    Margin of Error,"±1,521"
ZCTA5 75081,
    Estimate,"40,265"
    Margin of Error,"±1,125"
ZCTA5 75082,
    Estimate,"23,483"
    Margin of Error,"±1,144"
ZCTA5 75087,
    Estimate,"35,157"
    Margin of Error,±959
ZCTA5 75088,
    Estimate,"26,039"
    Margin of Error,±868
ZCTA5 75089,
    Estimate,"36,324"
    Margin of Error,±766
ZCTA5 75090,
    Estimate,"25,418"
    Margin of Error,"±1,021"
ZCTA5 75092,
    Estimate,"24,905"
    Margin of Error,"±1,082"
ZCTA5 75093,
    Estimate,"46,788"
    Margin of Error,"±1,182"
ZCTA5 75094,
    Estimate,"23,239"
    Margin of Error,±409
ZCTA5 75098,
    Estimate,"56,376"
    Margin of Error,"±1,166"
ZCTA5 75101,
    Estimate,517
    Margin of Error,±117
ZCTA5 75102,
    Estimate,"1,358"
    Margin of Error,±388
ZCTA5 75103,
    Estimate,"14,530"
    Margin of Error,"±1,008"
ZCTA5 75104,
    Estimate,"49,171"
    Margin of Error,±299
ZCTA5 75105,
    Estimate,161
    Margin of Error,±125
ZCTA5 75109,
    Estimate,"4,384"
    Margin of Error,±358
ZCTA5 75110,
    Estimate,"28,558"
    Margin of Error,±624
ZCTA5 75114,
    Estimate,"6,829"
    Margin of Error,±724
ZCTA5 75115,
