"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"860Z200US73949","ZCTA5 73949","1357","241",
"860Z200US73960","ZCTA5 73960","33","25",
"860Z200US75001","ZCTA5 75001","16287","200",
"860Z200US75002","ZCTA5 75002","71102","2242",
"860Z200US75006","ZCTA5 75006","48104","506",
"860Z200US75007","ZCTA5 75007","54448","1518",
"860Z200US75009","ZCTA5 75009","24737","1882",
"860Z200US75010","ZCTA5 75010","30129","1419",
"860Z200US75013","ZCTA5 75013","44807","2173",
"860Z200US75019","ZCTA5 75019","44324","501",
"860Z200US75020","ZCTA5 75020","23184","876",
"860Z200US75021","ZCTA5 75021","9327","1067",
"860Z200US75022","ZCTA5 75022","26543","1820",
"860Z200US75023","ZCTA5 75023","48586","2187",
"860Z200US75024","ZCTA5 75024","43331","1825",
"860Z200US75025","ZCTA5 75025","52881","2312",
"860Z200US75028","ZCTA5 75028","46934","1555",
"860Z200US75032","ZCTA5 75032","35056","1641",
"860Z200US75033","ZCTA5 75033","44703","2092",
"860Z200US75034","ZCTA5 75034","45759","2246",
"860Z200US75035","ZCTA5 75035","81512","1724",
"860Z200US75036","ZCTA5 75036","30925","1759",
"860Z200US75038","ZCTA5 75038","32128","2505",
"860Z200US75039","ZCTA5 75039","22046","1227",
"860Z200US75040","ZCTA5 75040","64565","2841",
"860Z200US75041","ZCTA5 75041","31451","2406",
"860Z200US75042","ZCTA5 75042","38184","1749",
"860Z200US75043","ZCTA5 75043","64845","3585",
"860Z200US75044","ZCTA5 75044","45895","3189",
"860Z200US75048","ZCTA5 75048","26956","221",
"860Z200US75050","ZCTA5 75050","43422","1966",
"860Z200US75051","ZCTA5 75051","39783","2036",
"860Z200US75052","ZCTA5 75052","95745","3048",
"860Z200US75054","ZCTA5 75054","15820","2118",
"860Z200US75056","ZCTA5 75056","64243","1580",
"860Z200US75057","ZCTA5 75057","16855","1419",
"860Z200US75058","ZCTA5 75058","3369","653",
"860Z200US75060","ZCTA5 75060","49473","2851",
"860Z200US75061","ZCTA5 75061","56959","2044",
"860Z200US75062","ZCTA5 75062","51846","2764",
"860Z200US75063","ZCTA5 75063","43705","1913",
"860Z200US75065","ZCTA5 75065","12549","177",
"860Z200US75067","ZCTA5 75067","67837","1738",
"860Z200US75068","ZCTA5 75068","65880","2598",
"860Z200US75069","ZCTA5 75069","37479","1688",
"860Z200US75070","ZCTA5 75070","54444","2780",
"860Z200US75071","ZCTA5 75071","63828","2484",
"860Z200US75072","ZCTA5 75072","54446","2667",
"860Z200US75074","ZCTA5 75074","51820","2521",
"860Z200US75075","ZCTA5 75075","36221","1810",
"860Z200US75076","ZCTA5 75076","8592","1039",
"860Z200US75077","ZCTA5 75077","39125","1541",
"860Z200US75078","ZCTA5 75078","35939","1340",
"860Z200US75080","ZCTA5 75080","52420","1989",
"860Z200US75081","ZCTA5 75081","36683","1776",
"860Z200US75082","ZCTA5 75082","26801","1238",
"860Z200US75087","ZCTA5 75087","39202","1812",
"860Z200US75088","ZCTA5 75088","26363","1640",
"860Z200US75089","ZCTA5 75089","35203","1602",
"860Z200US75090","ZCTA5 75090","24866","1564",
"860Z200US75092","ZCTA5 75092","26794","1437",
"860Z200US75093","ZCTA5 75093","46868","2466",
"860Z200US75094","ZCTA5 75094","23345","575",
"860Z200US75098","ZCTA5 75098","64326","1521",
"860Z200US75101","ZCTA5 75101","679","175",
"860Z200US75102","ZCTA5 75102","1795","767",
"860Z200US75103","ZCTA5 75103","15900","1169",
"860Z200US75104","ZCTA5 75104","49566","238",
"860Z200US75105","ZCTA5 75105","207","186",
"860Z200US75109","ZCTA5 75109","4288","555",
"860Z200US75110","ZCTA5 75110","30555","881",
"860Z200US75114","ZCTA5 75114","6438","862",
"860Z200US75115","ZCTA5 75115","55879","151",
"860Z200US75116","ZCTA5 75116","21105","1186",
"860Z200US75117","ZCTA5 75117","4753","1006",
"860Z200US75119","ZCTA5 75119","28765","969",
"860Z200US75124","ZCTA5 75124","5205","967",
